lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
1.260000000000000142e+01,1.118194177800140077e+00,2.374991602827042358e-01,1.880345751459144288e-01,5.663269757387571213e-01
1.270000000000000107e+01,1.119971471030997145e+00,2.377542009291859770e-01,1.887850746668254254e-01,5.671787747469455576e-01
1.280000000000000071e+01,1.124216699461350721e+00,2.376268165383988162e-01,1.904884555068900032e-01,5.672428594799943102e-01
1.290000000000000036e+01,1.125060039888359453e+00,2.374375181180971850e-01,1.901468226284128427e-01,5.683989474258548391e-01
1.300000000000000000e+01,1.126661445200129119e+00,2.374274750933578204e-01,1.892854035603660778e-01,5.703650034580558525e-01
1.310000000000000142e+01,1.125813687961877863e+00,2.374731455164365290e-01,1.883156187194227338e-01,5.720799076239565517e-01
1.320000000000000107e+01,1.127748790231891229e+00,2.375115590517391795e-01,1.881350726819706887e-01,5.744083196178271233e-01
1.330000000000000071e+01,1.131653450688865803e+00,2.376084701460973447e-01,1.874273037941033837e-01,5.771263520541379810e-01
1.340000000000000036e+01,1.132342422263122206e+00,2.387447768355211997e-01,1.893851844067910295e-01,5.799800681463732621e-01
1.350000000000000000e+01,1.132945625219305086e+00,2.406491879033312020e-01,1.905304873976604585e-01,5.838459375491606984e-01
1.360000000000000142e+01,1.139536096833814183e+00,2.423690342183838498e-01,1.919981103119790533e-01,5.864462127079618226e-01
1.370000000000000107e+01,1.142415689012053592e+00,2.442255428862246114e-01,1.918438077552023502e-01,5.881500445070793059e-01
1.380000000000000071e+01,1.145987701752652965e+00,2.464113488338188218e-01,1.937666624938796378e-01,5.915787775692120665e-01
1.390000000000000036e+01,1.153202452264725952e+00,2.478989105859648323e-01,1.947304179976825367e-01,5.963215230032077319e-01
1.400000000000000000e+01,1.159757935981580390e+00,2.486748399761454786e-01,1.964258514177834591e-01,6.009308650529670004e-01
1.410000000000000142e+01,1.167139683919183435e+00,2.494510140894445616e-01,1.971409191306641995e-01,6.035350001089350158e-01
1.420000000000000107e+01,1.174517706737237877e+00,2.500229344607489135e-01,1.961126591329704072e-01,6.057986580961897127e-01
1.430000000000000071e+01,1.184009802227248942e+00,2.504726317324293960e-01,1.947638781870256186e-01,6.078775020640891924e-01
1.440000000000000036e+01,1.190658840984582412e+00,2.513504672835779608e-01,1.950834850463285808e-01,6.098127913599686867e-01
1.450000000000000000e+01,1.190552605810142550e+00,2.517371994976752014e-01,1.979419934193882291e-01,6.117817889583202495e-01
1.460000000000000142e+01,1.193215079886838170e+00,2.518534972191176502e-01,1.978284098955870041e-01,6.137986969879912769e-01
1.470000000000000107e+01,1.197166214144016028e+00,2.522644716097382500e-01,1.988096057029638819e-01,6.154726951194483542e-01
1.480000000000000071e+01,1.199368834344222146e+00,2.524851908717048454e-01,1.978607454286496203e-01,6.168371979353654000e-01
1.490000000000000036e+01,1.200398722942016327e+00,2.525485359919796280e-01,1.981600439552168025e-01,6.173099324943710497e-01
1.500000000000000000e+01,1.203185513511098037e+00,2.522280871378419498e-01,1.968836069758325147e-01,6.189310241308975113e-01
1.510000000000000142e+01,1.205218292825393389e+00,2.530628765344227760e-01,1.981185379951916625e-01,6.202362802140726217e-01
1.520000000000000107e+01,1.209889001731492275e+00,2.545074514884377859e-01,1.987817785024509343e-01,6.219136226329854411e-01
