time_ps,minimum_NN_A
1.390000000000000036e+01,1.296863011230530827e+00
1.400000000000000000e+01,1.332694759975515897e+00
1.410000000000000142e+01,1.338943466894535916e+00
1.420000000000000107e+01,1.326997579538804040e+00
1.430000000000000071e+01,1.324199010383903641e+00
1.440000000000000036e+01,1.281929330998716976e+00
1.450000000000000000e+01,1.271167233341558012e+00
1.460000000000000142e+01,1.273176263525545471e+00
1.470000000000000107e+01,1.281994364318976620e+00
1.480000000000000071e+01,1.328681951487774793e+00
1.490000000000000036e+01,1.340107458348527736e+00
1.500000000000000000e+01,1.336783209744306866e+00
1.510000000000000142e+01,1.332760550764526375e+00
1.520000000000000107e+01,1.310999656291678805e+00
1.530000000000000071e+01,1.273836397012623411e+00
1.540000000000000036e+01,1.270197682044247323e+00
1.550000000000000000e+01,1.273209399276620468e+00
1.560000000000000142e+01,1.301899798857033996e+00
1.570000000000000107e+01,1.310616725529052173e+00
1.580000000000000071e+01,1.330755521382150031e+00
1.590000000000000036e+01,1.315462974954357156e+00
1.600000000000000000e+01,1.306490220889136911e+00
1.610000000000000142e+01,1.295453124093872255e+00
1.619999999999999929e+01,1.294621022514050201e+00
1.630000000000000071e+01,1.298073018253218081e+00
1.640000000000000213e+01,1.300993594866901804e+00
1.650000000000000000e+01,1.321805170456175071e+00
1.660000000000000142e+01,1.330649948849466080e+00
1.669999999999999929e+01,1.325644901097599249e+00
1.680000000000000071e+01,1.332367263847567651e+00
1.690000000000000213e+01,1.335715706224781085e+00
1.700000000000000000e+01,1.314696842189694515e+00
1.710000000000000142e+01,1.295304259822845250e+00
1.719999999999999929e+01,1.285808888663735106e+00
1.730000000000000071e+01,1.295818414946055652e+00
1.740000000000000213e+01,1.321017509286847247e+00
1.750000000000000000e+01,1.323496079965572170e+00
1.760000000000000142e+01,1.339358513601878631e+00
1.769999999999999929e+01,1.324902476025116460e+00
1.780000000000000071e+01,1.295552777293329294e+00
1.790000000000000213e+01,1.270972493773594447e+00
1.800000000000000000e+01,1.273885005128059911e+00
1.810000000000000142e+01,1.282307731194974210e+00
1.819999999999999929e+01,1.318814625436671939e+00
1.830000000000000071e+01,1.324901078558825995e+00
1.840000000000000213e+01,1.313953098474345715e+00
1.850000000000000000e+01,1.292166608595864519e+00
1.860000000000000142e+01,1.277536721665865294e+00
1.869999999999999929e+01,1.270518838224504732e+00
1.880000000000000071e+01,1.280207065044391967e+00
1.890000000000000213e+01,1.306920688869867897e+00
1.900000000000000000e+01,1.333458373322215174e+00
1.910000000000000142e+01,1.329813564628122835e+00
1.920000000000000284e+01,1.347027360267426532e+00
1.930000000000000071e+01,1.335883283612535388e+00
1.940000000000000213e+01,1.298635515700138798e+00
1.950000000000000000e+01,1.276985504529995152e+00
1.960000000000000142e+01,1.288364777998514343e+00
1.970000000000000284e+01,1.290208524487319153e+00
1.980000000000000071e+01,1.323430804143050699e+00
1.990000000000000213e+01,1.328208975039866013e+00
2.000000000000000000e+01,1.328586443666436745e+00
