lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
2.200000000000000178e+00,1.052855422658789175e+00,1.737058014869519718e-01,1.621222996216238332e-01,3.730419753649754089e-01
2.300000000000000266e+00,1.067617639997998191e+00,1.742644196083463215e-01,1.630963368218365794e-01,3.749913559093756010e-01
2.400000000000000355e+00,1.083215145788075429e+00,1.750242302411771922e-01,1.646453412034691310e-01,3.789346928300293960e-01
2.500000000000000000e+00,1.094684078379196901e+00,1.764761254885483799e-01,1.670997130273811915e-01,3.810607133750145148e-01
2.600000000000000089e+00,1.106478846036947461e+00,1.773147127553537650e-01,1.681508639815109674e-01,3.816042724688482601e-01
2.700000000000000178e+00,1.118272367628623476e+00,1.778745096817156701e-01,1.682723046796948119e-01,3.819623789452203377e-01
2.800000000000000266e+00,1.130313999020769788e+00,1.780985957542889631e-01,1.682117610480572123e-01,3.818632215557600240e-01
2.900000000000000355e+00,1.145637256053232855e+00,1.786953484155845429e-01,1.700016833806229366e-01,3.830903141130557743e-01
3.000000000000000000e+00,1.161734847284262129e+00,1.791026542775927821e-01,1.702823622461951958e-01,3.843640051097111376e-01
3.100000000000000089e+00,1.178743018993136937e+00,1.791974153841103257e-01,1.693102428166912143e-01,3.859054274227667891e-01
3.200000000000000178e+00,1.196794792867861279e+00,1.803073133472117007e-01,1.706880982092731092e-01,3.897608045879284999e-01
3.300000000000000266e+00,1.211910482877904593e+00,1.820644253797905066e-01,1.723446094751721891e-01,3.937714152297847048e-01
3.400000000000000355e+00,1.222533804460776086e+00,1.825857085392134371e-01,1.726286269172288834e-01,3.959390569815254279e-01
3.500000000000000000e+00,1.234819600188541644e+00,1.826910669444594959e-01,1.706788200626074281e-01,3.983211285851637751e-01
3.600000000000000089e+00,1.250721935804686158e+00,1.834099665775063004e-01,1.708450112724907433e-01,3.998830169682301428e-01
3.700000000000000178e+00,1.264003492026580799e+00,1.823577590586599462e-01,1.699329140478657851e-01,3.990834109647606320e-01
