Theta,angle_crystal (S-P-S),angle_glass (S-P-S),angle_glass-ceramic (S-P-S)
172.98,0,0,0
173.34,0,0,0
173.7,0,0,0
174.06,0,0,0
174.42,0,0,0
174.78,0,0,0
175.14,0,0,0
175.5,0,0,0
175.86,0,0,0
176.22,0,0,0
176.58,0,0,0
176.94,0,0,0
177.3,0,0,0
177.66,0,0,0
178.02,0,0,0
178.38,0,0,0
178.74,0,0,0
179.1,0,0,0
179.46,0,0,0
179.82,0,0,0
