time_ps,T_K,PE_eV_atom,P_GPa
5.685000000000000142e+01,3.278840347199999883e+02,-4.897019565572916733e+00,-5.012059878333333662e-01
5.690000000000000568e+01,3.399342248699999800e+02,-4.899628423593750171e+00,8.471228100133332273e-02
5.695000000000000284e+01,3.146378560300000231e+02,-4.896634078385416977e+00,1.789255678330000376e-01
5.700000000000000000e+01,3.307503099400000224e+02,-4.897398698385416971e+00,4.992275150999999495e-02
5.705000000000000426e+01,3.291201771500000177e+02,-4.894301446979166137e+00,-2.084808788330000107e-01
5.710000000000000142e+01,3.314704437600000233e+02,-4.891444197864583288e+00,-5.148313599533332896e-02
5.715000000000000568e+01,3.480466438700000253e+02,-4.891812017760416076e+00,-1.030984082279999964e-01
5.720000000000000284e+01,3.430112797099999966e+02,-4.890538699531250089e+00,4.759710429166666423e-01
5.725000000000000000e+01,3.364648778700000094e+02,-4.889780883489582841e+00,-1.319584624933333450e-01
5.730000000000000426e+01,3.421526957500000208e+02,-4.891234287968750039e+00,1.510880172799999865e-02
5.735000000000000142e+01,3.446069338400000106e+02,-4.892511039270833528e+00,-9.657493327833334418e-02
5.740000000000000568e+01,3.723071580399999903e+02,-4.897538227916666820e+00,1.901610209666667120e-02
5.745000000000000284e+01,3.131223298900000032e+02,-4.892897400572916666e+00,-7.926176239766666298e-02
5.750000000000000000e+01,3.399402790999999979e+02,-4.898228689218750098e+00,-4.066262403933333380e-01
5.755000000000000426e+01,3.360352403499999809e+02,-4.898796080416667031e+00,9.964918204333333973e-02
5.760000000000000142e+01,3.326901834000000235e+02,-4.898804359166667233e+00,-1.292277327753333094e-01
5.765000000000000568e+01,3.313910231599999747e+02,-4.898270199375000189e+00,1.238746816140000040e-01
5.770000000000000284e+01,3.425595885399999929e+02,-4.898712009427083736e+00,-1.564798406326666502e-01
5.775000000000000000e+01,3.195154818099999829e+02,-4.894895852656250490e+00,3.186336268166666819e-01
5.780000000000000426e+01,3.445060679100000129e+02,-4.897235823229166840e+00,-4.650429132233337322e-03
5.785000000000000142e+01,3.411540811799999915e+02,-4.896910345156249456e+00,-3.168196206333334652e-02
5.790000000000000568e+01,3.495040785300000152e+02,-4.898436185989583080e+00,2.759995276069999726e-01
5.795000000000000284e+01,3.360628828700000099e+02,-4.897246977656250166e+00,2.825679602226666698e-01
5.800000000000000000e+01,3.700242381300000147e+02,-4.902323868333333223e+00,1.016233701376666881e-01
5.805000000000000426e+01,3.140875455999999986e+02,-4.896420350312499892e+00,3.514987068366666745e-01
5.810000000000000142e+01,3.114148096299999793e+02,-4.896075597552083103e+00,-2.522546720086666361e-01
5.815000000000000568e+01,3.254017651899999919e+02,-4.896421014322917209e+00,4.076474576666666572e-01
5.820000000000000284e+01,3.384742438700000093e+02,-4.895475899895832761e+00,-5.108736191999999759e-02
5.825000000000000000e+01,3.635337997600000222e+02,-4.895935008072917149e+00,-2.895817600333333575e-02
5.830000000000000426e+01,3.760082973400000128e+02,-4.896806669843750015e+00,3.103278941903332977e-01
5.835000000000000142e+01,3.355939552400000139e+02,-4.893149536197916483e+00,1.879753011903333160e-01
5.840000000000000568e+01,3.379077688500000249e+02,-4.894436418385416765e+00,4.531219850933332904e-01
5.845000000000000284e+01,3.570177168800000231e+02,-4.897335256562500128e+00,2.275301776833333067e-01
5.850000000000000000e+01,3.596127200799999741e+02,-4.898085462812500346e+00,4.649798623133333947e-02
