r_A,S_O,Zr_O,Zr_Cl
3.625000000000000000e+00,7.672083573463135409e-01,1.995712878919840616e+00,8.983135829687841079e-02
3.675000000000000266e+00,9.827003123727486855e-01,1.937053500350130797e+00,1.110262372151903792e-01
3.725000000000000089e+00,9.013140515568842659e-01,2.115328896511054602e+00,7.357665726994980226e-02
3.775000000000000355e+00,8.955067833766463536e-01,2.037277932181869922e+00,8.283437746233979215e-02
3.825000000000000178e+00,8.460807459958133991e-01,2.023615804855966260e+00,1.112116444479033517e-01
3.875000000000000000e+00,7.054037986067456245e-01,1.886742690249365362e+00,1.423555858634094895e-01
3.925000000000000266e+00,5.715747518116355286e-01,1.851405174346383742e+00,1.656738411048219173e-01
3.975000000000000089e+00,7.672780142080043442e-01,1.611283829836807513e+00,1.716279768623167334e-01
4.025000000000000355e+00,6.695618680698300906e-01,1.571501090352129593e+00,1.969299611970088404e-01
4.075000000000000178e+00,7.531379672039677509e-01,1.667662641665927703e+00,2.901118189994875696e-01
4.125000000000000000e+00,7.349909531550841146e-01,1.796227890618802059e+00,3.449957535217742510e-01
4.175000000000000711e+00,7.833841281111487698e-01,2.233010832466357343e+00,3.916920640555741628e-01
4.224999999999999645e+00,8.149960372007631904e-01,2.677333473084961390e+00,4.343070987714592324e-01
4.275000000000000355e+00,7.262151275648686122e-01,2.649986931835268233e+00,5.062557379658947365e-01
4.325000000000000178e+00,9.210131878828917706e-01,2.251365570380403636e+00,6.617650312936335100e-01
4.375000000000000000e+00,7.734037765217479654e-01,1.516804820333600201e+00,6.700610305209970807e-01
4.425000000000000711e+00,8.277166492831318223e-01,9.776180897044878249e-01,8.440102841115409982e-01
4.474999999999999645e+00,8.475594772734014182e-01,6.850574722322604337e-01,8.332210650638890437e-01
4.525000000000000355e+00,7.853045253827874994e-01,5.297689258534673540e-01,9.037234617500318201e-01
4.575000000000000178e+00,6.280002925349225107e-01,4.603303115183175476e-01,9.221848955913314327e-01
4.625000000000000000e+00,7.039850626428169056e-01,6.085294609285366585e-01,9.948263491160156402e-01
4.675000000000000711e+00,5.605482534191191801e-01,5.576287312658949613e-01,1.059786541620522549e+00
4.724999999999999645e+00,4.858703399330203121e-01,6.144830769741140841e-01,1.190382332835900447e+00
4.775000000000000355e+00,5.708980933655328771e-01,5.904877338241548701e-01,1.036851684274167518e+00
4.825000000000001066e+00,5.536457786286794747e-01,5.618682406875212809e-01,1.145663046865287749e+00
4.875000000000000000e+00,6.067845821330459799e-01,4.644855429602517960e-01,1.218938939329215820e+00
4.925000000000000711e+00,4.998233561479364928e-01,4.998233561479362708e-01,1.187738133162070886e+00
4.974999999999999645e+00,4.795150734772394840e-01,4.588907692416592243e-01,1.189764550590032499e+00
