r,gr_crystal (Li-S),gr_glass (Li-S),gr_glass-ceramic (Li-S),nr_crystal (Li-S),nr_glass (Li-S),nr_glass-ceramic (Li-S)
3.521875,0.495541,0.39586,0.337808,4.691519,4.781598,4.677815
3.528125,0.484989,0.459238,0.336613,4.703291,4.79136,4.685619
3.534375,0.470125,0.420729,0.360438,4.714799,4.80144,4.693715
3.540625,0.453179,0.468635,0.358033,4.725963,4.811664,4.702088
3.546875,0.460288,0.382287,0.354515,4.737048,4.821479,4.710421
3.553125,0.465176,0.433409,0.339768,4.748318,4.830924,4.718569
3.559375,0.421404,0.484169,0.409206,4.759151,4.841585,4.727392
3.565625,0.432849,0.464352,0.368671,4.769627,4.852643,4.736585
3.571875,0.427043,0.43677,0.40412,4.780209,4.863186,4.745752
3.578125,0.473668,0.445368,0.374975,4.791334,4.873543,4.755024
3.584375,0.470952,0.456144,0.370352,4.80304,4.884164,4.763926
3.590625,0.472499,0.45009,0.387792,4.814773,4.894879,4.773014
3.596875,0.426418,0.51308,0.402913,4.82599,4.906307,4.782524
3.603125,0.447083,0.448082,0.414645,4.836929,4.917749,4.792392
3.609375,0.4634,0.506216,0.404488,4.848371,4.929151,4.802313
3.615625,0.416771,0.46041,0.429167,4.859469,4.940738,4.812445
3.621875,0.453945,0.502728,0.408198,4.870487,4.952326,4.822656
3.628125,0.459663,0.499904,0.400318,4.882088,4.964429,4.832551
3.634375,0.422846,0.489465,0.400018,4.893331,4.976413,4.842379
3.640625,0.478201,0.45954,0.441511,4.904852,4.987947,4.852749
3.646875,0.434362,0.482867,0.4133,4.916558,4.999442,4.863318
3.653125,0.431851,0.485532,0.390601,4.927709,5.011294,4.873291
3.659375,0.421177,0.502155,0.416845,4.938728,5.023424,4.883344
3.665625,0.451325,0.467224,0.41014,4.950037,5.035368,4.893675
3.671875,0.449789,0.481654,0.443509,4.961757,5.047101,4.904376
3.678125,0.418918,0.476826,0.426255,4.973093,5.058992,4.915315
3.684375,0.452793,0.528246,0.463524,4.984508,5.071506,4.926545
3.690625,0.436186,0.535973,0.488025,4.996188,5.084799,4.938596
3.696875,0.391641,0.513091,0.450002,5.007101,5.097947,4.950514
3.703125,0.424261,0.48931,0.458842,5.017894,5.110553,4.962101
3.709375,0.370103,0.546266,0.505814,5.028437,5.123622,4.974442
3.715625,0.371834,0.544429,0.465019,5.038318,5.137431,4.986902
3.721875,0.340939,0.533247,0.497295,5.047842,5.151122,4.999297
3.728125,0.399877,0.494165,0.500739,5.057775,5.164217,5.012193
3.734375,0.403448,0.558594,0.480731,5.068582,5.177683,5.024918
3.740625,0.368837,0.499101,0.506534,5.079006,5.191254,5.037762
3.746875,0.410511,0.564104,0.509904,5.089561,5.204945,5.051029
3.753125,0.417892,0.554049,0.529382,5.100818,5.219389,5.06464
3.759375,0.364198,0.558321,0.493454,5.111479,5.233807,5.07808
3.765625,0.401606,0.559516,0.531884,5.121955,5.248344,5.091598
3.771875,0.391617,0.583977,0.548093,5.132841,5.263265,5.105884
3.778125,0.376896,0.566916,0.577127,5.143424,5.278331,5.120818
3.784375,0.38999,0.532871,0.578198,5.154019,5.292775,5.136201
3.790625,0.36584,0.559175,0.57135,5.164495,5.307167,5.151558
3.796875,0.406418,0.53636,0.569471,5.175236,5.321651,5.166849
3.803125,0.410762,0.588357,0.579385,5.186638,5.336572,5.182299
3.809375,0.426395,0.551699,0.5814,5.198357,5.351744,5.197961
3.815625,0.395851,0.566706,0.549254,5.209905,5.366677,5.213265
3.821875,0.411427,0.587527,0.567879,5.221281,5.38214,5.228437
3.828125,0.347498,0.578733,0.542765,5.232008,5.397815,5.243569
3.834375,0.428302,0.628754,0.605724,5.243013,5.414098,5.25927
3.840625,0.40742,0.583757,0.555608,5.254905,5.4305,5.275196
3.846875,0.438474,0.603268,0.608512,5.266982,5.446611,5.291215
3.853125,0.437052,0.610041,0.608453,5.279521,5.463132,5.308013
3.859375,0.401632,0.568432,0.614113,5.291572,5.47923,5.324945
3.865625,0.427818,0.648501,0.569356,5.303529,5.49591,5.341386
3.871875,0.439222,0.633922,0.631945,5.316069,5.513543,5.358132
3.878125,0.462383,0.642412,0.604411,5.329151,5.531148,5.375421
3.884375,0.466339,0.674702,0.632591,5.342669,5.549376,5.392775
3.890625,0.470269,0.672536,0.669032,5.356347,5.56808,5.411095
3.896875,0.43721,0.685552,0.659405,5.36964,5.586995,5.429852
3.903125,0.492421,0.681468,0.668483,5.383304,5.606095,5.448662
3.909375,0.472038,0.641604,0.612445,5.397524,5.62464,5.466863
3.915625,0.491961,0.662097,0.657737,5.411783,5.642974,5.484971
3.921875,0.477044,0.712413,0.706432,5.426162,5.662365,5.504482
3.928125,0.523435,0.667222,0.628704,5.441056,5.681889,5.523635
3.934375,0.522658,0.642779,0.657906,5.456677,5.700487,5.542154
3.940625,0.537751,0.744595,0.692408,5.472564,5.720249,5.561651
3.946875,0.537806,0.741314,0.674716,5.488728,5.741479,5.581453
3.953125,0.558007,0.684609,0.716212,5.505249,5.761915,5.601664
3.959375,0.566726,0.743989,0.710328,5.522259,5.782458,5.622458
3.965625,0.555365,0.723334,0.707188,5.539283,5.803622,5.643185
3.971875,0.57618,0.720146,0.699562,5.556505,5.824508,5.66382
3.978125,0.554476,0.726074,0.701853,5.573767,5.8455,5.684442
3.984375,0.561361,0.72017,0.743493,5.590857,5.866558,5.705778
3.990625,0.586251,0.710682,0.759896,5.60849,5.887458,5.72804
3.996875,0.634121,0.70756,0.700618,5.627299,5.908238,5.749733
4.003125,0.607369,0.748482,0.754271,5.646492,5.92964,5.771413
4.009375,0.631876,0.764961,0.767826,5.665712,5.951955,5.794164
4.015625,0.620572,0.758117,0.798028,5.685196,5.974482,5.817643
4.021875,0.644034,0.765555,0.749889,5.704931,5.997087,5.840923
4.028125,0.658911,0.758744,0.789581,5.725328,6.019773,5.864151
4.034375,0.714904,0.762587,0.760084,5.746902,6.042484,5.887603
4.040625,0.666579,0.774341,0.834291,5.768661,6.0655,5.91181
4.046875,0.747273,0.766676,0.790087,5.791003,6.088648,5.936545
4.053125,0.715805,0.81515,0.810997,5.814191,6.112484,5.961003
4.059375,0.689511,0.760214,0.783505,5.836532,6.136294,5.985434
4.065625,0.745365,0.82147,0.797424,5.859415,6.160275,6.009733
4.071875,0.76372,0.819819,0.809542,5.883556,6.185235,6.034508
4.078125,0.818999,0.827698,0.859158,5.908952,6.210368,6.060315
4.084375,0.798441,0.807903,0.842057,5.934984,6.235394,6.086704
4.090625,0.862269,0.782203,0.842032,5.961796,6.259799,6.112907
4.096875,0.897973,0.818423,0.804769,5.990302,6.284442,6.138609
4.103125,0.836695,0.816787,0.884998,6.018476,6.309693,6.165064
4.109375,0.833341,0.807483,0.858757,6.045685,6.334852,6.192444
4.115625,0.850209,0.840736,0.916526,6.073198,6.36046,6.220407
4.121875,0.865358,0.814458,0.866097,6.10132,6.386254,6.248569
4.128125,0.870773,0.854241,0.840139,6.129865,6.412339,6.275606
4.134375,0.897774,0.865981,0.855051,6.159032,6.43931,6.30255
4.140625,0.85195,0.808778,0.857442,6.187974,6.465645,6.329852
4.146875,0.92262,0.845696,0.906068,6.217418,6.491743,6.358053
4.153125,0.998417,0.863188,0.937106,6.249389,6.51878,6.387616
4.159375,0.991462,0.920521,0.932649,6.282603,6.547087,6.417696
4.165625,1.028723,0.897846,0.850455,6.316426,6.576029,6.446466
4.171875,1.031936,0.882748,0.962976,6.351029,6.604455,6.475817
4.178125,1.011599,0.852889,0.991016,6.385447,6.632246,6.507537
4.184375,1.078945,0.899686,0.923161,6.420765,6.660394,6.538701
4.190625,1.067154,0.925702,1.008568,6.457127,6.689799,6.570249
4.196875,1.137034,0.921312,0.924927,6.494587,6.71964,6.601915
4.203125,1.109634,0.903088,0.914943,6.532881,6.749204,6.63214
4.209375,1.09707,0.912598,0.911426,6.570606,6.778714,6.662233
4.215625,1.162376,0.949595,0.951085,6.609349,6.809071,6.693013
4.221875,1.114392,0.923358,0.988911,6.648503,6.839693,6.725169
4.228125,1.166234,0.905327,0.975661,6.687841,6.86968,6.757828
4.234375,1.181881,0.868124,0.991795,6.728463,6.898846,6.790632
4.240625,1.22179,0.912008,1.00467,6.770169,6.928212,6.824018
4.246875,1.283471,0.954034,0.999353,6.813767,6.959085,6.85763
4.253125,1.247917,0.952824,0.972077,6.857947,6.990725,6.890791
4.259375,1.287267,0.98892,1.033424,6.902325,7.02304,6.924627
4.265625,1.314344,0.975737,1.024153,6.948,7.055831,6.959442
4.271875,1.275994,0.946056,0.994695,6.993608,7.088,6.993701
4.278125,1.389697,0.943294,1.00576,7.040685,7.119719,7.027749
4.284375,1.324492,0.991533,1.000506,7.088754,7.152299,7.061995
4.290625,1.347406,0.959706,1.00068,7.136214,7.185249,7.096254
4.296875,1.350903,0.951457,1.047005,7.184283,7.217616,7.131413
4.303125,1.405386,0.989132,1.075416,7.233529,7.250579,7.16796
4.309375,1.379198,0.967656,1.052413,7.283423,7.283913,7.204706
4.315625,1.439152,0.973359,1.032589,7.334071,7.317074,7.240817
4.321875,1.544926,1.015258,1.059261,7.387854,7.351148,7.277153
4.328125,1.427928,0.976969,1.121411,7.441584,7.385381,7.315143
4.334375,1.44713,0.991782,1.076597,7.493701,7.419309,7.353542
4.340625,1.475662,1.035547,1.119485,7.546836,7.454349,7.392021
4.346875,1.505472,0.999041,1.065152,7.601188,7.489614,7.430407
4.353125,1.534382,0.977938,1.147543,7.65677,7.523979,7.469402
4.359375,1.511978,1.034992,1.118844,7.712629,7.559071,7.509455
4.365625,1.517707,0.991233,1.076144,7.768344,7.594494,7.548357
4.371875,1.549182,1.005728,1.125832,7.824904,7.629508,7.587497
4.378125,1.59404,0.972059,1.146332,7.883039,7.664283,7.628
4.384375,1.570983,1.045695,1.114249,7.941743,7.699865,7.66841
4.390625,1.583556,1.064381,1.131709,8.00042,7.73718,7.708674
4.396875,1.568436,1.073274,1.141718,8.059217,7.77509,7.749547
4.403125,1.597879,0.996702,1.133351,8.118449,7.811902,7.790566
4.409375,1.621516,1.054607,1.185661,8.178846,7.848489,7.832497
4.415625,1.591654,1.01396,1.192506,8.239296,7.885487,7.875619
4.421875,1.641066,1.016987,1.216741,8.300288,7.921915,7.919428
4.428125,1.651796,1.064788,1.139424,8.36259,7.959362,7.962391
4.434375,1.604676,1.063253,1.158606,8.424375,7.997748,8.004415
4.440625,1.61127,1.036165,1.243222,8.485566,8.035725,8.048463
4.446875,1.693969,1.123546,1.233266,8.548635,8.074904,8.094005
4.453125,1.529063,1.10442,1.188264,8.610301,8.115434,8.138661
4.459375,1.594307,1.010092,1.228504,8.670235,8.154005,8.183357
