time_ps,T_K,PE_eV_atom,P_GPa
5.565000000000000568e+01,2.992036285400000111e+02,-4.894171056718749746e+00,-6.456731679499999599e-01
5.570000000000000284e+01,3.134438828099999910e+02,-4.895508629427083314e+00,-6.619320343366665027e-02
5.575000000000000000e+01,3.202083659799999964e+02,-4.894550020208333407e+00,-5.445449784299999374e-01
5.580000000000000426e+01,3.251970870900000250e+02,-4.893104236458333922e+00,-1.793038702566666920e-01
5.585000000000000142e+01,3.442008839100000159e+02,-4.893897080468749827e+00,-1.065399553906666436e-01
5.590000000000000568e+01,3.469874388200000226e+02,-4.893385937968750099e+00,-3.174299512433333414e-01
5.595000000000000284e+01,3.541602782200000092e+02,-4.893948037291666608e+00,-3.495465365246666067e-01
5.600000000000000000e+01,3.363213542199999893e+02,-4.891631336666666385e+00,-7.172712699199999820e-02
5.605000000000000426e+01,3.494230512699999736e+02,-4.893759237239582838e+00,-1.254159889366666669e-01
5.610000000000000142e+01,3.364338821800000119e+02,-4.892999591666666426e+00,-3.513906091066666959e-01
5.615000000000000568e+01,3.367571589500000186e+02,-4.893873986718749514e+00,-2.358868395970999954e-01
5.620000000000000284e+01,3.265064537399999836e+02,-4.893214655520833567e+00,-4.852548948333335055e-02
5.625000000000000000e+01,3.349377266800000257e+02,-4.894915669739583031e+00,1.148508808666668908e-03
5.630000000000000426e+01,3.285267828400000099e+02,-4.895046022031249500e+00,-3.149516507266666987e-01
5.635000000000000142e+01,3.552363244300000247e+02,-4.899727862447917026e+00,6.635601208666665196e-02
5.640000000000000568e+01,3.142915410499999780e+02,-4.896758181354166517e+00,-4.040631154066667285e-01
5.645000000000000284e+01,2.992994524800000136e+02,-4.896556951666666713e+00,-1.630100113489999780e-01
5.650000000000000000e+01,2.997347015199999873e+02,-4.896845820416666939e+00,-1.193240374000000131e-01
5.655000000000000426e+01,3.168946436699999936e+02,-4.897271713020833417e+00,-8.715853732200000425e-02
5.660000000000000142e+01,3.287371684199999891e+02,-4.895359555260417217e+00,-2.115752724900000492e-01
5.665000000000000568e+01,3.354123053499999969e+02,-4.893118054166666120e+00,-4.172365922333332589e-01
5.670000000000000284e+01,3.620922288599999774e+02,-4.894569637083333369e+00,-6.012755074333333560e-01
5.675000000000000000e+01,3.247122861500000113e+02,-4.888795164791666537e+00,4.199028651200000656e-02
5.680000000000000426e+01,3.317546774499999742e+02,-4.888364965885416247e+00,-1.478649709766666487e-01
5.685000000000000142e+01,3.740765805300000011e+02,-4.892077349374999606e+00,-3.287302755400000054e-01
5.690000000000000568e+01,3.639414701100000116e+02,-4.889812730312500300e+00,-3.196096942700000221e-01
5.695000000000000284e+01,3.458533411600000136e+02,-4.887789854635416376e+00,-3.776193729303333746e-01
5.700000000000000000e+01,3.661908921799999916e+02,-4.892596350260416393e+00,-5.018135646566665997e-01
5.705000000000000426e+01,3.350877966200000060e+02,-4.893211244583333119e+00,-4.500137207033332865e-01
5.710000000000000142e+01,3.306203648599999951e+02,-4.895135473072916632e+00,-1.168506978039999950e-01
5.715000000000000568e+01,3.178649042499999950e+02,-4.894140890520833231e+00,-4.612648537466666060e-02
5.720000000000000284e+01,3.238644323699999745e+02,-4.894403084739583853e+00,-2.404606964893333254e-01
5.725000000000000000e+01,3.637450068100000067e+02,-4.898004827968749808e+00,-4.656983603866666765e-01
5.730000000000000426e+01,3.314771033200000261e+02,-4.892612313333333240e+00,7.993524588500000583e-02
5.735000000000000142e+01,3.242282509500000174e+02,-4.889698967812500463e+00,-5.475368844066667018e-01
5.740000000000000568e+01,4.016325152900000148e+02,-4.896812990937499777e+00,-3.666678190500000656e-01
5.745000000000000284e+01,3.642691051200000061e+02,-4.891201586614583263e+00,5.184313871266665874e-03
5.750000000000000000e+01,3.532151444799999922e+02,-4.890297985624999733e+00,-4.631448011966666223e-01
5.755000000000000426e+01,3.310895489800000178e+02,-4.889839396354166645e+00,-1.481180626446666759e-01
5.760000000000000142e+01,3.353818159900000069e+02,-4.893410487656249863e+00,-1.290085680040666538e-01
5.765000000000000568e+01,3.515930035999999745e+02,-4.898707877343750461e+00,-2.712651576633333117e-01
