r_A,P_S,Li_S
2.675000000000000266e+00,0.000000000000000000e+00,2.440913806687901033e+00
2.725000000000000089e+00,0.000000000000000000e+00,2.005287140427582493e+00
2.775000000000000355e+00,0.000000000000000000e+00,1.478937006178474789e+00
2.825000000000000178e+00,0.000000000000000000e+00,1.203024684950731782e+00
2.875000000000000000e+00,0.000000000000000000e+00,9.618961277458353276e-01
2.925000000000000266e+00,0.000000000000000000e+00,7.394964348486577910e-01
2.975000000000000089e+00,0.000000000000000000e+00,6.580477553292438664e-01
3.025000000000000355e+00,0.000000000000000000e+00,5.657798795983259854e-01
3.075000000000000178e+00,0.000000000000000000e+00,4.647624099360490035e-01
3.125000000000000000e+00,8.582210753796374117e-03,3.755451168084252278e-01
3.175000000000000266e+00,8.309307947906158232e-03,3.887925625450227018e-01
3.225000000000000089e+00,3.235240121650870965e-02,2.772320952154846418e-01
3.275000000000000355e+00,3.912549953547504039e-02,3.471189042009718007e-01
3.325000000000000178e+00,6.828516366705852936e-02,3.873037912988775977e-01
3.375000000000000000e+00,8.104117261315083032e-02,3.389230401162133255e-01
3.425000000000000266e+00,2.146386488511671242e-01,3.578364063201514012e-01
3.475000000000000089e+00,2.573126674637674638e-01,4.102400769423802385e-01
3.525000000000000355e+00,5.403902888939713378e-01,3.759466843661303237e-01
3.575000000000000178e+00,6.110865232623416965e-01,4.225889657071702499e-01
3.625000000000000000e+00,8.500343393806228942e-01,4.387308911933693878e-01
3.675000000000000266e+00,1.056535266665741046e+00,5.097580083158969044e-01
3.725000000000000089e+00,9.199731795836288972e-01,4.860906695891146212e-01
3.775000000000000355e+00,9.372707446437879009e-01,5.244618580962888688e-01
3.825000000000000178e+00,9.124656367938284163e-01,5.833919066489831051e-01
3.875000000000000000e+00,1.101417347474930697e+00,6.041182674466677449e-01
3.925000000000000266e+00,8.447078047254820143e-01,5.977448982936650612e-01
3.975000000000000089e+00,9.247335070220150666e-01,6.820341124312216952e-01
4.025000000000000355e+00,8.035032241360451355e-01,7.066038459976755615e-01
4.075000000000000178e+00,8.846966920855983130e-01,8.410413326458954231e-01
4.125000000000000000e+00,8.831388720228435796e-01,7.383921722084576533e-01
4.175000000000000711e+00,7.996578435904543314e-01,8.316652255533517613e-01
4.224999999999999645e+00,8.703429064155777661e-01,9.330481657433997711e-01
4.275000000000000355e+00,9.049484756762959936e-01,9.248258260724997459e-01
4.325000000000000178e+00,9.652749466813077550e-01,9.949374626852687253e-01
4.375000000000000000e+00,1.021840615595920099e+00,9.668312259775792006e-01
4.425000000000000711e+00,9.604222794546739550e-01,1.066264056875968480e+00
4.474999999999999645e+00,9.224375527997897839e-01,9.992625180796498308e-01
4.525000000000000355e+00,1.070333359748286250e+00,1.098916872834909464e+00
4.575000000000000178e+00,1.055151062822051511e+00,1.152765920142869049e+00
4.625000000000000000e+00,1.189351210492134658e+00,1.150296273632036570e+00
4.675000000000000711e+00,1.136941328979063970e+00,1.119202777827393192e+00
4.724999999999999645e+00,1.240996649564686027e+00,1.223604033186715068e+00
4.775000000000000355e+00,1.270871033944534600e+00,1.239882909265596522e+00
4.825000000000001066e+00,1.395837384148755911e+00,1.179340767861793982e+00
4.875000000000000000e+00,1.519404535789339317e+00,1.118788290991248768e+00
4.925000000000000711e+00,1.523061103465195520e+00,1.138838602007378409e+00
4.974999999999999645e+00,1.611498574142846252e+00,1.157959421634141117e+00
