# Time-averaged data for fix msd_out
# TimeStep c_msd_li[1] c_msd_li[2] c_msd_li[3] c_msd_li[4]
225000 7.66082 11.4268 64.2009 83.2885
226000 7.25581 10.8694 65.9996 84.1249
227000 7.55992 11.955 64.1702 83.6851
228000 7.57236 11.6591 63.4908 82.7223
229000 7.24573 11.556 65.0942 83.8959
230000 6.99966 11.95 62.6181 81.5678
231000 7.34326 12.0246 60.8954 80.2633
232000 7.41184 12.2962 62.561 82.269
233000 6.94558 12.5525 63.1802 82.6783
234000 6.91633 11.8146 61.0125 79.7434
235000 7.06705 11.7752 60.1592 79.0014
236000 7.2033 11.2565 62.3427 80.8025
237000 7.40776 11.8557 62.699 81.9625
238000 7.21611 11.8714 62.4311 81.5186
239000 7.39421 11.7477 63.3179 82.4599
240000 7.48569 11.8177 64.2624 83.5658
241000 7.12782 11.3311 62.8642 81.3231
242000 7.26588 11.5008 62.9878 81.7544
243000 7.11925 11.7085 62.8984 81.7261
244000 7.29256 11.1502 65.0441 83.4869
245000 7.57831 11.599 63.9348 83.1122
246000 7.59683 11.9964 64.7703 84.3635
247000 7.03248 11.5483 65.5845 84.1653
248000 7.15828 11.5509 65.3404 84.0496
249000 7.05767 11.7131 64.2711 83.0418
250000 7.74518 12.1135 64.6036 84.4623
251000 7.58943 12.1196 65.7104 85.4195
252000 7.68042 11.3225 66.9131 85.916
253000 7.79458 11.8081 65.9425 85.5452
254000 8.07196 12.2529 64.4196 84.7445
255000 8.34304 12.4779 64.4527 85.2736
256000 8.32866 12.6216 64.2866 85.2369
257000 8.66796 12.9875 65.1113 86.7668
258000 8.66004 13.8492 65.5283 88.0376
259000 8.43988 12.9856 67.8383 89.2638
260000 8.51293 12.9754 69.1746 90.6629
261000 8.82917 13.2445 69.1443 91.218
262000 8.31695 13.9932 71.0635 93.3736
263000 8.79044 14.1454 71.7564 94.6923
264000 8.98381 14.8487 71.1921 95.0246
265000 8.13925 14.3838 71.079 93.602
266000 8.72695 14.6641 72.9394 96.3305
267000 8.44745 14.7907 72.567 95.8052
268000 9.17371 14.5492 72.7489 96.4718
269000 9.45292 14.4407 75.0234 98.917
270000 9.51218 14.1678 77.1871 100.867
271000 8.96969 14.2991 74.8378 98.1066
272000 8.89921 14.0474 76.9785 99.9251
273000 8.94277 14.7418 74.2906 97.9752
274000 9.07323 14.2528 75.0243 98.3504
275000 8.95242 14.5319 74.3895 97.8739
276000 9.12388 14.3738 75.0028 98.5004
277000 8.99082 14.6661 75.499 99.1559
278000 9.23293 13.877 76.3399 99.4498
279000 8.86277 14.1449 79.8453 102.853
280000 9.03932 14.1619 79.5263 102.728
281000 8.85602 13.9507 78.2156 101.022
282000 8.82992 13.7981 79.7535 102.382
283000 8.89292 14.0294 78.9555 101.878
284000 8.79821 13.8265 77.2631 99.8878
285000 9.37292 13.9828 77.1601 100.516
286000 8.91505 14.0591 78.805 101.779
287000 8.8559 14.5117 80.1942 103.562
288000 8.87882 14.0383 79.9544 102.872
289000 8.86536 13.8796 78.4964 101.241
290000 9.42352 14.3685 78.4198 102.212
291000 9.87571 14.3977 76.5328 100.806
292000 9.94117 13.8066 74.0855 97.8333
293000 9.93779 14.2193 76.2216 100.379
294000 10.0053 14.5652 75.0355 99.6059
295000 9.7125 14.8581 74.6345 99.2052
296000 9.89982 15.2508 74.8466 99.9972
297000 9.8005 14.4571 75.5885 99.846
298000 9.46183 14.8382 75.3192 99.6193
299000 9.85344 14.4052 78.0804 102.339
300000 9.75276 14.5103 77.8627 102.126
301000 9.98531 15.0849 78.1607 103.231
302000 9.57006 15.0072 76.218 100.795
303000 9.49101 14.9122 77.7817 102.185
304000 9.7974 15.3753 78.3802 103.553
305000 9.58897 15.0392 76.7951 101.423
306000 9.2401 15.5006 75.5217 100.262
307000 9.34043 16.1568 78.5345 104.032
308000 9.82178 16.4682 78.4732 104.763
309000 9.68445 16.7681 79.2203 105.673
310000 9.77312 15.785 75.3403 100.898
311000 9.80847 16.6576 74.8864 101.352
312000 9.37168 15.4297 77.0632 101.865
313000 9.34195 15.4241 77.0132 101.779
314000 9.867 15.8955 76.6061 102.369
315000 9.84388 15.6701 75.9473 101.461
316000 9.53532 15.1473 76.213 100.896
317000 9.7677 15.0042 77.9225 102.694
318000 10.2574 15.4196 79.403 105.08
319000 9.65995 16.0514 76.645 102.356
320000 10.1445 15.5513 76.8042 102.5
321000 9.76075 15.8429 77.0017 102.605
322000 9.46179 15.8202 78.5114 103.793
323000 9.48614 15.5027 79.8857 104.875
324000 9.4782 15.6656 80.3395 105.483
325000 9.48299 15.3526 77.4691 102.305
326000 9.98587 15.5614 79.7796 105.327
327000 9.3037 15.1637 83.2414 107.709
328000 9.958 15.5977 83.5801 109.136
329000 10.237 15.4035 83.946 109.587
330000 10.1334 15.6595 85.8743 111.667
331000 10.1697 15.3979 84.1544 109.722
332000 10.2927 16.0337 86.4211 112.748
333000 10.5568 15.6029 84.1652 110.325
334000 10.3469 15.9968 86.4397 112.783
335000 11.3682 15.2365 86.4374 113.042
336000 11.0297 15.6493 86.5158 113.195
337000 11.1125 15.4512 90.9697 117.533
338000 11.4928 15.9261 92.0763 119.495
339000 11.8953 15.967 91.1865 119.049
340000 12.0288 15.0725 91.3849 118.486
341000 12.0171 15.9047 92.4167 120.339
342000 11.8581 15.7008 91.472 119.031
343000 11.9192 15.4592 91.0261 118.404
344000 12.106 16.034 91.1854 119.325
345000 12.0263 15.9946 93.5864 121.607
346000 12.0947 15.6072 95.9501 123.652
347000 12.1854 15.6984 94.3651 122.249
348000 12.0465 15.7542 92.4192 120.22
349000 12.3044 15.86 93.1562 121.321
350000 12.3009 15.6508 92.9751 120.927
351000 12.4789 15.2582 94.0151 121.752
352000 12.5754 15.2602 93.4203 121.256
353000 12.2894 15.4186 91.1642 118.872
354000 12.5854 15.7525 93.1928 121.531
355000 12.6572 15.5345 90.7029 118.895
356000 12.413 15.3381 89.3638 117.115
357000 12.3616 15.2038 85.1406 112.706
358000 12.3099 15.5254 86.2368 114.072
359000 12.2064 15.625 88.5908 116.422
360000 11.9657 15.3488 90.0009 117.315
361000 12.0232 15.2803 91.2037 118.507
362000 12.6441 15.4702 92.0746 120.189
363000 11.7387 15.1648 93.3732 120.277
364000 11.8069 15.3448 94.1501 121.302
365000 11.5685 16.1659 93.7089 121.443
366000 11.5748 16.7896 94.579 122.943
367000 11.741 15.9079 93.4827 121.132
368000 12.1573 17.4592 92.3015 121.918
369000 11.92 16.9689 94.0114 122.9
370000 12.0238 16.7618 96.1099 124.896
371000 12.2734 16.5097 99.0667 127.85
372000 12.166 16.414 99.5489 128.129
373000 12.3541 16.4168 100.154 128.924
374000 12.6681 17.1356 95.8981 125.702
375000 12.2709 17.0461 99.2549 128.572
376000 12.4449 17.3507 98.5465 128.342
377000 12.9169 18.0123 99.4685 130.398
378000 12.8835 18.0731 96.7733 127.73
379000 12.3815 17.7518 96.0493 126.183
380000 12.036 17.796 95.1453 124.977
381000 12.0819 17.8038 95.2416 125.127
382000 12.1417 18.3623 97.2173 127.721
383000 12.8764 18.7294 97.7899 129.396
384000 12.6335 19.1792 99.2459 131.059
385000 12.8095 19.8906 99.7318 132.432
386000 12.8453 20.2019 99.8914 132.939
387000 11.9324 20.3684 102.617 134.918
388000 12.9854 19.1945 103.164 135.344
389000 12.3715 19.9592 102.494 134.825
390000 12.1544 19.9613 105.354 137.469
391000 12.9351 19.7026 101.173 133.811
392000 12.6378 19.978 103.504 136.12
393000 12.2147 20.5201 100.679 133.413
394000 12.6049 20.3506 100.11 133.065
395000 12.3787 20.4091 104.565 137.353
396000 12.4421 21.0966 104.186 137.725
397000 12.2296 20.888 103.197 136.315
398000 12.3034 20.8986 104.666 137.868
399000 12.0243 21.2324 106.64 139.897
400000 12.2765 21.6422 105.658 139.577
401000 12.203 21.3389 105.362 138.904
402000 11.9679 21.3568 104.503 137.828
403000 12.7409 22.1213 104.474 139.336
404000 12.5305 21.3073 107.33 141.168
405000 12.7292 21.6749 108.107 142.511
406000 12.4175 21.7662 111.143 145.327
407000 12.0538 21.6797 112.464 146.197
408000 12.7413 22.7173 111.191 146.65
409000 12.6078 22.0372 108.893 143.538
410000 12.8727 22.0198 106.859 141.751
411000 12.3399 22.5341 106.015 140.889
412000 12.3595 22.687 103.331 138.377
413000 12.3009 23.1968 105.641 141.139
414000 12.0635 23.2937 104.733 140.09
415000 12.739 23.1724 104.592 140.503
416000 12.7098 22.3961 102.341 137.447
417000 12.6854 22.9498 106.903 142.539
418000 12.725 23.1512 105.144 141.02
419000 12.8655 22.546 105.804 141.215
420000 12.7438 22.6903 105.436 140.87
421000 13.4276 22.8427 102.944 139.215
422000 12.8254 25.746 102.165 140.737
423000 12.3229 25.3294 104.824 142.477
424000 12.6247 24.2444 105.648 142.517
425000 12.4609 24.8752 107.488 144.824
426000 12.408 25.1918 106.102 143.702
