lag_ps,Li,Zr,Cl,S,O
1.420000000000000107e+01,9.623349563618434077e-01,4.734413754484316228e-01,1.001809991564309943e+00,3.358807274034653623e-01,4.986689048647638955e-01
1.430000000000000071e+01,9.650927234323213311e-01,4.735997598118918961e-01,1.001727529081783086e+00,3.354389778613199313e-01,4.988758845936087094e-01
1.440000000000000036e+01,9.672595456605380670e-01,4.738270558400343724e-01,1.002373341124396244e+00,3.355606328756056134e-01,4.998559621788735696e-01
1.450000000000000000e+01,9.709943844275251701e-01,4.740857172087168947e-01,1.003046291111505006e+00,3.355851333210406184e-01,5.007339492865622299e-01
1.460000000000000142e+01,9.724059174118492299e-01,4.743839842999724721e-01,1.003585201207422228e+00,3.360810874865223785e-01,5.019848758974860825e-01
1.470000000000000107e+01,9.722684693039612691e-01,4.744441241426740619e-01,1.004428687678118326e+00,3.363985349511557366e-01,5.029617329645927892e-01
1.480000000000000071e+01,9.761105726351689826e-01,4.746516350092663816e-01,1.005654313863836080e+00,3.369475446850871414e-01,5.035341397968998711e-01
1.490000000000000036e+01,9.778435963325734503e-01,4.748995918425619744e-01,1.006561352302649981e+00,3.376170821364580243e-01,5.040525492049757750e-01
1.500000000000000000e+01,9.793806152160232648e-01,4.751565729831480067e-01,1.007509167196475985e+00,3.380424558109019761e-01,5.050986428646774273e-01
1.510000000000000142e+01,9.815808820213236530e-01,4.750542637865516338e-01,1.007127631493815345e+00,3.384061067489496644e-01,5.054700726357320706e-01
1.520000000000000107e+01,9.832497605797038132e-01,4.750877116258978572e-01,1.007219977235058961e+00,3.389012224531610107e-01,5.063357605410773177e-01
1.530000000000000071e+01,9.840477104536724529e-01,4.755372558356956714e-01,1.007554489421800481e+00,3.396732822199563517e-01,5.075576207097508563e-01
1.540000000000000036e+01,9.848833922937798580e-01,4.760341925759021819e-01,1.007995635615746233e+00,3.406083580768772268e-01,5.085519108571949776e-01
1.550000000000000000e+01,9.868401091217049448e-01,4.768936296787660845e-01,1.009386254494442081e+00,3.414461630024654970e-01,5.098848142568734865e-01
1.560000000000000142e+01,9.889820897323851057e-01,4.777965662129973201e-01,1.011293933877533080e+00,3.422626264118064365e-01,5.108151391111436235e-01
1.570000000000000107e+01,9.891947978856804324e-01,4.788611534315341811e-01,1.013219150260191492e+00,3.430173383434065304e-01,5.120175225847333200e-01
1.580000000000000071e+01,9.902999011688176090e-01,4.796814872620179804e-01,1.014856941324420836e+00,3.436512974926229647e-01,5.131265187051045062e-01
1.590000000000000036e+01,9.918912467252394283e-01,4.801404362504985146e-01,1.015746389578903619e+00,3.435850131386969375e-01,5.131631761388515400e-01
1.600000000000000000e+01,9.931519676785621753e-01,4.799458813388309819e-01,1.016331066319292376e+00,3.436938800115337811e-01,5.137271135344876338e-01
1.610000000000000142e+01,9.947798750667634637e-01,4.794510743083396087e-01,1.017290570165305663e+00,3.438451679062595190e-01,5.142206014092319810e-01
