lag_ps,Li_A2,Zr_A2,Cl_A2,O_A2
2.711000000000000227e+02,1.670618450595581672e+00,2.847592082325764995e-01,7.793579201346805263e-01,2.045239190630413761e-01
2.711999999999999886e+02,1.670531135676917689e+00,2.840906671161922414e-01,7.788187037866470819e-01,2.027143734486051840e-01
2.713000000000000114e+02,1.669133358238982012e+00,2.845825136019767831e-01,7.794001046182732484e-01,2.009386890723486863e-01
2.714000000000000341e+02,1.670982590975602644e+00,2.850715972703517509e-01,7.818047132865570958e-01,2.010444041414783112e-01
2.715000000000000000e+02,1.671537180398357414e+00,2.878042379634096481e-01,7.865780597146072584e-01,2.036862690448157653e-01
2.716000000000000227e+02,1.672356991616992472e+00,2.911417400317842796e-01,7.911705965809712193e-01,2.061652023119915633e-01
2.716999999999999886e+02,1.672363300359840599e+00,2.925684077259919635e-01,7.916791338802987577e-01,2.064596033310769074e-01
2.718000000000000114e+02,1.670095359897405096e+00,2.928348846598682886e-01,7.911566634790777597e-01,2.066580952927780934e-01
2.719000000000000341e+02,1.667670123753670630e+00,2.931052149204638191e-01,7.913291129441052396e-01,2.108893183079584843e-01
2.720000000000000000e+02,1.669987551547850835e+00,2.939612340180140504e-01,7.906698846423484417e-01,2.139108722397929374e-01
2.721000000000000227e+02,1.668382428134822071e+00,2.942309292799618059e-01,7.893050563922802132e-01,2.113068672979937779e-01
2.721999999999999886e+02,1.661955734530686346e+00,2.936788567492761293e-01,7.876510856430568586e-01,2.072343210890713328e-01
2.723000000000000114e+02,1.658814351485338401e+00,2.930873600652581512e-01,7.866812138012478917e-01,2.088975909783221396e-01
2.724000000000000341e+02,1.660695788755938818e+00,2.907200387310122647e-01,7.848577304750556927e-01,2.069925474071025451e-01
2.725000000000000000e+02,1.656631580436507933e+00,2.872063147131975192e-01,7.819378363267126542e-01,2.030156636448632312e-01
2.726000000000000227e+02,1.652799293742624798e+00,2.842864274449752315e-01,7.780678963594909181e-01,2.018644299429576405e-01
2.726999999999999886e+02,1.645426389731674099e+00,2.821122518518311417e-01,7.731615058321842371e-01,1.986606543444782436e-01
2.728000000000000114e+02,1.641096435506324891e+00,2.823409135603961451e-01,7.714142805682269177e-01,2.007232425350191918e-01
2.729000000000000341e+02,1.639074940084829679e+00,2.839376203219368122e-01,7.734713687545765604e-01,2.028621203350094160e-01
2.730000000000000000e+02,1.641607470095389987e+00,2.863728176866146558e-01,7.772272458790980831e-01,2.059365705261088086e-01
2.731000000000000227e+02,1.639965356781069916e+00,2.880820422254591340e-01,7.792049121260923306e-01,2.042031611182319739e-01
2.731999999999999886e+02,1.640140434054066620e+00,2.891357907155169271e-01,7.790823030888230916e-01,2.051993776964740612e-01
2.733000000000000114e+02,1.637519188893044708e+00,2.914698456769928558e-01,7.803436759441561010e-01,2.082381786931055134e-01
2.734000000000000341e+02,1.638541705929249970e+00,2.927538632577567079e-01,7.806392391837401190e-01,2.102942434038537478e-01
2.735000000000000000e+02,1.646170010594207422e+00,2.926778405981214637e-01,7.809069295489742268e-01,2.091391929058895871e-01
2.736000000000000227e+02,1.645027624177828107e+00,2.929354740459896300e-01,7.812670504664529503e-01,2.089030363513046940e-01
2.736999999999999886e+02,1.646224061027874885e+00,2.926536009399863802e-01,7.811928571576970404e-01,2.080410602876347215e-01
2.738000000000000114e+02,1.641104605683631368e+00,2.913652718223381233e-01,7.810997419944296638e-01,2.069230331968328618e-01
2.739000000000000341e+02,1.639047293468019362e+00,2.893390564615934690e-01,7.802328981715651590e-01,2.051826907207652539e-01
2.740000000000000000e+02,1.636587610056060793e+00,2.869092541561341636e-01,7.782698669274114023e-01,2.014136388267407096e-01
2.741000000000000227e+02,1.629513578632717508e+00,2.840066697040289911e-01,7.763458270115590754e-01,1.970331075859654280e-01
2.741999999999999886e+02,1.619528098006955075e+00,2.835172360519764845e-01,7.760280062399593781e-01,1.980740086436851288e-01
2.743000000000000114e+02,1.625000293765054060e+00,2.839304976347679643e-01,7.777526625808109939e-01,1.994695661089539995e-01
2.744000000000000341e+02,1.631222400358198543e+00,2.855059903805640675e-01,7.795069908979724849e-01,2.006451568606823221e-01
2.745000000000000000e+02,1.641829483163782299e+00,2.874779197592041702e-01,7.804488335791721632e-01,2.034375132371214201e-01
2.746000000000000227e+02,1.650557405281551926e+00,2.888319783850045175e-01,7.795729097151882225e-01,2.046420922663668984e-01
2.746999999999999886e+02,1.654274742780631247e+00,2.906708509186587408e-01,7.802623437717861599e-01,2.056450597787856105e-01
2.748000000000000114e+02,1.656519981964709398e+00,2.922887826952408896e-01,7.806563739174273708e-01,2.074212626846582974e-01
2.749000000000000341e+02,1.661189696363937207e+00,2.924551828391984687e-01,7.818872876388253124e-01,2.101035687894857451e-01
2.750000000000000000e+02,1.657855473513964784e+00,2.931018206883345134e-01,7.848682589284743383e-01,2.103030080421641468e-01
2.751000000000000227e+02,1.655587672715626235e+00,2.942157168555029068e-01,7.860180526397233525e-01,2.085885336495278686e-01
2.751999999999999886e+02,1.657211336514572197e+00,2.930273929702524871e-01,7.857833450857186763e-01,2.072982010062454639e-01
2.753000000000000114e+02,1.657517839665135329e+00,2.911189344155062364e-01,7.857700889669440025e-01,2.046328403702110388e-01
2.754000000000000341e+02,1.658009169896789814e+00,2.899781105806908954e-01,7.855376788019949874e-01,2.078405841639017204e-01
2.755000000000000000e+02,1.653218224413921078e+00,2.902135365050338422e-01,7.845610389400804463e-01,2.066169834569516472e-01
2.756000000000000227e+02,1.649665329143358061e+00,2.902615683917946776e-01,7.837570147309127488e-01,2.048490928120138277e-01
