time_ps,T_K,P_GPa,PE_eV_atom,rho_g_cm3,volume_A3
1.300000000000000000e+02,2.755744214000000056e+02,-1.424850207176666661e-01,-5.477528243382352890e+00,1.838737189254245230e+00,8.322615667544734606e+03
1.300500000000000114e+02,3.032900276899999881e+02,7.655284994199999804e-02,-5.479022019117646636e+00,1.840927615025967690e+00,8.312713012113019431e+03
1.300999999999999943e+02,3.233103426299999796e+02,-5.022967649833334075e-02,-5.478617245588234930e+00,1.848039310037250527e+00,8.280723714408481101e+03
1.301500000000000057e+02,3.180984183900000062e+02,7.687601531000000377e-02,-5.476244397426470734e+00,1.858607181150109700e+00,8.233640273742490535e+03
1.302000000000000171e+02,3.287543332600000099e+02,5.632387508696665851e-02,-5.476737570588235293e+00,1.868945876042988452e+00,8.188093157724249977e+03
1.302500000000000000e+02,3.331564103800000112e+02,1.311090496403333194e-02,-5.477052191176470686e+00,1.883315503908329802e+00,8.125618308789447838e+03
1.303000000000000114e+02,3.362026600400000120e+02,1.176125676033333289e-01,-5.477858912132353097e+00,1.896579509259844754e+00,8.068790612293763843e+03
1.303499999999999943e+02,3.338963294299999802e+02,2.607807264943333148e-01,-5.478788154779412167e+00,1.903466415201777062e+00,8.039597030747895587e+03
1.304000000000000057e+02,3.000892674400000146e+02,1.064679914133333377e-01,-5.476407084558823080e+00,1.903542701583067931e+00,8.039274835840473315e+03
1.304500000000000171e+02,3.138247188799999776e+02,1.577772066274666651e-01,-5.479547086764705810e+00,1.896100032999193719e+00,8.070831007570081965e+03
1.305000000000000000e+02,2.951095734500000276e+02,3.221175230766665926e-02,-5.478212097058823282e+00,1.881996035265617540e+00,8.131315185063463105e+03
1.305500000000000114e+02,3.060282467100000190e+02,1.240059699363333379e-01,-5.479897808823530170e+00,1.874141395237111096e+00,8.165394019189487153e+03
1.305999999999999943e+02,3.282341826200000128e+02,1.322220083613999952e-01,-5.481841610294117650e+00,1.874086683115570251e+00,8.165632399854604046e+03
1.306500000000000057e+02,3.323974263100000144e+02,5.314109458366666344e-02,-5.480641152941176486e+00,1.876056156352314819e+00,8.157060164733520651e+03
1.307000000000000171e+02,3.103515111599999727e+02,-1.588159927693333362e-01,-5.476112087867647027e+00,1.871921788459469660e+00,8.175076028351858440e+03
1.307500000000000000e+02,3.284057254200000102e+02,-2.568885781200000440e-01,-5.476536366911765263e+00,1.868109582462163409e+00,8.191758708081300028e+03
1.308000000000000114e+02,3.469370151800000031e+02,2.680457368966666643e-01,-5.477354576470587766e+00,1.869852361434374055e+00,8.184123653508908319e+03
1.308499999999999943e+02,3.411771010499999761e+02,7.342223811233333786e-02,-5.476961154779411700e+00,1.866702406514061829e+00,8.197933900113215714e+03
1.309000000000000057e+02,3.137285583999999972e+02,1.358161093716666601e-01,-5.475335456250000732e+00,1.866872448041161592e+00,8.197187202500907006e+03
1.309500000000000171e+02,3.060606419299999743e+02,-6.423112539533333554e-02,-5.476394739705882309e+00,1.865047270098143306e+00,8.205209157502620656e+03
1.310000000000000000e+02,3.081914357499999824e+02,4.330563769666668887e-03,-5.477950123161765106e+00,1.867776174046898552e+00,8.193220982483899206e+03
1.310500000000000114e+02,2.910441785799999934e+02,-4.473997896999998281e-02,-5.476166987867647329e+00,1.865889932861079181e+00,8.201503566890141883e+03
1.310999999999999943e+02,3.217394738400000165e+02,4.456092113933333709e-01,-5.479599436029411130e+00,1.870817051424198185e+00,8.179903496247666226e+03
1.311500000000000057e+02,3.067982816599999865e+02,-1.156595522826666667e-01,-5.477020356985294214e+00,1.865873379380001973e+00,8.201576328223038217e+03
1.312000000000000171e+02,3.297560888900000009e+02,3.069091003299999343e-02,-5.477830821323529165e+00,1.860885357216470970e+00,8.223560296414534605e+03
1.312500000000000000e+02,3.317289262599999802e+02,1.323085971899999602e-02,-5.475077454779412101e+00,1.847461443641974288e+00,8.283313837184570730e+03
1.313000000000000114e+02,3.330986109500000225e+02,-2.947907540899999401e-01,-5.473999873161765173e+00,1.837114699102914361e+00,8.329965977223546361e+03
1.313499999999999943e+02,3.331196974700000055e+02,-1.231068948813333480e-01,-5.473979038970588462e+00,1.841609038208271931e+00,8.309637182641739855e+03
1.314000000000000057e+02,3.399310720400000037e+02,-2.320764970510000025e-01,-5.475855766176470851e+00,1.845223865552544584e+00,8.293358451226240504e+03
1.314500000000000171e+02,3.260030589400000167e+02,2.256839191923333543e-01,-5.475688275000000438e+00,1.860762087319107971e+00,8.224105082575326378e+03
1.315000000000000000e+02,3.089137683700000139e+02,-1.473382331866666950e-01,-5.474541691544117405e+00,1.866035906584177839e+00,8.200861990805544337e+03
1.315500000000000114e+02,3.220460792499999911e+02,-5.581961707099999948e-02,-5.476705226470587995e+00,1.871961999004943422e+00,8.174900424217498767e+03
1.315999999999999943e+02,2.953197948900000256e+02,-1.643505926883333246e-01,-5.473671587867647403e+00,1.874060472129921884e+00,8.165746606027149937e+03
1.316500000000000057e+02,3.204171542299999942e+02,1.833366473324999912e-01,-5.477100457352940488e+00,1.887961440708721517e+00,8.105622609559186458e+03
1.317000000000000171e+02,3.280470021099999940e+02,-1.255678738653999982e-01,-5.477518674999999782e+00,1.897040545793197586e+00,8.066829659344976790e+03
1.317500000000000000e+02,3.282267355500000008e+02,1.980434800619999824e-01,-5.477727839705882396e+00,1.898923742593198405e+00,8.058829639407427749e+03
1.318000000000000114e+02,3.207644310499999847e+02,1.314163782466666597e-01,-5.477369531985294415e+00,1.885575959580297223e+00,8.115877200296297815e+03
1.318499999999999943e+02,3.270372175300000208e+02,3.542287784900000069e-02,-5.479212350735293668e+00,1.864824004498911503e+00,8.206191524168296382e+03
1.319000000000000057e+02,2.909904919200000109e+02,-1.734686504630000015e-01,-5.476904146323529510e+00,1.847232418789154895e+00,8.284340824754257483e+03
1.319500000000000171e+02,2.938894594199999801e+02,5.702965024733333554e-02,-5.479087894117647295e+00,1.840724887026373047e+00,8.313628531695563652e+03
1.320000000000000000e+02,3.144226229000000217e+02,-2.059015950343333345e-01,-5.482440017647058461e+00,1.837523413621069412e+00,8.328113169250927967e+03
1.320500000000000114e+02,3.070177874199999906e+02,1.248305829499999665e-02,-5.481181830147058065e+00,1.849451121565057088e+00,8.274402476143644890e+03
1.320999999999999943e+02,3.176506616099999860e+02,-1.434831987103333262e-01,-5.480799406617647307e+00,1.860366797589692256e+00,8.225852535968382654e+03
1.321500000000000057e+02,3.207184980399999858e+02,-7.613003951333333075e-02,-5.478709464705882048e+00,1.872676873200055825e+00,8.171779744166113232e+03
1.322000000000000171e+02,3.352555964300000255e+02,2.212314664473333525e-01,-5.479015946691176531e+00,1.883399366662160013e+00,8.125256496663983853e+03
