lag_ps,Li_A2,Zr_A2,Cl_A2,O_A2
6.400000000000000355e+00,1.074846809366214906e+00,1.885250202889727222e-01,4.075802402930290280e-01,1.534634075872421122e-01
6.500000000000000000e+00,1.079290958593378980e+00,1.875785738688809656e-01,4.079767163085022408e-01,1.525980686441280043e-01
6.600000000000000533e+00,1.087142933876040551e+00,1.876174668867556239e-01,4.093702844300046717e-01,1.538805498965244989e-01
6.700000000000000178e+00,1.094372980933676853e+00,1.883414620474810064e-01,4.114041720182564643e-01,1.541684081584000221e-01
6.800000000000000711e+00,1.102826330245367803e+00,1.890964250470335006e-01,4.122391666204319738e-01,1.551974500357070075e-01
6.900000000000000355e+00,1.108274615949093933e+00,1.893019531172208392e-01,4.127673871348533918e-01,1.536692165103648866e-01
7.000000000000000000e+00,1.110420215165842217e+00,1.901831230962157393e-01,4.143070389890133876e-01,1.556354918717298419e-01
7.100000000000000533e+00,1.116563281889310977e+00,1.910625439771578282e-01,4.164367933487320705e-01,1.562118427323108960e-01
7.200000000000000178e+00,1.127023750236405775e+00,1.921947377325439466e-01,4.196777129705194787e-01,1.569446333333361365e-01
7.300000000000000711e+00,1.136470593775445348e+00,1.933568458670423540e-01,4.222726567865208724e-01,1.580155922266063273e-01
7.400000000000000355e+00,1.141622239794083837e+00,1.942762219866466800e-01,4.236169219067209002e-01,1.579861072849489123e-01
7.500000000000000000e+00,1.147215370592112871e+00,1.945161875008052654e-01,4.246442931216269923e-01,1.590248704991932827e-01
7.600000000000000533e+00,1.153879120828754434e+00,1.953604640154623096e-01,4.263405673835007348e-01,1.593885154177946128e-01
7.700000000000000178e+00,1.162135683046026102e+00,1.964195293468585235e-01,4.290009789857623934e-01,1.587327395870894164e-01
7.800000000000000711e+00,1.171922164048515125e+00,1.966725438941313020e-01,4.310594238203450113e-01,1.584367755543275857e-01
7.900000000000000355e+00,1.181370913402659539e+00,1.972544130510208438e-01,4.340529107494021654e-01,1.590838738311428635e-01
8.000000000000000000e+00,1.190458618407826963e+00,1.980704692856795346e-01,4.353022335430585810e-01,1.579228502390137845e-01
8.099999999999999645e+00,1.199997293017559308e+00,1.978747565632038019e-01,4.359353567543151620e-01,1.576918310888894836e-01
8.200000000000001066e+00,1.206274906793102453e+00,1.977237158631298675e-01,4.369507875719561008e-01,1.580751546602442714e-01
8.300000000000000711e+00,1.215931173181139080e+00,1.987752889564943504e-01,4.398456149507304902e-01,1.578588935727773812e-01
8.400000000000000355e+00,1.227421817194530140e+00,2.001872798026101130e-01,4.427960725151497412e-01,1.588627629936283092e-01
8.500000000000000000e+00,1.237078650671804336e+00,2.014687500574721124e-01,4.442713442933600709e-01,1.610068333186648604e-01
