time_ps,sulfate_fraction_linking_2plus_Zr,mean_Zr_per_sulfate,sulfate_fraction_no_Zr,O_fraction_linking_2plus_Zr
1.710000000000000142e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.719999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.730000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.739999999999999858e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.750000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.760000000000000142e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.769999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.780000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.789999999999999858e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.800000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.810000000000000142e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.819999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.830000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.839999999999999858e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.850000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.860000000000000142e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.869999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.880000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.889999999999999858e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.900000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.910000000000000142e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.919999999999999929e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.930000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.939999999999999858e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.950000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.960000000000000142e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.970000000000000284e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.980000000000000071e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
1.989999999999999858e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
2.000000000000000000e+01,9.375000000000000000e-01,2.750000000000000000e+00,0.000000000000000000e+00,1.562500000000000000e-02
