elapsed_ps,pair76_108_A,minimum_all_NN_A
1.669999999999999929e+00,1.332314343492477571e+00,1.332314343492477571e+00
1.679999999999999938e+00,1.277008631504998215e+00,1.277008631504998215e+00
1.689999999999999947e+00,1.334508740092107182e+00,1.334508740092107182e+00
1.699999999999999956e+00,1.281780999197505766e+00,1.281780999197505766e+00
1.709999999999999964e+00,1.356931900976370953e+00,1.356931900976370953e+00
1.719999999999999973e+00,1.306864091509132075e+00,1.306864091509132075e+00
1.729999999999999982e+00,1.368367610472763785e+00,1.368367610472763785e+00
1.739999999999999991e+00,1.269479277102069981e+00,1.269479277102069981e+00
1.750000000000000000e+00,1.358943649358892669e+00,1.358943649358892669e+00
1.760000000000000009e+00,1.268315290191898148e+00,1.268315290191898148e+00
1.770000000000000018e+00,1.376280055172984129e+00,1.376280055172984129e+00
1.780000000000000027e+00,1.259235308714085289e+00,1.259235308714085289e+00
1.790000000000000036e+00,1.357032830603358331e+00,1.357032830603358331e+00
1.800000000000000044e+00,1.216680833029327724e+00,1.216680833029327724e+00
1.810000000000000053e+00,1.373722426075433045e+00,1.373722426075433045e+00
1.820000000000000062e+00,1.208433405841631503e+00,1.208433405841631503e+00
1.830000000000000071e+00,1.379807860436824907e+00,1.379807860436824907e+00
1.840000000000000080e+00,1.246087746571793886e+00,1.246087746571793886e+00
1.850000000000000089e+00,1.456573088109482050e+00,1.456573088109482050e+00
1.860000000000000098e+00,1.251276148950154932e+00,1.251276148950154932e+00
1.870000000000000107e+00,1.353246653138527211e+00,1.353246653138527211e+00
1.879999999999999893e+00,1.264643257702222634e+00,1.264643257702222634e+00
1.889999999999999902e+00,1.419710088746554799e+00,1.419710088746554799e+00
1.899999999999999911e+00,1.238170657234642036e+00,1.238170657234642036e+00
1.909999999999999920e+00,1.359746901446725609e+00,1.359746901446725609e+00
1.919999999999999929e+00,1.237616617380469464e+00,1.237616617380469464e+00
1.929999999999999938e+00,1.407075737046147967e+00,1.407075737046147967e+00
1.939999999999999947e+00,1.252233216830292983e+00,1.252233216830292983e+00
1.949999999999999956e+00,1.381039240671970481e+00,1.381039240671970481e+00
1.959999999999999964e+00,1.210836476167672426e+00,1.210836476167672426e+00
1.969999999999999973e+00,1.417997387968845446e+00,1.417997387968845446e+00
1.979999999999999982e+00,1.186159784456832567e+00,1.186159784456832567e+00
1.989999999999999991e+00,1.370913596871853546e+00,1.370913596871853546e+00
2.000000000000000000e+00,1.232709273176222586e+00,1.232709273176222586e+00
