# msd.out by GPUMDkit
# Element: Li  |  dt: 1000.0000 fs  |  Frames: 1000  |  Atoms: 32
#     Time(ps)    MSD_x(Ang^2)    MSD_y(Ang^2)    MSD_z(Ang^2)
    291.000000       0.780038       0.747920       0.638332
    292.000000       0.781433       0.747533       0.638496
    293.000000       0.782365       0.753600       0.641345
    294.000000       0.783350       0.752237       0.642986
    295.000000       0.785907       0.755406       0.645065
    296.000000       0.788104       0.753991       0.643737
    297.000000       0.788930       0.754946       0.644373
    298.000000       0.791483       0.754085       0.645793
    299.000000       0.793431       0.756896       0.648421
    300.000000       0.796208       0.756958       0.649905
    301.000000       0.798104       0.759622       0.651560
    302.000000       0.798599       0.761248       0.652658
    303.000000       0.799905       0.761151       0.653162
    304.000000       0.799358       0.760892       0.654463
    305.000000       0.799257       0.760750       0.652242
    306.000000       0.801033       0.761288       0.651845
    307.000000       0.802359       0.763750       0.652659
    308.000000       0.805596       0.764786       0.656821
    309.000000       0.806761       0.764021       0.659192
    310.000000       0.807146       0.762430       0.660416
    311.000000       0.808281       0.761279       0.658769
    312.000000       0.810284       0.757354       0.659223
    313.000000       0.809661       0.759390       0.660783
    314.000000       0.810684       0.760886       0.662386
    315.000000       0.810412       0.761031       0.660939
    316.000000       0.810869       0.763022       0.664093
    317.000000       0.810507       0.761841       0.665259
    318.000000       0.811242       0.762556       0.663949
    319.000000       0.811824       0.763085       0.664654
    320.000000       0.813291       0.765569       0.665597
    321.000000       0.815634       0.762448       0.666423
    322.000000       0.820394       0.761838       0.668849
    323.000000       0.820773       0.761977       0.670016
    324.000000       0.822176       0.762236       0.670416
    325.000000       0.823776       0.764153       0.673537
    326.000000       0.824877       0.765098       0.675858
    327.000000       0.826742       0.764626       0.678001
    328.000000       0.827448       0.766002       0.678513
    329.000000       0.829748       0.764899       0.678814
    330.000000       0.830161       0.767650       0.681419
    331.000000       0.831024       0.766533       0.681111
    332.000000       0.833267       0.767267       0.679963
    333.000000       0.834868       0.767422       0.681396
    334.000000       0.834222       0.767916       0.684400
    335.000000       0.836725       0.768872       0.687853
    336.000000       0.839250       0.771353       0.688045
    337.000000       0.839445       0.773809       0.686233
    338.000000       0.839872       0.771588       0.686801
    339.000000       0.841871       0.775938       0.689365
    340.000000       0.843052       0.773399       0.689624
    341.000000       0.843790       0.773258       0.690363
    342.000000       0.844563       0.775318       0.690002
    343.000000       0.844694       0.773342       0.689453
    344.000000       0.846670       0.772067       0.692380
    345.000000       0.846609       0.768655       0.694609
    346.000000       0.848388       0.773443       0.695311
    347.000000       0.850212       0.773140       0.695558
    348.000000       0.846391       0.771059       0.695544
    349.000000       0.848252       0.771374       0.698457
    350.000000       0.848143       0.773678       0.700840
    351.000000       0.847252       0.775115       0.701679
    352.000000       0.848691       0.776338       0.701148
    353.000000       0.850334       0.777956       0.701315
    354.000000       0.851229       0.777460       0.703100
    355.000000       0.853385       0.774968       0.703107
    356.000000       0.855096       0.775403       0.705378
    357.000000       0.856726       0.773778       0.704495
    358.000000       0.857236       0.771463       0.705524
    359.000000       0.859441       0.768197       0.704455
    360.000000       0.859787       0.768586       0.705455
    361.000000       0.860254       0.769167       0.705840
    362.000000       0.860876       0.770010       0.708746
    363.000000       0.860212       0.769576       0.711426
    364.000000       0.860634       0.768427       0.710668
    365.000000       0.861840       0.768077       0.708856
    366.000000       0.861301       0.765146       0.709728
    367.000000       0.861245       0.766922       0.709782
    368.000000       0.863022       0.765338       0.710899
    369.000000       0.862974       0.767365       0.712314
    370.000000       0.864564       0.769194       0.709073
    371.000000       0.865147       0.767370       0.710090
    372.000000       0.864957       0.770685       0.712626
    373.000000       0.865012       0.774052       0.712400
    374.000000       0.865683       0.773268       0.712854
    375.000000       0.865502       0.774125       0.712232
    376.000000       0.865205       0.772708       0.709880
    377.000000       0.867086       0.772443       0.710810
    378.000000       0.866531       0.773389       0.712029
    379.000000       0.869423       0.775632       0.710178
    380.000000       0.871023       0.780263       0.710797
    381.000000       0.872651       0.776839       0.710165
    382.000000       0.874396       0.781260       0.710154
    383.000000       0.876750       0.783968       0.711240
    384.000000       0.877678       0.782546       0.712350
    385.000000       0.878486       0.781950       0.713686
    386.000000       0.880800       0.782834       0.715432
    387.000000       0.883107       0.782954       0.717949
    388.000000       0.883633       0.784938       0.715709
    389.000000       0.886639       0.786050       0.718410
    390.000000       0.888734       0.790500       0.721102
    391.000000       0.889795       0.790542       0.723271
    392.000000       0.890537       0.791946       0.723821
    393.000000       0.890633       0.795502       0.726146
    394.000000       0.892041       0.794229       0.725757
    395.000000       0.892774       0.797222       0.727820
    396.000000       0.894628       0.802678       0.727864
    397.000000       0.896538       0.803859       0.728701
    398.000000       0.898806       0.805244       0.730793
    399.000000       0.898221       0.808284       0.732861
    400.000000       0.900649       0.809593       0.734301
    401.000000       0.900559       0.811644       0.733878
    402.000000       0.901948       0.813272       0.734376
    403.000000       0.905167       0.813327       0.736144
    404.000000       0.906611       0.814569       0.737924
    405.000000       0.907789       0.816999       0.738110
    406.000000       0.908464       0.815343       0.737537
    407.000000       0.909558       0.814907       0.740264
    408.000000       0.909487       0.815454       0.741051
    409.000000       0.911541       0.819447       0.740213
    410.000000       0.913975       0.817792       0.741377
    411.000000       0.913693       0.814526       0.739948
    412.000000       0.915898       0.816196       0.741233
    413.000000       0.916705       0.816749       0.744451
    414.000000       0.918315       0.817655       0.743211
    415.000000       0.920932       0.818216       0.742982
    416.000000       0.921177       0.815911       0.745346
    417.000000       0.920987       0.817626       0.747017
    418.000000       0.920957       0.817969       0.744719
    419.000000       0.919437       0.816823       0.742150
    420.000000       0.920372       0.819133       0.742731
    421.000000       0.922048       0.818662       0.743365
    422.000000       0.925314       0.818043       0.742958
    423.000000       0.927486       0.817493       0.741952
    424.000000       0.928285       0.821807       0.745404
    425.000000       0.931315       0.821069       0.743336
    426.000000       0.932211       0.823813       0.745637
    427.000000       0.933425       0.824984       0.746826
    428.000000       0.935583       0.825499       0.748045
    429.000000       0.936796       0.824661       0.748703
    430.000000       0.937171       0.828218       0.750518
    431.000000       0.936235       0.826366       0.749730
    432.000000       0.937933       0.829306       0.751386
    433.000000       0.938299       0.827107       0.751928
    434.000000       0.937289       0.828563       0.751247
    435.000000       0.939517       0.830353       0.753650
    436.000000       0.938228       0.827984       0.751248
    437.000000       0.937187       0.828581       0.752583
    438.000000       0.938974       0.827445       0.749741
    439.000000       0.938878       0.830250       0.749631
    440.000000       0.938670       0.831402       0.749182
    441.000000       0.938139       0.832027       0.750669
    442.000000       0.937670       0.831366       0.749027
    443.000000       0.939293       0.832724       0.752713
    444.000000       0.939697       0.834077       0.749098
    445.000000       0.941462       0.833921       0.751638
    446.000000       0.942790       0.836049       0.752167
    447.000000       0.943293       0.837902       0.750305
    448.000000       0.945335       0.842078       0.751484
    449.000000       0.946737       0.840631       0.749662
    450.000000       0.947518       0.843396       0.752580
    451.000000       0.950999       0.847148       0.754591
    452.000000       0.952790       0.849480       0.756511
    453.000000       0.953607       0.850124       0.756721
    454.000000       0.956370       0.852260       0.759532
    455.000000       0.957334       0.852957       0.760790
    456.000000       0.957917       0.850171       0.761138
    457.000000       0.959476       0.851685       0.761182
    458.000000       0.960659       0.852511       0.759252
    459.000000       0.961479       0.852408       0.760159
    460.000000       0.963299       0.853274       0.759584
    461.000000       0.964621       0.853400       0.756667
    462.000000       0.966311       0.854705       0.756368
    463.000000       0.966850       0.855925       0.755736
    464.000000       0.966153       0.853222       0.757495
    465.000000       0.968853       0.855965       0.758237
    466.000000       0.968510       0.852667       0.759445
    467.000000       0.967758       0.856299       0.761206
    468.000000       0.967861       0.855388       0.762138
    469.000000       0.968598       0.855709       0.762380
    470.000000       0.969908       0.861117       0.762303
    471.000000       0.973805       0.860003       0.766160
    472.000000       0.974526       0.860509       0.765914
    473.000000       0.974070       0.860533       0.767902
    474.000000       0.975244       0.863211       0.766622
    475.000000       0.976672       0.863234       0.772646
    476.000000       0.978847       0.861418       0.773537
    477.000000       0.979119       0.863085       0.774884
    478.000000       0.978665       0.863339       0.776382
    479.000000       0.976988       0.863924       0.777128
    480.000000       0.978095       0.865300       0.776010
    481.000000       0.979218       0.861397       0.780700
    482.000000       0.978555       0.863269       0.780414
    483.000000       0.979862       0.864732       0.781925
    484.000000       0.980381       0.862769       0.780551
    485.000000       0.982145       0.865605       0.782888
    486.000000       0.983125       0.866870       0.783740
    487.000000       0.981590       0.867383       0.784202
    488.000000       0.979317       0.867599       0.784756
    489.000000       0.980686       0.867399       0.785526
    490.000000       0.983851       0.868665       0.786897
    491.000000       0.987505       0.872737       0.786177
    492.000000       0.989202       0.873269       0.789906
    493.000000       0.990129       0.874919       0.788959
    494.000000       0.991434       0.878164       0.789822
    495.000000       0.991600       0.877940       0.791752
    496.000000       0.993096       0.881522       0.793002
    497.000000       0.992759       0.884237       0.794512
    498.000000       0.994733       0.884820       0.794137
    499.000000       0.997070       0.883574       0.794349
    500.000000       0.997096       0.883047       0.797958
