r_A,normalized_G_proxy
5.74,-0.029704819822182107
5.779999999999999,-0.045324395042544006
5.82,-0.03715091017739984
5.859999999999999,-0.03259535421149392
5.9,-0.03959296063384074
5.9399999999999995,-0.040343621785223334
5.98,-0.023916513199491243
6.02,-0.03496490552098452
6.0600000000000005,-0.03793092330749574
6.1,-0.04259242664978882
6.140000000000001,-0.035451870055134824
6.18,-0.019219331376225477
6.220000000000001,-0.023136108497029965
6.26,-0.011725506955774092
6.300000000000001,-0.017824493020995723
6.34,-0.005401297168617242
6.380000000000001,-0.006646494348825285
6.42,0.008225775050362991
6.460000000000001,0.03005879020656262
6.5,0.02573754613246203
6.540000000000001,0.02153531714299154
6.58,0.03628507565068594
6.620000000000001,0.03592384216986587
6.66,0.034043077209942915
6.699999999999999,0.03564669572840839
6.74,0.04064883352010615
6.779999999999999,0.030382535621707788
6.82,0.02665569066780308
6.859999999999999,0.013441098493135703
6.9,-0.0027786865923915497
6.9399999999999995,-0.015155704175538276
6.98,-0.026113804781947882
7.02,-0.02440352177843296
7.0600000000000005,-0.03388774826827416
7.1,-0.05106943742075846
7.140000000000001,-0.05012569192711801
7.18,-0.04938188291132264
7.220000000000001,-0.05790765380778027
7.26,-0.07287593527179112
7.300000000000001,-0.07724725558704337
7.34,-0.048534838424839535
7.380000000000001,-0.05826652895005802
7.42,-0.05584305950536184
7.460000000000001,-0.05206656203913378
7.5,-0.04802096641443522
7.540000000000001,-0.042514050337162
7.58,-0.04955332148448449
7.620000000000001,-0.0498191057286488
7.66,-0.04053715644149119
7.699999999999999,-0.04743463757117538
7.74,-0.06264752890868554
7.779999999999999,-0.05148891425524425
7.82,-0.05955791473644049
7.859999999999999,-0.046290285995176476
7.9,-0.06418656037234574
7.9399999999999995,-0.06732023965599528
7.98,-0.06612568551965466
