# msd.out by GPUMDkit
# Element: Li  |  dt: 1000.0000 fs  |  Frames: 1000  |  Atoms: 144
#     Time(ps)    MSD_x(Ang^2)    MSD_y(Ang^2)    MSD_z(Ang^2)
    173.000000       1.016457       1.149212       0.715597
    174.000000       1.021478       1.156143       0.719106
    175.000000       1.026734       1.163340       0.722253
    176.000000       1.031640       1.170411       0.725826
    177.000000       1.036201       1.177883       0.728810
    178.000000       1.041291       1.185388       0.732945
    179.000000       1.045163       1.192167       0.735579
    180.000000       1.050429       1.199061       0.739349
    181.000000       1.055329       1.206077       0.742867
    182.000000       1.059009       1.212761       0.746855
    183.000000       1.064695       1.219174       0.750655
    184.000000       1.069861       1.226982       0.754165
    185.000000       1.074783       1.233607       0.756839
    186.000000       1.080020       1.240465       0.760747
    187.000000       1.085313       1.247905       0.764680
    188.000000       1.090305       1.254074       0.768125
    189.000000       1.095291       1.261004       0.770550
    190.000000       1.099698       1.267937       0.774502
    191.000000       1.104224       1.274716       0.778666
    192.000000       1.109619       1.281287       0.782690
    193.000000       1.114427       1.289653       0.786392
    194.000000       1.119310       1.296426       0.790644
    195.000000       1.124206       1.303576       0.794384
    196.000000       1.129523       1.310830       0.798263
    197.000000       1.134316       1.318311       0.802391
    198.000000       1.139273       1.325069       0.805320
    199.000000       1.144224       1.332788       0.810098
    200.000000       1.148745       1.339932       0.814207
    201.000000       1.154018       1.347982       0.818109
    202.000000       1.158701       1.355806       0.821552
    203.000000       1.163780       1.363956       0.826550
    204.000000       1.168850       1.370502       0.830369
    205.000000       1.174341       1.377168       0.834694
    206.000000       1.179370       1.385258       0.838681
    207.000000       1.184404       1.393053       0.842076
    208.000000       1.189421       1.399306       0.846588
    209.000000       1.194211       1.406583       0.850812
    210.000000       1.199482       1.414669       0.853689
    211.000000       1.203934       1.421250       0.858719
    212.000000       1.209106       1.428632       0.862350
    213.000000       1.214153       1.436294       0.865421
    214.000000       1.218108       1.444765       0.869657
    215.000000       1.223284       1.451946       0.874126
    216.000000       1.228037       1.459654       0.877936
    217.000000       1.233064       1.467302       0.880926
    218.000000       1.238295       1.475543       0.885363
    219.000000       1.243313       1.482341       0.889367
    220.000000       1.248587       1.490668       0.892400
    221.000000       1.253507       1.498523       0.896370
    222.000000       1.258561       1.506354       0.899944
    223.000000       1.263747       1.514757       0.903431
    224.000000       1.269146       1.522950       0.907083
    225.000000       1.273615       1.530313       0.911442
    226.000000       1.278402       1.537827       0.914943
    227.000000       1.283359       1.544600       0.918741
    228.000000       1.287999       1.552405       0.921251
    229.000000       1.292668       1.559499       0.925105
    230.000000       1.297719       1.567387       0.927937
    231.000000       1.301956       1.574752       0.932114
