stage_time_ps,Li_A2,Zr_A2,O_A2,Cl_A2
1.055000000000000071e+01,1.031411454378802546e+02,1.243192034866581430e+01,1.049121590826439210e+01,2.883211820599849773e+01
1.060000000000000142e+01,1.057943209066253303e+02,1.281653351547993402e+01,1.022396978459294559e+01,2.927010994176878356e+01
1.065000000000000213e+01,1.093651191832033760e+02,1.358218850252348808e+01,1.152100066777425980e+01,2.965248818338832848e+01
1.069999999999999929e+01,1.094690707418945976e+02,1.371373067988338157e+01,1.083388893435225064e+01,3.037306151439291568e+01
1.075000000000000000e+01,1.092979201860255074e+02,1.376680134855136117e+01,1.195054760235438884e+01,3.068982351039957024e+01
1.080000000000000071e+01,1.097696838417305827e+02,1.386307292703259719e+01,1.190642050520012596e+01,3.091693195828974083e+01
1.085000000000000142e+01,1.117671162738352422e+02,1.432190345078616645e+01,1.204798296783921607e+01,3.142715425198646173e+01
1.090000000000000213e+01,1.108206549039186228e+02,1.448666180257918512e+01,1.217216729254456986e+01,3.175018151459915927e+01
1.094999999999999929e+01,1.124498713131673497e+02,1.445130375365772046e+01,1.186796008265624813e+01,3.212643834101784535e+01
1.100000000000000000e+01,1.128232624660375336e+02,1.440282668380591247e+01,1.173774553880321037e+01,3.260655828061673134e+01
1.105000000000000071e+01,1.140906145759950050e+02,1.427860943173649133e+01,1.200106602990595839e+01,3.311891683003756270e+01
1.110000000000000142e+01,1.168242327146387964e+02,1.446522758929544494e+01,1.197947077794285597e+01,3.319645154518891417e+01
1.115000000000000213e+01,1.148299904575048345e+02,1.472527375534151872e+01,1.222879573866927849e+01,3.310055028870677774e+01
1.119999999999999929e+01,1.142740773330875328e+02,1.450201254457724609e+01,1.304321865151061566e+01,3.346693039191049479e+01
1.125000000000000000e+01,1.152638441852638351e+02,1.486355010890007122e+01,1.306614168070100135e+01,3.346903996202333786e+01
1.130000000000000071e+01,1.163101263321397170e+02,1.527548908152881602e+01,1.314508493215009288e+01,3.326283301193356579e+01
1.135000000000000142e+01,1.175032630553451298e+02,1.528344726811123877e+01,1.357876870113413936e+01,3.283534889370988452e+01
1.140000000000000213e+01,1.181392217491881098e+02,1.500585916242795825e+01,1.359592141339194704e+01,3.234664670468826131e+01
1.144999999999999929e+01,1.193899226693377926e+02,1.430306188868512152e+01,1.342750563151707155e+01,3.186632182597324103e+01
1.150000000000000000e+01,1.205420762187155503e+02,1.403875820197260005e+01,1.280602353101173385e+01,3.155441016817911759e+01
1.155000000000000071e+01,1.226693278056737881e+02,1.382250646625537627e+01,1.244213187034922008e+01,3.176516102888234272e+01
1.160000000000000142e+01,1.248588087084413445e+02,1.370392407257551781e+01,1.202878107218136705e+01,3.166201272239572262e+01
1.165000000000000213e+01,1.267294400540516648e+02,1.384133118735936385e+01,1.147669677664763022e+01,3.175581354805600398e+01
1.169999999999999929e+01,1.257907989607271162e+02,1.390349050497374073e+01,1.173884652430098008e+01,3.192104876070050778e+01
1.175000000000000000e+01,1.264816804363273945e+02,1.402555062117060913e+01,1.120560061137406649e+01,3.183697844050528047e+01
1.180000000000000071e+01,1.308432306779746739e+02,1.412179122726710467e+01,1.066159068759602313e+01,3.216030331161263689e+01
1.185000000000000142e+01,1.316484742339523279e+02,1.425550250571562572e+01,1.094398569075480054e+01,3.200186774396872380e+01
1.190000000000000213e+01,1.308090996522819012e+02,1.421550156454378744e+01,1.144238598137583729e+01,3.201638125517452238e+01
1.194999999999999929e+01,1.299396457768274331e+02,1.457670979306671910e+01,1.045417040001136932e+01,3.240416140828705238e+01
1.200000000000000000e+01,1.291677920574105372e+02,1.487361551299699869e+01,1.044439731184440845e+01,3.266442755380745666e+01
1.205000000000000071e+01,1.313942676375694987e+02,1.471614484191168515e+01,1.099111109720997170e+01,3.299410390825771344e+01
