r_A,P_O,P_N,Li_O,Li_N
2.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.288099197553992603e+00,1.295959074214118045e+00
2.174999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.761314286437439369e+00,1.015202385601632118e+00
2.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.311181510793958616e+00,8.411437510702711728e-01
2.275000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.048360125464738779e+00,5.867781085579114597e-01
2.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.672179884691096019e-01,3.265440901950313890e-01
2.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.642985899001425887e-01,2.547210584975490577e-01
2.425000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.816642588137729497e-01,1.229562013742220988e-01
2.475000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.574932109531348878e-01,1.040722501266291428e-01
2.525000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.285295083808368100e-01,7.536743532606694773e-02
2.575000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.419961379041289495e-01,1.205094238316394978e-01
2.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.069298861520319055e-01,3.459411106494587884e-02
2.675000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.456306230833300686e-01,2.121968365854500216e-01
2.725000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.940895629089062102e-01,1.401773709627496256e-01
2.775000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.477727048939865506e-01,1.461918819948445636e-01
2.825000000000000178e+00,0.000000000000000000e+00,2.956748356531331209e-02,5.896973123254138915e-01,2.409387108614433615e-01
2.875000000000000000e+00,7.593278617196060065e-03,0.000000000000000000e+00,6.728356626841767163e-01,2.615721356071368797e-01
2.925000000000000266e+00,2.458504390453112795e-03,8.233484358012098381e-02,6.649888481240775473e-01,4.587898441015233475e-01
2.975000000000000089e+00,2.844529369356186069e-02,3.458887186345644960e-01,6.760047814105201169e-01,4.346742214155006057e-01
3.025000000000000355e+00,7.109366896177078676e-02,5.388253862200412803e-01,7.219160381920961544e-01,8.049222674506214537e-01
3.075000000000000178e+00,2.023929915701893345e-01,7.222339118617218112e-01,7.954219677199386718e-01,1.023289334794393213e+00
3.125000000000000000e+00,3.074093188259099385e-01,4.823458506659274447e-01,8.575264294579106883e-01,1.247329367472045147e+00
3.175000000000000266e+00,3.477933558013055482e-01,6.074496823132796708e-01,8.858781882003481378e-01,1.667888850930326239e+00
3.225000000000000089e+00,4.888756435048833837e-01,3.376345491541180577e-01,9.013608265989558888e-01,1.500461645043576153e+00
3.275000000000000355e+00,5.911991302666459447e-01,5.037874950927931916e-01,9.375467839505762235e-01,1.603948551399386968e+00
