r_A,P_O,P_N,Li_O,Li_N
2.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.990458680447643403e+00,1.763375168689614414e+00
2.174999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.554918388459710199e+00,1.172692273750586045e+00
2.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.190460219435599099e+00,8.110870394783269433e-01
2.275000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.865213404839518141e-01,8.535869186715703272e-01
2.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.007213732531238026e-01,6.856524954319216381e-01
2.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.776367308186534877e-01,4.277219544967308940e-01
2.425000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.031030828417097034e-01,2.867917133794186113e-01
2.475000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.388204003933533714e-01,2.102414422065859434e-01
2.525000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.380090479127146885e-01,2.022833939631951128e-01
2.575000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.174035225689220696e-01,3.032898586100177818e-01
2.625000000000000000e+00,6.093083685821706723e-03,0.000000000000000000e+00,3.660090426420578580e-01,3.269239556062176200e-01
2.675000000000000266e+00,2.940052594847723452e-03,0.000000000000000000e+00,3.573454772552033809e-01,3.604502700410466276e-01
2.725000000000000089e+00,2.852663764163718141e-02,0.000000000000000000e+00,4.442466717932013198e-01,2.486877132651045819e-01
2.775000000000000355e+00,5.193880236535389217e-02,0.000000000000000000e+00,4.989550004468388256e-01,3.753912510077845877e-01
2.825000000000000178e+00,1.323297455348466101e-01,0.000000000000000000e+00,5.697621820110115864e-01,2.525678597673796655e-01
2.875000000000000000e+00,7.123360350368516947e-02,2.840133213398654544e-02,6.382684445216587621e-01,2.928306774061424367e-01
2.925000000000000266e+00,7.390657560061129894e-02,1.932099670171704697e-01,7.301150396357969363e-01,3.288169095595271374e-01
2.975000000000000089e+00,1.313252409123491227e-01,4.804105615808040852e-01,7.925314682059072524e-01,2.904646726732675877e-01
3.025000000000000355e+00,1.661674101582301388e-01,5.947370517114248800e-01,8.817110267120146228e-01,5.188729302587812287e-01
3.075000000000000178e+00,2.116840769049320170e-01,2.748759100518313181e-01,9.762871740887102412e-01,5.792058477232284730e-01
3.125000000000000000e+00,3.624215136797154235e-01,3.866891265776521980e-01,9.789011533288545230e-01,4.774848238500245534e-01
3.175000000000000266e+00,4.289313851052950488e-01,2.807172373366074725e-01,1.063012658626492302e+00,6.696352606641292615e-01
3.225000000000000089e+00,7.379749656556969795e-01,1.591972429788050536e-01,1.039353372981661972e+00,1.013296750902141996e+00
3.275000000000000355e+00,8.753140229092459812e-01,1.107544777401417990e-01,1.022346122475370711e+00,1.020437416458635171e+00
