lag_ps,Li_A2,P_A2,O_A2,N_A2
9.400000000000000355e+00,1.619232070608322527e+00,1.314943332905302020e-01,4.104035334169651716e-01,4.350659338561397860e-01
9.500000000000000000e+00,1.630893636724514373e+00,1.322024244599875886e-01,4.122045981219851774e-01,4.381347984966618148e-01
9.600000000000001421e+00,1.643100718593675458e+00,1.329530877147847012e-01,4.143798258414742031e-01,4.401762523318035747e-01
9.700000000000001066e+00,1.655371597423862973e+00,1.332222665557553642e-01,4.156206540469172817e-01,4.421773016317039340e-01
9.800000000000000711e+00,1.666549626577003007e+00,1.337539576333449109e-01,4.180502803034029657e-01,4.438273915823448545e-01
9.900000000000000355e+00,1.679051531506676298e+00,1.339975884447983101e-01,4.198127436857808092e-01,4.449260509851821754e-01
1.000000000000000000e+01,1.691934244773038998e+00,1.338289610044341993e-01,4.206574590302377681e-01,4.466222713355978424e-01
1.010000000000000142e+01,1.703230612640527442e+00,1.343934282618115261e-01,4.223619309750651918e-01,4.486480328605062518e-01
1.020000000000000107e+01,1.716429726716947046e+00,1.345574329360811061e-01,4.241716028516561154e-01,4.512754101777634030e-01
1.030000000000000071e+01,1.728139343930228833e+00,1.350016870380248979e-01,4.258888967691732419e-01,4.517355462378851438e-01
1.040000000000000036e+01,1.739217322097802887e+00,1.354660622589745900e-01,4.269326254712823010e-01,4.529805935118859095e-01
1.050000000000000000e+01,1.750620351925974649e+00,1.351057068566877406e-01,4.276675944437393073e-01,4.551319574882817798e-01
1.060000000000000142e+01,1.763346181600115914e+00,1.356310330946392251e-01,4.297910237374749642e-01,4.539814455491133494e-01
1.070000000000000107e+01,1.774976027114851806e+00,1.362087929215774484e-01,4.311923425325789316e-01,4.551177644990554993e-01
1.080000000000000071e+01,1.785755841434800484e+00,1.362792133097452674e-01,4.322072252946638771e-01,4.557754120426726896e-01
1.090000000000000036e+01,1.797307081539451179e+00,1.363201239332485493e-01,4.331513174585513437e-01,4.581857952578075044e-01
1.100000000000000000e+01,1.808799482392522862e+00,1.359233934102373753e-01,4.332243475072702910e-01,4.601136423105424145e-01
1.110000000000000142e+01,1.817960641585972814e+00,1.360379853930735183e-01,4.343307975336526128e-01,4.596282696028900494e-01
1.120000000000000107e+01,1.830416280844871846e+00,1.366813145545182628e-01,4.364082695640746912e-01,4.614680142806990015e-01
1.130000000000000071e+01,1.841001699236352707e+00,1.364983053213303654e-01,4.370763897715724267e-01,4.623034217044755811e-01
1.140000000000000036e+01,1.852970120481439942e+00,1.362170004952433511e-01,4.377473378789849545e-01,4.654673100437208833e-01
1.150000000000000000e+01,1.863786545720754528e+00,1.365983527276112552e-01,4.391129228787614691e-01,4.674768057166285296e-01
1.160000000000000142e+01,1.875437103583454057e+00,1.365604570324607248e-01,4.395406840379593172e-01,4.692600542973549005e-01
1.170000000000000107e+01,1.886531540356174874e+00,1.366333817823093266e-01,4.408264393459701003e-01,4.704493750156393261e-01
1.180000000000000071e+01,1.899895756881179620e+00,1.373972560150445998e-01,4.431284344882976955e-01,4.719705426626536471e-01
1.190000000000000036e+01,1.911201803803674215e+00,1.377101623743615944e-01,4.444272842228245701e-01,4.750309176808572009e-01
1.200000000000000000e+01,1.921623217994193000e+00,1.370556078499338692e-01,4.443495718310381259e-01,4.751377603469088551e-01
1.210000000000000142e+01,1.933678704303231521e+00,1.376977473340630920e-01,4.459500431654980224e-01,4.789366985919175645e-01
1.220000000000000107e+01,1.946266945080391553e+00,1.381487082318765547e-01,4.479066331258648170e-01,4.797264856866275129e-01
1.230000000000000071e+01,1.957738215339639876e+00,1.384021522392883952e-01,4.490023319544868552e-01,4.824013407933667730e-01
1.240000000000000036e+01,1.969671195914521444e+00,1.379045734164378312e-01,4.493031297717430261e-01,4.816379456942252446e-01
1.250000000000000000e+01,1.982077087570392804e+00,1.384745377700075109e-01,4.514345570142006547e-01,4.820484126409980696e-01
1.260000000000000142e+01,1.994700758673392027e+00,1.387391784789864524e-01,4.529028922974718263e-01,4.834457202225705963e-01
1.270000000000000107e+01,2.006254949288481804e+00,1.392211336538108912e-01,4.543560709246167173e-01,4.858926068373697893e-01
1.280000000000000071e+01,2.018823021071222801e+00,1.387899232489257784e-01,4.554846773605592536e-01,4.853381943359694195e-01
1.290000000000000036e+01,2.029805624614799520e+00,1.392472239167341641e-01,4.568627534795433598e-01,4.862152309085263635e-01
1.300000000000000000e+01,2.041490680184250284e+00,1.394233172797486597e-01,4.584875497059466842e-01,4.874723906450408872e-01
1.310000000000000142e+01,2.052876197521526613e+00,1.395461758342957104e-01,4.594896250606525512e-01,4.878266417573784985e-01
1.320000000000000107e+01,2.063428976889160271e+00,1.395646108740097868e-01,4.607889378520292345e-01,4.900554267382684070e-01
1.330000000000000071e+01,2.075180354861086762e+00,1.403062364578588350e-01,4.629557913633455257e-01,4.914056353554897005e-01
1.340000000000000036e+01,2.088112908755429764e+00,1.404046426930877778e-01,4.642196633326388655e-01,4.928829347736596866e-01
1.350000000000000000e+01,2.099412737681782826e+00,1.400854349179976865e-01,4.651419325415666051e-01,4.931962430299650646e-01
1.360000000000000142e+01,2.111891322375455626e+00,1.403891272507092336e-01,4.663658479202795193e-01,4.947193339557097724e-01
1.370000000000000107e+01,2.123482418596768007e+00,1.404820871751669420e-01,4.679343001260571344e-01,4.959162287302922301e-01
1.380000000000000071e+01,2.133354823691376190e+00,1.410421860087457402e-01,4.694536764844677301e-01,4.977880774470751502e-01
1.390000000000000036e+01,2.144738850561613397e+00,1.411753871266415716e-01,4.712366606198702401e-01,4.980542811733403852e-01
1.400000000000000000e+01,2.155580398473882386e+00,1.415092839602978270e-01,4.723785631959704912e-01,4.983537593525366183e-01
1.410000000000000142e+01,2.165315496750268132e+00,1.416029612174229124e-01,4.736565408136819144e-01,4.994823438434974894e-01
1.420000000000000107e+01,2.177762774190807882e+00,1.417868047695044764e-01,4.745778826261189409e-01,5.019802860782881515e-01
1.430000000000000071e+01,2.188954466570916413e+00,1.421541055358105377e-01,4.758961651191737641e-01,5.050945392424205371e-01
1.440000000000000036e+01,2.199775226395491057e+00,1.431830759640518591e-01,4.779013311591364666e-01,5.058508124904165237e-01
1.450000000000000000e+01,2.210044648373888698e+00,1.432313387490908863e-01,4.794904154404695529e-01,5.074052358201988078e-01
1.460000000000000142e+01,2.220328066331210159e+00,1.429559203234998244e-01,4.804996177832171478e-01,5.070511198624135796e-01
1.470000000000000107e+01,2.231166546186257982e+00,1.430529048264376768e-01,4.817885002760133317e-01,5.093483434955953237e-01
1.480000000000000071e+01,2.243784232727886074e+00,1.439205959135720914e-01,4.836971092332514877e-01,5.096869511708792544e-01
1.490000000000000036e+01,2.255225300676914291e+00,1.439346427974436959e-01,4.842385168579145804e-01,5.101079841974911488e-01
1.500000000000000000e+01,2.265604390651335898e+00,1.440461748242899687e-01,4.858993618094422096e-01,5.103499394852203386e-01
1.510000000000000142e+01,2.276578945048315372e+00,1.444077745803128698e-01,4.868080222930926126e-01,5.118063508074313095e-01
1.520000000000000107e+01,2.287889785966229717e+00,1.450989845019573510e-01,4.887022333311821232e-01,5.133329487520942314e-01
1.530000000000000071e+01,2.298024876442886111e+00,1.445642560633238483e-01,4.892952247917756181e-01,5.130422491339683422e-01
1.540000000000000036e+01,2.309577811693833915e+00,1.441307875463495036e-01,4.898676199858279512e-01,5.132646681229073859e-01
1.550000000000000000e+01,2.320943542918370905e+00,1.446782981126340795e-01,4.908885393190619562e-01,5.147485559204537653e-01
1.560000000000000142e+01,2.332480773600411617e+00,1.449560391192404041e-01,4.923872078008647013e-01,5.173914726792676611e-01
1.570000000000000107e+01,2.342680752296109503e+00,1.451858491178196764e-01,4.937637106262536824e-01,5.181192100408854584e-01
