r_A,Zr_O,Zr_Cl
2.675000000000000266e+00,0.000000000000000000e+00,1.961740730496869700e+00
2.725000000000000089e+00,2.577835512713081423e-01,1.417809531992194838e+00
2.775000000000000355e+00,8.285933071379752990e-02,9.114526378517728844e-01
2.825000000000000178e+00,0.000000000000000000e+00,6.396183148177583266e-01
2.875000000000000000e+00,3.087823672250030183e-01,2.315867754187522498e-01
2.925000000000000266e+00,1.491580939176407328e-01,3.356057113146916349e-01
2.975000000000000089e+00,4.325598767307464732e-01,3.604665639422887091e-01
3.025000000000000355e+00,1.045947193051001145e+00,1.394596257401334860e-01
3.075000000000000178e+00,1.079690596811432535e+00,2.024419869021436003e-01
3.125000000000000000e+00,1.241433435224665427e+00,1.306772037078595683e-01
3.175000000000000266e+00,2.152095937363896816e+00,6.329693933423227725e-02
3.225000000000000089e+00,2.392630392590513910e+00,1.533737431147765284e-01
3.275000000000000355e+00,2.915037734533745706e+00,5.949056601089276752e-02
3.325000000000000178e+00,1.442871551832007881e+00,1.154297241465606361e-01
3.375000000000000000e+00,2.016629651367572773e+00,5.601749031576591653e-02
3.425000000000000266e+00,3.046058976136078122e+00,5.439391028814425516e-02
3.475000000000000089e+00,2.166436138304783654e+00,1.056798116246235875e-01
3.525000000000000355e+00,1.900007630586112439e+00,1.027031151668169190e-01
3.575000000000000178e+00,1.897158300501784023e+00,7.488782765138621289e-02
3.625000000000000000e+00,2.427874548564282087e+00,7.283623645692846593e-02
3.675000000000000266e+00,1.511846634419614643e+00,2.362260366280648227e-02
3.725000000000000089e+00,2.483212182860804695e+00,9.197082158743721814e-02
3.775000000000000355e+00,2.193991619272783744e+00,8.955067833766464092e-02
3.825000000000000178e+00,2.398682527307717471e+00,1.308372287622391328e-01
3.875000000000000000e+00,1.657273984678497625e+00,2.124710236767304861e-01
3.925000000000000266e+00,2.070923013810272995e+00,1.863830712429245806e-01
3.975000000000000089e+00,1.130725494622320637e+00,2.019152668968430542e-01
4.025000000000000355e+00,1.339123736139659959e+00,5.907898835910264934e-02
4.075000000000000178e+00,1.921270324499916970e+00,2.497651421849892139e-01
4.125000000000000000e+00,1.349983383346072596e+00,3.937451534759377481e-01
4.175000000000000711e+00,2.306224302383285796e+00,4.941909219392755515e-01
4.224999999999999645e+00,2.537926256195360608e+00,3.574544022810366983e-01
4.275000000000000355e+00,2.164679707164514078e+00,5.062557379658944035e-01
4.325000000000000178e+00,2.592481565892582829e+00,6.992877907999728304e-01
4.375000000000000000e+00,2.033518550337355180e+00,6.500592087144003717e-01
4.425000000000000711e+00,8.798562807340388758e-01,8.635626459056308102e-01
4.474999999999999645e+00,6.053996266238589330e-01,8.125100252057053662e-01
4.525000000000000355e+00,5.920946818362284869e-01,8.413977057672722415e-01
4.575000000000000178e+00,3.658254131271396203e-01,8.840780817239208833e-01
4.625000000000000000e+00,5.071078841071143817e-01,1.148450208124935257e+00
4.675000000000000711e+00,6.714900952416533730e-01,9.342470890318654853e-01
4.724999999999999645e+00,5.430315563957283098e-01,1.243256458063904279e+00
4.775000000000000355e+00,5.876892137586373632e-01,1.133400626534514677e+00
4.825000000000001066e+00,5.207559303933126937e-01,1.041511860786625387e+00
4.875000000000000000e+00,3.490353791030793018e-01,1.302170452807642320e+00
4.925000000000000711e+00,4.735168637190979579e-01,1.262711636584261443e+00
4.974999999999999645e+00,5.671683664784550327e-01,1.056995592073484369e+00
