lag_ps,Zr_A2,O_A2,Cl_A2
1.100000000000000000e+01,2.270218276882740305e-01,1.937324829070501964e-01,5.521856284440476159e-01
1.110000000000000142e+01,2.292018905913293381e-01,1.933814849241396461e-01,5.565799735215479771e-01
1.120000000000000107e+01,2.299119996132298060e-01,1.946917093829605427e-01,5.595787028807671648e-01
1.130000000000000071e+01,2.305336049110169871e-01,1.948630015522481163e-01,5.609426318631954844e-01
1.140000000000000036e+01,2.303705441177869850e-01,1.941130186488183584e-01,5.621112839563427999e-01
1.150000000000000000e+01,2.295412796571487390e-01,1.927008381983060514e-01,5.641976721162564878e-01
1.160000000000000142e+01,2.286116696571639517e-01,1.909950874546140764e-01,5.651489889433386482e-01
1.170000000000000107e+01,2.278142921591142511e-01,1.903412566730805222e-01,5.650128433343590828e-01
1.180000000000000071e+01,2.276942770165383267e-01,1.897316739836606425e-01,5.651142318152291288e-01
1.190000000000000036e+01,2.283841282540171325e-01,1.921009393640262519e-01,5.664847037872979829e-01
1.200000000000000000e+01,2.290363991986685555e-01,1.919523775577630931e-01,5.673642414440925874e-01
1.210000000000000142e+01,2.289634010405368347e-01,1.924289970665951088e-01,5.676497014248327311e-01
1.220000000000000107e+01,2.293119189995411755e-01,1.928440199698742974e-01,5.692443930284332154e-01
1.230000000000000071e+01,2.291251099236045197e-01,1.927534422108605205e-01,5.696158340850326907e-01
1.240000000000000036e+01,2.284628988213173728e-01,1.918073033329522892e-01,5.702419499974806794e-01
1.250000000000000000e+01,2.292472678898855587e-01,1.915117267073908058e-01,5.726804505116178667e-01
1.260000000000000142e+01,2.304079007255362965e-01,1.925396037166799412e-01,5.755591525159898802e-01
1.270000000000000107e+01,2.313367633926592948e-01,1.934915249835392481e-01,5.770631028533328433e-01
1.280000000000000071e+01,2.317324600688215330e-01,1.944218152777101860e-01,5.782302764207246648e-01
1.290000000000000036e+01,2.317826914007596883e-01,1.957539566972310296e-01,5.803269435135228749e-01
1.300000000000000000e+01,2.321009099931124475e-01,1.959911793428856519e-01,5.822294512671832845e-01
1.310000000000000142e+01,2.318441911561492652e-01,1.966353875342631563e-01,5.825493615835916072e-01
1.320000000000000107e+01,2.322016428398804566e-01,1.967310871431558195e-01,5.826868219336445165e-01
1.330000000000000071e+01,2.326496416972037851e-01,1.961326524942707261e-01,5.827247173808143277e-01
1.340000000000000036e+01,2.324619600356152282e-01,1.930939981724275611e-01,5.834594108128231538e-01
1.350000000000000000e+01,2.322772235032236898e-01,1.918399696713551095e-01,5.853687829048854763e-01
1.360000000000000142e+01,2.324746433764146303e-01,1.932953124033902903e-01,5.866828452054299037e-01
1.370000000000000107e+01,2.320848445484254563e-01,1.912715046501058114e-01,5.865534983957170212e-01
1.380000000000000071e+01,2.330235362125136211e-01,1.922880008541857644e-01,5.890082975886380412e-01
1.390000000000000036e+01,2.342960724518839410e-01,1.916664140705618136e-01,5.928193730547668405e-01
1.400000000000000000e+01,2.348132657465947792e-01,1.924911711683964244e-01,5.958873709138494679e-01
1.410000000000000142e+01,2.356689155945896341e-01,1.942349517041239426e-01,5.984120450421577253e-01
1.420000000000000107e+01,2.366774468414432342e-01,1.944281683416988760e-01,5.991763055473382504e-01
1.430000000000000071e+01,2.375558678907447041e-01,1.947398827090147944e-01,6.012569768380005009e-01
1.440000000000000036e+01,2.378331992004394380e-01,1.954188152923319322e-01,6.019272501360842798e-01
1.450000000000000000e+01,2.378740959231649410e-01,1.962027487851352447e-01,6.008133376627549094e-01
1.460000000000000142e+01,2.377841840112997485e-01,1.957523862905994616e-01,6.008491402597474496e-01
1.470000000000000107e+01,2.383941452800077132e-01,1.978884678138448372e-01,6.029217520636132033e-01
1.480000000000000071e+01,2.402272587921656100e-01,1.992213702904915285e-01,6.061483656695011435e-01
1.490000000000000036e+01,2.419667642889153369e-01,1.996926393624319784e-01,6.081878859769160872e-01
1.500000000000000000e+01,2.429436906918311934e-01,2.001420421497571711e-01,6.085248302427360700e-01
1.510000000000000142e+01,2.425878980860881884e-01,1.997084247570737048e-01,6.075047817045233778e-01
1.520000000000000107e+01,2.416880506067857481e-01,1.996283278309098352e-01,6.073696680137555814e-01
1.530000000000000071e+01,2.406339361829363810e-01,1.979490191115285680e-01,6.072875530814184630e-01
1.540000000000000036e+01,2.392584321075229559e-01,1.968694148767997920e-01,6.078042182689036288e-01
1.550000000000000000e+01,2.388471084923108889e-01,1.961745319776310448e-01,6.086406683342410195e-01
1.560000000000000142e+01,2.388310996005883480e-01,1.960583346299595020e-01,6.093474562649274784e-01
1.570000000000000107e+01,2.388606080907971774e-01,1.955285162108122421e-01,6.091533517063465464e-01
1.580000000000000071e+01,2.389049642330679235e-01,1.963504652211641166e-01,6.080248466639227578e-01
1.590000000000000036e+01,2.391387024547317330e-01,1.949393370559284744e-01,6.079016235923494493e-01
1.600000000000000000e+01,2.399051778485002673e-01,1.952936432998930438e-01,6.086242996792732285e-01
1.610000000000000142e+01,2.408585095564748924e-01,1.963490990223996646e-01,6.088126554069959173e-01
1.619999999999999929e+01,2.403243505113527023e-01,1.975822058236068601e-01,6.078957304323968636e-01
1.630000000000000071e+01,2.404533134382204618e-01,1.962605832449163534e-01,6.081680626957914892e-01
1.640000000000000213e+01,2.411438522474118051e-01,1.957106840580452867e-01,6.089640330415303504e-01
1.650000000000000000e+01,2.406885011564393606e-01,1.960324742958811095e-01,6.087411472092294495e-01
1.660000000000000142e+01,2.404030417443766832e-01,1.953818355327501810e-01,6.108498538572854075e-01
1.669999999999999929e+01,2.398566760617071025e-01,1.947320651264241587e-01,6.123114386001899945e-01
1.680000000000000071e+01,2.392033827478177721e-01,1.941969588610797659e-01,6.124326166961654438e-01
1.690000000000000213e+01,2.393923862507728595e-01,1.949437712756057761e-01,6.134774299177629953e-01
1.700000000000000000e+01,2.397232182037098425e-01,1.956729521909539582e-01,6.159723355584032500e-01
1.710000000000000142e+01,2.399591594689767793e-01,1.947861749823389665e-01,6.171958256299550083e-01
1.719999999999999929e+01,2.408655219841552286e-01,1.953017857970002491e-01,6.195143765008285230e-01
1.730000000000000071e+01,2.416799097673711094e-01,1.966198025391895643e-01,6.212246512686679933e-01
1.740000000000000213e+01,2.432234191465481865e-01,1.958415696146583451e-01,6.230042098396768591e-01
1.750000000000000000e+01,2.452404308553568502e-01,1.965258428438027560e-01,6.258892886512527065e-01
1.760000000000000142e+01,2.469486569277788146e-01,1.981359631594870607e-01,6.289559016229565591e-01
1.769999999999999929e+01,2.486163037712280088e-01,2.000213362764353131e-01,6.314937263789187627e-01
1.780000000000000071e+01,2.498773188080507801e-01,1.999317214696429146e-01,6.338646443330676616e-01
1.790000000000000213e+01,2.509540976151680147e-01,1.997386492192226859e-01,6.364423675691072146e-01
1.800000000000000000e+01,2.511576420069468463e-01,2.009219316680264933e-01,6.377488498045058574e-01
1.810000000000000142e+01,2.508030024650296785e-01,1.977208493948874601e-01,6.374414644406396491e-01
1.819999999999999929e+01,2.500572670853081769e-01,1.983870687316673653e-01,6.358627698414334173e-01
1.830000000000000071e+01,2.485198521616233391e-01,1.971232458611099914e-01,6.340074153734858164e-01
1.840000000000000213e+01,2.466709639729401382e-01,1.955043581520457818e-01,6.316170433661362216e-01
1.850000000000000000e+01,2.454644817084070951e-01,1.948443392283431830e-01,6.307535643525792324e-01
1.860000000000000142e+01,2.440109571850868353e-01,1.955837281567794905e-01,6.297863301277938364e-01
1.869999999999999929e+01,2.430800658822568072e-01,1.953947839004321618e-01,6.295954022010378237e-01
1.880000000000000071e+01,2.434650840818007311e-01,1.962477031114046311e-01,6.299818334600579828e-01
1.890000000000000213e+01,2.444656368165828153e-01,1.954366988550242379e-01,6.313983479898209739e-01
1.900000000000000000e+01,2.451415755194864265e-01,1.968748158584989749e-01,6.330940830215762150e-01
1.910000000000000142e+01,2.455626478196863138e-01,1.965782580626804776e-01,6.350663191916581241e-01
1.920000000000000284e+01,2.479572364570787890e-01,1.966098854926069672e-01,6.395547309885228904e-01
1.930000000000000071e+01,2.511482000106142198e-01,1.979897500085569528e-01,6.447753625594035976e-01
1.940000000000000213e+01,2.534088386766516487e-01,1.991753505262491564e-01,6.494516184219762955e-01
1.950000000000000000e+01,2.537779785552451428e-01,1.997899057682246682e-01,6.505128219005971157e-01
1.960000000000000142e+01,2.543310713338640672e-01,1.987151822103818133e-01,6.505259366917001129e-01
1.970000000000000284e+01,2.546537538478015339e-01,1.984469470244241973e-01,6.504291352966299344e-01
1.980000000000000071e+01,2.545930338476413701e-01,2.005196224640842240e-01,6.522382919441532811e-01
1.990000000000000213e+01,2.535900147612052402e-01,2.025287229981641290e-01,6.535068832744191925e-01
2.000000000000000000e+01,2.536702797921829844e-01,2.020338265377448483e-01,6.532646434867115381e-01
2.010000000000000142e+01,2.540193120376375568e-01,2.012057304695009652e-01,6.531274239345070676e-01
2.020000000000000284e+01,2.532362419605635462e-01,2.017682683586487224e-01,6.516008489193212405e-01
2.030000000000000071e+01,2.523902520626224999e-01,1.991069691172743517e-01,6.514477896806378787e-01
2.040000000000000213e+01,2.508799689481785444e-01,1.972741958566966158e-01,6.503645679113378986e-01
2.050000000000000000e+01,2.485024314216653651e-01,1.968842766625276131e-01,6.487889359047036564e-01
2.060000000000000142e+01,2.473783940550588201e-01,1.952164304483975654e-01,6.496160018786337753e-01
2.070000000000000284e+01,2.476785907264130726e-01,1.948420306694500226e-01,6.516762173379729850e-01
2.080000000000000071e+01,2.499765764566754811e-01,1.958131482859856443e-01,6.542834681753808557e-01
2.090000000000000213e+01,2.526548581423693762e-01,1.978441894762971720e-01,6.578882437457450605e-01
2.100000000000000000e+01,2.554806755427124210e-01,1.988388802641300190e-01,6.629878367723867072e-01
2.110000000000000142e+01,2.570999686306970067e-01,2.015082600867639240e-01,6.665402557055213340e-01
2.120000000000000284e+01,2.579537232627779342e-01,2.016007112954015523e-01,6.674040817130201253e-01
2.130000000000000071e+01,2.593820933957623476e-01,2.031575537534711928e-01,6.684778635091751520e-01
2.140000000000000213e+01,2.609786298085779999e-01,2.037458368110263152e-01,6.702976817027700429e-01
2.150000000000000000e+01,2.630819675860016083e-01,2.057511155316698315e-01,6.719163357833268790e-01
2.160000000000000142e+01,2.646311021155166032e-01,2.059995070754137014e-01,6.735204026921718379e-01
2.170000000000000284e+01,2.643411545388303363e-01,2.045578645358809011e-01,6.754471906349821531e-01
2.180000000000000071e+01,2.626957307099556660e-01,2.020398161314777563e-01,6.756515182248291618e-01
