time_ps,density_g_cm3,CN_ZrO_2.6A,CN_ZrCl_3.2A,fraction_S_fourO_2A
7.100000000000000533e+00,1.844806081689035260e+00,1.562500000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
7.200000000000000178e+00,1.857695499705119158e+00,1.562500000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
7.300000000000000711e+00,1.871249750588754868e+00,1.562500000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
7.400000000000000355e+00,1.871396415479674946e+00,1.562500000000000000e+00,4.312500000000000000e+00,1.000000000000000000e+00
7.500000000000000000e+00,1.865483043836647647e+00,1.500000000000000000e+00,4.343750000000000000e+00,1.000000000000000000e+00
7.600000000000000533e+00,1.860360470420318713e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
7.700000000000000178e+00,1.837070375845904158e+00,1.562500000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
7.800000000000000711e+00,1.819834312981736479e+00,1.562500000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
7.900000000000000355e+00,1.802367634208960956e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.803987776260425724e+00,1.531250000000000000e+00,4.187500000000000000e+00,1.000000000000000000e+00
8.099999999999999645e+00,1.826825462387211552e+00,1.531250000000000000e+00,4.187500000000000000e+00,1.000000000000000000e+00
8.200000000000001066e+00,1.822984341502233763e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
8.300000000000000711e+00,1.802890392978632628e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
8.400000000000000355e+00,1.798451599511807553e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
8.500000000000000000e+00,1.821631018017845438e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
8.599999999999999645e+00,1.827889069404931677e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
8.700000000000001066e+00,1.832013031708486839e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
8.800000000000000711e+00,1.838795841914249829e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
8.900000000000000355e+00,1.848537729082819325e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.861297159419204039e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
9.099999999999999645e+00,1.861869581911679949e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
9.200000000000001066e+00,1.832022054527062460e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
9.300000000000000711e+00,1.804581379049809753e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
9.400000000000000355e+00,1.786445388583862703e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
9.500000000000000000e+00,1.797559710394466936e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
9.600000000000001421e+00,1.811236101971755108e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
9.700000000000001066e+00,1.782207729880165292e+00,1.562500000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
9.800000000000000711e+00,1.752338252696390652e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
9.900000000000000355e+00,1.747024982764819656e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.756418114916557416e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.010000000000000142e+01,1.750825809471876715e+00,1.531250000000000000e+00,4.187500000000000000e+00,1.000000000000000000e+00
1.020000000000000107e+01,1.759180003099871881e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.030000000000000071e+01,1.780987670858196203e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.040000000000000036e+01,1.817459341121273830e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.050000000000000000e+01,1.825195123895533733e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.060000000000000142e+01,1.816106583281062559e+00,1.562500000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.070000000000000107e+01,1.808757256982979067e+00,1.562500000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.080000000000000071e+01,1.801969073571871416e+00,1.562500000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.090000000000000036e+01,1.789925288370125323e+00,1.562500000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.791586013209439443e+00,1.562500000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.110000000000000142e+01,1.784322813304767053e+00,1.562500000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.120000000000000107e+01,1.770480566606292161e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.130000000000000071e+01,1.768190266387675180e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.140000000000000036e+01,1.764283392787980409e+00,1.500000000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.150000000000000000e+01,1.774554973370582545e+00,1.500000000000000000e+00,4.187500000000000000e+00,1.000000000000000000e+00
1.160000000000000142e+01,1.787748330474873137e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.170000000000000107e+01,1.800839942353838374e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.180000000000000071e+01,1.797552376287824716e+00,1.500000000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.190000000000000036e+01,1.749348940261705732e+00,1.500000000000000000e+00,4.187500000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.707540710647308835e+00,1.500000000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.210000000000000142e+01,1.709927246356534258e+00,1.500000000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.220000000000000107e+01,1.728112346167192115e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.230000000000000071e+01,1.745374588018379303e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.240000000000000036e+01,1.764336449965084652e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.250000000000000000e+01,1.786608395975943342e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.260000000000000142e+01,1.789657426045246691e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.270000000000000107e+01,1.784080308471567733e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.280000000000000071e+01,1.760476301419660938e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.290000000000000036e+01,1.754583272312061792e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.300000000000000000e+01,1.765956487562795107e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.310000000000000142e+01,1.770649746699608063e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.320000000000000107e+01,1.772495935247547116e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
