lag_ps,Zr_A2,O_A2,Cl_A2
5.900000000000000355e+00,1.780129978162992843e-01,1.630789100084772680e-01,4.016492135742975034e-01
6.000000000000000000e+00,1.771028748294485589e-01,1.620916807053960074e-01,4.010170402919409627e-01
6.100000000000000533e+00,1.768932479452561823e-01,1.613730015192514355e-01,4.017011095165320400e-01
6.200000000000000178e+00,1.766289849427088443e-01,1.609226615446259778e-01,4.022887360820431857e-01
6.300000000000000711e+00,1.760685708755450329e-01,1.591505068766565223e-01,4.018779254211747864e-01
6.400000000000000355e+00,1.757256455801754769e-01,1.585238786486195817e-01,4.010300107150481241e-01
6.500000000000000000e+00,1.753195525231553420e-01,1.573832897448705082e-01,4.010967914076440377e-01
6.600000000000000533e+00,1.756239798845961042e-01,1.579820742479811357e-01,4.009364217000505604e-01
6.700000000000000178e+00,1.754003140618135836e-01,1.592087665237657546e-01,3.994610356301676601e-01
6.800000000000000711e+00,1.747671486343591041e-01,1.615212382685670411e-01,3.990952497295629509e-01
6.900000000000000355e+00,1.740721348937608326e-01,1.606775455962044241e-01,3.993189735358925185e-01
7.000000000000000000e+00,1.740379925410291406e-01,1.602360731138406380e-01,3.998329578001562634e-01
7.100000000000000533e+00,1.746416672875850673e-01,1.623090217471327146e-01,4.007736947517346326e-01
7.200000000000000178e+00,1.754166739937314812e-01,1.624469698456585398e-01,4.029670311687736373e-01
7.300000000000000711e+00,1.764790653677160148e-01,1.625943678072097054e-01,4.046838785862030829e-01
7.400000000000000355e+00,1.769104924497195419e-01,1.635267166239300629e-01,4.056721571193610543e-01
7.500000000000000000e+00,1.764354417663528130e-01,1.634148915887911335e-01,4.054100577597151145e-01
7.600000000000000533e+00,1.748731808874638138e-01,1.613097719747235981e-01,4.043470087749048703e-01
7.700000000000000178e+00,1.747974763999373127e-01,1.618911110885315197e-01,4.042962240114376660e-01
7.800000000000000711e+00,1.758090256344057023e-01,1.622334750788972102e-01,4.052026156106935950e-01
7.900000000000000355e+00,1.774452219827146737e-01,1.631746626428239866e-01,4.066585533922040807e-01
8.000000000000000000e+00,1.792862769774756226e-01,1.660148431939390545e-01,4.080046723154922561e-01
8.099999999999999645e+00,1.801732641182610950e-01,1.663544783190006593e-01,4.096571209827287730e-01
8.200000000000001066e+00,1.808398857543017935e-01,1.679216660586320131e-01,4.123252570136449746e-01
8.300000000000000711e+00,1.805223258702239597e-01,1.681013696975503513e-01,4.135577773854430816e-01
8.400000000000000355e+00,1.804172504928664156e-01,1.671353190181207038e-01,4.139785055870778829e-01
8.500000000000000000e+00,1.811657553259061471e-01,1.672041571533450788e-01,4.148338513228512214e-01
8.599999999999999645e+00,1.808912089522617117e-01,1.664185385051929200e-01,4.144233571001452177e-01
8.700000000000001066e+00,1.809216719410551566e-01,1.661120495448377143e-01,4.134488199218247506e-01
8.800000000000000711e+00,1.805494835626306749e-01,1.656698608241280180e-01,4.136845123571947225e-01
8.900000000000000355e+00,1.798509182859154842e-01,1.655383039231764220e-01,4.154661311627848574e-01
9.000000000000000000e+00,1.790597372658148945e-01,1.660710457554849528e-01,4.166076474573587873e-01
9.099999999999999645e+00,1.784836590937720069e-01,1.659321587999639525e-01,4.165480731680359372e-01
9.200000000000001066e+00,1.790592939914101012e-01,1.671230423704130330e-01,4.164636373420875781e-01
9.300000000000000711e+00,1.802758055174931984e-01,1.671723000836446427e-01,4.186266166356093499e-01
9.400000000000000355e+00,1.811173532215478998e-01,1.673952449978968748e-01,4.196941720329089298e-01
9.500000000000000000e+00,1.812585046982667369e-01,1.678821670639475128e-01,4.195627720902484481e-01
9.600000000000001421e+00,1.816449930122543688e-01,1.663392868900429311e-01,4.196063155476877915e-01
9.700000000000001066e+00,1.829642885604114699e-01,1.675298451774669684e-01,4.220138276591985926e-01
9.800000000000000711e+00,1.839614293452968563e-01,1.695558536884607947e-01,4.251973458549010987e-01
9.900000000000000355e+00,1.846441475697491452e-01,1.701829498993890910e-01,4.260269290733287306e-01
1.000000000000000000e+01,1.848846221799077261e-01,1.692012426159531790e-01,4.261615293292941864e-01
1.010000000000000142e+01,1.852411383662018463e-01,1.697000968302604940e-01,4.271384965883212037e-01
1.020000000000000107e+01,1.849077025351847092e-01,1.705390568502050952e-01,4.274627909290993344e-01
1.030000000000000071e+01,1.843371464372251800e-01,1.701272507362844022e-01,4.273465673813852672e-01
1.040000000000000036e+01,1.840364911994319674e-01,1.691523096664792614e-01,4.274153900225404201e-01
1.050000000000000000e+01,1.852891507088864353e-01,1.717553286616093355e-01,4.291121179014412701e-01
1.060000000000000142e+01,1.871050729388618050e-01,1.732013638013198964e-01,4.314788632316171046e-01
1.070000000000000107e+01,1.877208953449413797e-01,1.745889382076934726e-01,4.325693654809271149e-01
1.080000000000000071e+01,1.883092551319670016e-01,1.756224358159709231e-01,4.348527156057115928e-01
1.090000000000000036e+01,1.879444558189860559e-01,1.755461438053111667e-01,4.361500437232434524e-01
1.100000000000000000e+01,1.873569019030432992e-01,1.744415262429390712e-01,4.353813448105409711e-01
1.110000000000000142e+01,1.870300999149082932e-01,1.732817596964276452e-01,4.359676332812599808e-01
1.120000000000000107e+01,1.886143132100613906e-01,1.749142291512884861e-01,4.387035081043125784e-01
1.130000000000000071e+01,1.901328557914458428e-01,1.749862069645233553e-01,4.408806017634113172e-01
1.140000000000000036e+01,1.906446797925286929e-01,1.758113428543188472e-01,4.425824905477083182e-01
1.150000000000000000e+01,1.908559155888950865e-01,1.751993559346085305e-01,4.436077675684093058e-01
1.160000000000000142e+01,1.912909593044627155e-01,1.758059149222716833e-01,4.447380024873434645e-01
1.170000000000000107e+01,1.908915980931313594e-01,1.758281677130621723e-01,4.458305546896434990e-01
1.180000000000000071e+01,1.899948461749440543e-01,1.742924335479161535e-01,4.460838498037053013e-01
1.190000000000000036e+01,1.895927916055529794e-01,1.744135388087219574e-01,4.458375102833978532e-01
1.200000000000000000e+01,1.891301698073378501e-01,1.726273537195624208e-01,4.453390994687680959e-01
1.210000000000000142e+01,1.879362710800156766e-01,1.712077356399063499e-01,4.432707165447600794e-01
1.220000000000000107e+01,1.865190636687880654e-01,1.715764737278258623e-01,4.422395233527954272e-01
1.230000000000000071e+01,1.855221757019801243e-01,1.722262575681901553e-01,4.422563128419306766e-01
1.240000000000000036e+01,1.857866549431721470e-01,1.741932473227158495e-01,4.429510357745978788e-01
1.250000000000000000e+01,1.865447076155993256e-01,1.755018969178561705e-01,4.444372962661879978e-01
1.260000000000000142e+01,1.876324678029714366e-01,1.753263708545279576e-01,4.470020095690258044e-01
1.270000000000000107e+01,1.887657112785243729e-01,1.766642285581567495e-01,4.510013667056069209e-01
1.280000000000000071e+01,1.901491641412759170e-01,1.786196191353142115e-01,4.558363000716889601e-01
1.290000000000000036e+01,1.913958354660345307e-01,1.800387181917923185e-01,4.587199902907470039e-01
1.300000000000000000e+01,1.921363859573592403e-01,1.791416498281613590e-01,4.606281580773057271e-01
1.310000000000000142e+01,1.933707776198216599e-01,1.800227473404099887e-01,4.625357396271485566e-01
1.320000000000000107e+01,1.950246302099654383e-01,1.802939901278804991e-01,4.635831044531204537e-01
1.330000000000000071e+01,1.960326306360474224e-01,1.793369007219893785e-01,4.659858878585825259e-01
1.340000000000000036e+01,1.968445316293105929e-01,1.790561082137618887e-01,4.679653409020754773e-01
1.350000000000000000e+01,1.972137536517881151e-01,1.810118664094916285e-01,4.689044197527902913e-01
1.360000000000000142e+01,1.974041948705512473e-01,1.823821147602716630e-01,4.697603758179717537e-01
1.370000000000000107e+01,1.974292523025303892e-01,1.840323772450464523e-01,4.723385130821337041e-01
1.380000000000000071e+01,1.981005586183744449e-01,1.863195150863703187e-01,4.753335291931762296e-01
1.390000000000000036e+01,1.987016590199890964e-01,1.874035743324596881e-01,4.752003324367686243e-01
1.400000000000000000e+01,1.981069592429524073e-01,1.847462662402537537e-01,4.742344218777788112e-01
1.410000000000000142e+01,1.970759933283526555e-01,1.836162762222074973e-01,4.731769789712201302e-01
1.420000000000000107e+01,1.955623984991621267e-01,1.831329085382864819e-01,4.730752438710468244e-01
1.430000000000000071e+01,1.939321064946916695e-01,1.818659290104235604e-01,4.731984037772600793e-01
1.440000000000000036e+01,1.930328176810736929e-01,1.817505327203307319e-01,4.727708261344669705e-01
1.450000000000000000e+01,1.944218933163221197e-01,1.822083144495827978e-01,4.742578423686640843e-01
1.460000000000000142e+01,1.970635751682545123e-01,1.843172600363844338e-01,4.763659468877856074e-01
1.470000000000000107e+01,1.996155317294195375e-01,1.869336687767574612e-01,4.788105926633743903e-01
1.480000000000000071e+01,2.010182395390531784e-01,1.886790601809809897e-01,4.815202190611249655e-01
1.490000000000000036e+01,2.013465694200836376e-01,1.887788006941288899e-01,4.835361760719935620e-01
1.500000000000000000e+01,2.001038175863471547e-01,1.875196340321236832e-01,4.837300849344132736e-01
1.510000000000000142e+01,1.984313626047687074e-01,1.851717793336106477e-01,4.831574863866480718e-01
1.520000000000000107e+01,1.978069944165261052e-01,1.835746043757333079e-01,4.830692761439868699e-01
1.530000000000000071e+01,1.973095380716600455e-01,1.835568968764971221e-01,4.830242104840138939e-01
1.540000000000000036e+01,1.971719259839282701e-01,1.850664107574361839e-01,4.817089608964139624e-01
1.550000000000000000e+01,1.976816706326293971e-01,1.845388943030547846e-01,4.815098086407665900e-01
1.560000000000000142e+01,1.982412160483161823e-01,1.864809480340652303e-01,4.823550234534865755e-01
1.570000000000000107e+01,1.984794472374449004e-01,1.858463995314383332e-01,4.832253115950837508e-01
1.580000000000000071e+01,1.989513046054835477e-01,1.867446791683326224e-01,4.842631883524619596e-01
1.590000000000000036e+01,1.983771555629332828e-01,1.873287839556041778e-01,4.848655676867054121e-01
1.600000000000000000e+01,1.981040135990976003e-01,1.867792683412254351e-01,4.861186281320859504e-01
1.610000000000000142e+01,1.990507900202732050e-01,1.881142132358318009e-01,4.877641446273173753e-01
1.619999999999999929e+01,2.000053321741251944e-01,1.892497650015410315e-01,4.902437678661930032e-01
1.630000000000000071e+01,2.015080506047897402e-01,1.903069056267332748e-01,4.921867029283834016e-01
1.640000000000000213e+01,2.022044480294397373e-01,1.904939119288120986e-01,4.937250978247276212e-01
1.650000000000000000e+01,2.016719526120186179e-01,1.895757590221087696e-01,4.943963729181251598e-01
1.660000000000000142e+01,1.998358444920067811e-01,1.887021637259803097e-01,4.922082887475241475e-01
1.669999999999999929e+01,1.979171090994626958e-01,1.877945097638312744e-01,4.898756878342355181e-01
1.680000000000000071e+01,1.967409783435145054e-01,1.873067980782461006e-01,4.897367441992506176e-01
1.690000000000000213e+01,1.966463103457075090e-01,1.874671475530846343e-01,4.902375871832305720e-01
1.700000000000000000e+01,1.981453508473142444e-01,1.863879280633693181e-01,4.916695660102942678e-01
1.710000000000000142e+01,1.987843131570118660e-01,1.865691729336608484e-01,4.930494090155614906e-01
1.719999999999999929e+01,1.998031855571791859e-01,1.884972554043580217e-01,4.963092915060544064e-01
1.730000000000000071e+01,2.008007648753794838e-01,1.896610413065097367e-01,4.994307760981621103e-01
1.740000000000000213e+01,2.011288419252184601e-01,1.901999673723516748e-01,5.012793722379510486e-01
1.750000000000000000e+01,2.025097387434703911e-01,1.911437252855662794e-01,5.030395869545901677e-01
1.760000000000000142e+01,2.043220514670574806e-01,1.935004858927148463e-01,5.056216201961071244e-01
1.769999999999999929e+01,2.052225059355071435e-01,1.944665136740290068e-01,5.076000658197065141e-01
1.780000000000000071e+01,2.059382761380809113e-01,1.936893439119215243e-01,5.087897403032797250e-01
1.790000000000000213e+01,2.060351816171567818e-01,1.935311055293837124e-01,5.094511900735043675e-01
1.800000000000000000e+01,2.058483482469657122e-01,1.959361932988339383e-01,5.096104719879307465e-01
1.810000000000000142e+01,2.050744936265333218e-01,1.943111809901205689e-01,5.080442770080053627e-01
1.819999999999999929e+01,2.049236399489304250e-01,1.934445853215268629e-01,5.073841971688914931e-01
1.830000000000000071e+01,2.049212619332519691e-01,1.941232355998895320e-01,5.068633161393960584e-01
1.840000000000000213e+01,2.046378411260993679e-01,1.941348791716870081e-01,5.077984442230376594e-01
1.850000000000000000e+01,2.041953533219863781e-01,1.922138005772720259e-01,5.075668213062201062e-01
1.860000000000000142e+01,2.029465240702363615e-01,1.924608448870197552e-01,5.063937654892964879e-01
1.869999999999999929e+01,2.011379668829737233e-01,1.912613197080673955e-01,5.039524021703039036e-01
1.880000000000000071e+01,1.992867943173148859e-01,1.892347770189235223e-01,5.017629585609897358e-01
1.890000000000000213e+01,1.984478359904269240e-01,1.897583793345964664e-01,5.007864215379130846e-01
1.900000000000000000e+01,1.987497005250322135e-01,1.887716814505543961e-01,5.025300178056898437e-01
1.910000000000000142e+01,2.005285919000075745e-01,1.891656407194138578e-01,5.051488903108585227e-01
1.920000000000000284e+01,2.031618459376222097e-01,1.916132177147783777e-01,5.082278605904110291e-01
1.930000000000000071e+01,2.056233905891838576e-01,1.936767224292370582e-01,5.110192450533839192e-01
1.940000000000000213e+01,2.069041219807712939e-01,1.953415891250964709e-01,5.136936074248652506e-01
1.950000000000000000e+01,2.073112290674351266e-01,1.973173926859018712e-01,5.144123389419876791e-01
1.960000000000000142e+01,2.083612887038971684e-01,1.993734509203582694e-01,5.160259257406374367e-01
1.970000000000000284e+01,2.083425872165399761e-01,1.995349185584178731e-01,5.171437956481157450e-01
1.980000000000000071e+01,2.070966031673795171e-01,1.990361274289539351e-01,5.159751146920600329e-01
1.990000000000000213e+01,2.053866732539489093e-01,1.971366640369572598e-01,5.136068061470493440e-01
2.000000000000000000e+01,2.031961991604807616e-01,1.953556255149586918e-01,5.116035339856874753e-01
2.010000000000000142e+01,2.015222176664632492e-01,1.948931494291052391e-01,5.108205909728363858e-01
2.020000000000000284e+01,2.008305640699945827e-01,1.954570494280123971e-01,5.104835905597124857e-01
2.030000000000000071e+01,2.012068330332246469e-01,1.939202648265954398e-01,5.096054727618677394e-01
2.040000000000000213e+01,2.024659851361973462e-01,1.958599345331382413e-01,5.108004709751627903e-01
2.050000000000000000e+01,2.037677766295710735e-01,1.963518242037634864e-01,5.128279856267023984e-01
2.060000000000000142e+01,2.040456044420214110e-01,1.971124724022330077e-01,5.141145968560263402e-01
2.070000000000000284e+01,2.051889074830854642e-01,1.970681298236248435e-01,5.165230360917678620e-01
2.080000000000000071e+01,2.063495145138749542e-01,1.980370633081420806e-01,5.193829793252313642e-01
2.090000000000000213e+01,2.082799649985094537e-01,1.989352846612023051e-01,5.227551087880981662e-01
2.100000000000000000e+01,2.099616335640110409e-01,2.008970903091358839e-01,5.248533130174759531e-01
2.110000000000000142e+01,2.111007050033447685e-01,2.001481583008156429e-01,5.258922593580864779e-01
2.120000000000000284e+01,2.100065694040720021e-01,1.993173879945419891e-01,5.256913953448959509e-01
2.130000000000000071e+01,2.090847458763403222e-01,1.987737387897167418e-01,5.262389291358950949e-01
2.140000000000000213e+01,2.076686035216688264e-01,1.999654525574519337e-01,5.263698162544270254e-01
2.150000000000000000e+01,2.061276029427580869e-01,1.990871331984956916e-01,5.261078148738127513e-01
2.160000000000000142e+01,2.061224064885290030e-01,1.981318107682287499e-01,5.264081587681651575e-01
2.170000000000000284e+01,2.064979091473358175e-01,1.978363504737743472e-01,5.262776199122841669e-01
2.180000000000000071e+01,2.060221855645359423e-01,1.986811333218687914e-01,5.253081720039747271e-01
2.190000000000000213e+01,2.058633105859987711e-01,1.982752813180595208e-01,5.248426281285405448e-01
2.200000000000000000e+01,2.059254717051132444e-01,1.985954723208864237e-01,5.245067292774154843e-01
2.210000000000000142e+01,2.051286594290778753e-01,1.975536436155362341e-01,5.235630431118778461e-01
2.220000000000000284e+01,2.057339345252917340e-01,1.968372044805423715e-01,5.239977383450463710e-01
2.230000000000000071e+01,2.073307033570044589e-01,1.987629470828340128e-01,5.262121731297118021e-01
2.240000000000000213e+01,2.086377021455210756e-01,1.995796184153343644e-01,5.280350984990820340e-01
2.250000000000000000e+01,2.099261802559898304e-01,2.013062980127191537e-01,5.288933535980699929e-01
2.260000000000000142e+01,2.105449573713252531e-01,2.016409528136751395e-01,5.293172181561823786e-01
2.270000000000000284e+01,2.104511445352549859e-01,2.022793745540477917e-01,5.298913876227663300e-01
2.280000000000000071e+01,2.102976702431950395e-01,2.037987872061290395e-01,5.309314970648444376e-01
2.290000000000000213e+01,2.101993522405413151e-01,2.050740055411446605e-01,5.312447723422102364e-01
2.300000000000000000e+01,2.101580437078565955e-01,2.046455647280812917e-01,5.309020222603055839e-01
2.310000000000000142e+01,2.095972950774391830e-01,2.032312454481064179e-01,5.303358466229987078e-01
2.320000000000000284e+01,2.089695698436201399e-01,2.039583041321342272e-01,5.315050969196725150e-01
2.330000000000000071e+01,2.083374790131700405e-01,2.010227407508585473e-01,5.304278011660674697e-01
2.340000000000000213e+01,2.076303620014318396e-01,2.009867579863509057e-01,5.288281967224593982e-01
2.350000000000000000e+01,2.083250729679671509e-01,2.023140950159513229e-01,5.289108788553286145e-01
2.360000000000000142e+01,2.097032499061432798e-01,2.031516729923139308e-01,5.294147219766353052e-01
2.370000000000000284e+01,2.107551648117894083e-01,2.035909029295598915e-01,5.310898551137209767e-01
2.380000000000000071e+01,2.120804546921440659e-01,2.043737542975251897e-01,5.333827960847024041e-01
2.390000000000000213e+01,2.119480392920068124e-01,2.045521950605347639e-01,5.354484359316762365e-01
2.400000000000000000e+01,2.101244190365882669e-01,2.021408663320431454e-01,5.332362672587400709e-01
2.410000000000000142e+01,2.082615553558764265e-01,2.004055068911407000e-01,5.300790237351031831e-01
2.420000000000000284e+01,2.068193651664753663e-01,2.001843993855715875e-01,5.297693019114266821e-01
2.430000000000000071e+01,2.061249606261415512e-01,2.001846246342055269e-01,5.309263876069082455e-01
2.440000000000000213e+01,2.076351732037929887e-01,2.007804672904350274e-01,5.340402733429318038e-01
2.450000000000000000e+01,2.094804631522969030e-01,2.008721774151845108e-01,5.367951768318012240e-01
