time_ps,T_K,PE_eV_atom,P_GPa
2.800000000000000266e+00,4.135446651400000064e+02,-5.459479006249999600e+00,1.497880848366666372e-02
2.850000000000000089e+00,4.219849467199999822e+02,-5.458449061397058877e+00,1.041811993743333442e-01
2.900000000000000355e+00,4.302967093500000146e+02,-5.459469615808822951e+00,-1.482574938866666574e-02
2.950000000000000178e+00,4.130459366700000032e+02,-5.459043695588235323e+00,-3.411453175566666052e-01
3.000000000000000000e+00,3.917942658299999721e+02,-5.458096433823529381e+00,-3.523775270266666509e-02
3.050000000000000266e+00,3.982430613700000208e+02,-5.459932156249999835e+00,7.058096033333340243e-03
3.100000000000000089e+00,4.137771702300000243e+02,-5.462904522058823709e+00,-4.735949723800000899e-02
3.150000000000000355e+00,4.133943357499999820e+02,-5.464184934926470838e+00,-1.510784077843333462e-01
3.200000000000000178e+00,3.964989216700000156e+02,-5.463714840808823858e+00,1.668530220030000066e-01
3.250000000000000000e+00,4.051262141299999939e+02,-5.466035120955882398e+00,2.333876110017666650e-01
3.300000000000000266e+00,3.876131712299999776e+02,-5.464655308455881766e+00,6.780673942799998744e-02
3.350000000000000089e+00,3.724643283699999756e+02,-5.462434431985293770e+00,-1.048772740487999844e-01
3.400000000000000355e+00,3.664359429599999771e+02,-5.460609855147058767e+00,1.555749805143333553e-01
3.450000000000000178e+00,3.925360329200000251e+02,-5.462395079411765053e+00,-2.787188584299999938e-01
3.500000000000000000e+00,4.020117779000000269e+02,-5.462257007352940619e+00,-1.122100460146666645e-01
3.550000000000000266e+00,4.004378931400000283e+02,-5.461412281249999445e+00,-1.351187006736666862e-01
3.600000000000000089e+00,3.929937918900000113e+02,-5.459810320955882368e+00,1.845637861866666896e-02
3.650000000000000355e+00,4.249239460900000154e+02,-5.463023101102940871e+00,9.991193499266666500e-02
3.700000000000000178e+00,4.022940468099999975e+02,-5.459867035661765122e+00,3.731983530533333204e-01
3.750000000000000000e+00,3.858307793000000174e+02,-5.458043933823529592e+00,-1.876913651983333209e-01
3.800000000000000266e+00,3.963527575400000273e+02,-5.459872045955882491e+00,8.613887556333334194e-02
3.850000000000000089e+00,4.048314409600000090e+02,-5.462076298161765209e+00,8.883174788666681199e-03
3.900000000000000355e+00,3.700580566699999849e+02,-5.458962510661764966e+00,9.903095610999997078e-02
3.950000000000000178e+00,3.902723592199999985e+02,-5.462713257352940666e+00,-3.036131495333327379e-03
4.000000000000000000e+00,3.664890921400000252e+02,-5.460525887500000231e+00,-2.103365760999999570e-02
4.049999999999999822e+00,3.869886065300000269e+02,-5.462507694852940965e+00,-1.161161597181000066e-01
4.100000000000000533e+00,4.019829491699999835e+02,-5.462185129044117460e+00,-1.066106169036666468e-01
4.150000000000000355e+00,4.232489167699999939e+02,-5.462376119117647200e+00,-4.562431173466666851e-02
4.200000000000000178e+00,3.853371965100000125e+02,-5.455706417647058437e+00,8.633774599076667056e-02
4.250000000000000000e+00,4.373777394200000117e+02,-5.461221820955882045e+00,9.458601037333332073e-02
4.299999999999999822e+00,4.300074766199999772e+02,-5.460658474999999790e+00,-5.442328338066667465e-02
4.350000000000000533e+00,4.180693143299999974e+02,-5.461859973161764970e+00,-3.231907142599999561e-01
4.400000000000000355e+00,3.890859097599999927e+02,-5.462178130882352711e+00,-3.365623695200000570e-02
4.450000000000000178e+00,4.071059369299999844e+02,-5.465895147426470757e+00,1.347650122750000123e-01
4.500000000000000000e+00,3.957258554699999991e+02,-5.464616473529411600e+00,2.695756255299999737e-01
4.549999999999999822e+00,3.908906187900000191e+02,-5.464093800367646914e+00,-1.427510483786666728e-01
4.600000000000000533e+00,4.067915390200000161e+02,-5.466199836029411507e+00,-2.640727736999999922e-02
4.650000000000000355e+00,3.850866880799999876e+02,-5.464220491176470240e+00,-1.199253441169999962e-01
4.700000000000000178e+00,4.043241671800000177e+02,-5.467437163970588543e+00,1.704543251939999726e-01
4.750000000000000000e+00,3.666637208500000042e+02,-5.463859381249999814e+00,-2.169754377526667000e-01
4.800000000000000711e+00,3.652260392700000011e+02,-5.464443178676470225e+00,2.189671146006666458e-01
4.850000000000000533e+00,3.570302012500000046e+02,-5.462940612132352491e+00,2.863449354133332236e-02
4.900000000000000355e+00,4.151647608100000184e+02,-5.467483397058822803e+00,-9.525871241066667661e-02
4.950000000000000178e+00,4.020084346599999776e+02,-5.463241885294117139e+00,1.336792974166666759e-01
5.000000000000000000e+00,3.826588545000000181e+02,-5.459313534558823733e+00,1.308054709400000015e-01
5.050000000000000711e+00,4.124329576800000154e+02,-5.461268920220588186e+00,2.817082940633333088e-01
5.100000000000000533e+00,4.025319764700000178e+02,-5.459107993749999999e+00,1.432193734409999974e-01
5.150000000000000355e+00,4.445842536299999779e+02,-5.463701775367646896e+00,1.435989472766666664e-01
5.200000000000000178e+00,3.896425032199999805e+02,-5.458101619117647019e+00,-2.075840543400000182e-01
5.250000000000000000e+00,3.736405019200000197e+02,-5.459243184191175935e+00,-2.873091020176666288e-01
5.300000000000000711e+00,3.581915965599999936e+02,-5.461008413602940870e+00,-2.053773280943333168e-01
5.350000000000000533e+00,3.758949341599999912e+02,-5.464502700735294205e+00,-2.130275853296666744e-01
5.400000000000000355e+00,3.930533694999999739e+02,-5.466354658823529000e+00,2.967351474333332351e-02
5.450000000000000178e+00,4.193875418399999830e+02,-5.468841202941176149e+00,2.360719811466666374e-01
5.500000000000000000e+00,3.799015290599999730e+02,-5.463426294852941290e+00,-8.222249601999999380e-02
5.550000000000000711e+00,3.856760846099999753e+02,-5.463350413602941380e+00,2.311336938700000176e-01
5.600000000000000533e+00,4.116930029299999774e+02,-5.466018226838235350e+00,-1.341182796550000056e-01
5.650000000000000355e+00,3.991436001700000133e+02,-5.464331319485293825e+00,2.196644234340000279e-01
5.700000000000000178e+00,4.046116969400000016e+02,-5.465121819117647384e+00,-3.730907611466666718e-01
5.750000000000000000e+00,3.987817155399999933e+02,-5.464641739705882628e+00,-4.955616907400000465e-02
5.800000000000000711e+00,3.896495325500000035e+02,-5.464554509191176912e+00,1.161470582933333273e-01
5.850000000000000533e+00,3.694370493000000124e+02,-5.461815747426470580e+00,-2.426687956309999950e-01
5.900000000000000355e+00,4.088429661399999873e+02,-5.465081460294118010e+00,-3.426122336866666562e-01
5.950000000000000178e+00,3.921849592300000040e+02,-5.458465188970587967e+00,-2.321907497166666445e-01
6.000000000000000000e+00,4.654301161500000035e+02,-5.464377761397058997e+00,3.186578796499999755e-01
6.050000000000000711e+00,4.257163589099999967e+02,-5.459518250735293954e+00,1.275426839668666601e-01
6.100000000000000533e+00,4.256080559100000187e+02,-5.461111467279412324e+00,-7.265249642499999050e-02
6.150000000000000355e+00,3.961803638599999999e+02,-5.459212813602940528e+00,-7.874349747666667398e-02
6.200000000000000178e+00,4.110086420000000089e+02,-5.462895762867646887e+00,1.681363775066666566e-01
6.250000000000000000e+00,3.908205063300000006e+02,-5.461901877941176764e+00,5.648948772233334387e-02
6.300000000000000711e+00,3.519908638699999983e+02,-5.458282828676470189e+00,2.647277353299999914e-01
6.350000000000000533e+00,3.676065548199999853e+02,-5.459864591911764542e+00,2.849217322033333055e-02
6.400000000000000355e+00,3.991604437699999721e+02,-5.462637623897059314e+00,5.260803864933335378e-02
6.450000000000000178e+00,4.208292930599999977e+02,-5.464384899632353410e+00,-1.600554543519999984e-01
6.500000000000000000e+00,4.137158593799999835e+02,-5.462855708455882642e+00,5.342829248033330314e-03
6.550000000000000711e+00,4.072419606899999849e+02,-5.462107426470588223e+00,-2.037421713399999723e-01
6.600000000000000533e+00,3.933118061900000271e+02,-5.460913082352941039e+00,4.641485844799999455e-02
6.650000000000000355e+00,4.117432189799999946e+02,-5.464030063970588991e+00,7.999946994933333777e-02
6.700000000000000178e+00,4.000616319000000090e+02,-5.463941245220588883e+00,1.065463044639999995e-01
6.750000000000000000e+00,3.789431496600000173e+02,-5.464090647058823080e+00,-2.189298945333333357e-01
6.800000000000000711e+00,3.650700952600000164e+02,-5.464284072058823938e+00,-1.015963770166666835e-02
6.850000000000000533e+00,3.844106026100000122e+02,-5.466558457720587683e+00,1.413021297766666740e-01
6.900000000000000355e+00,3.656737086699999963e+02,-5.461504029044117026e+00,1.457687913533333435e-01
6.950000000000000178e+00,3.889836415400000078e+02,-5.457437083823529100e+00,8.539393866699999947e-02
7.000000000000000000e+00,4.188799340699999902e+02,-5.459334403676471048e+00,-6.972423143333424935e-04
7.050000000000000711e+00,4.318131507400000260e+02,-5.461181404411765250e+00,1.430787772973333427e-01
7.100000000000000533e+00,3.985899035499999741e+02,-5.458263118382353341e+00,8.089367923566666285e-02
7.150000000000000355e+00,4.216138348599999972e+02,-5.462502206617647182e+00,-2.624838076500000117e-01
7.200000000000000178e+00,3.937986241899999982e+02,-5.461007120588234898e+00,3.314806743700001584e-02
7.250000000000000000e+00,3.741140180400000190e+02,-5.459986284926470645e+00,-1.651894583575000131e-01
7.300000000000000711e+00,3.960474792499999808e+02,-5.463419354411764850e+00,6.832612266666666240e-03
7.350000000000000533e+00,4.054272973399999955e+02,-5.465041804044117768e+00,-8.933478427699999280e-02
7.400000000000000355e+00,3.910311553099999742e+02,-5.463449619117646705e+00,1.044608278670000057e-01
7.450000000000000178e+00,4.213314272900000219e+02,-5.466482506617646564e+00,-2.337964378563333334e-01
7.500000000000000000e+00,4.079069815500000118e+02,-5.462738881617646314e+00,9.601414790866667770e-02
7.550000000000000711e+00,4.141109301500000015e+02,-5.461416939338235466e+00,4.568184918233333253e-02
7.600000000000000533e+00,4.097153854900000169e+02,-5.458657374999999590e+00,-5.788500315133332519e-02
7.650000000000000355e+00,4.091559573000000114e+02,-5.456974240441176960e+00,1.776887341716666679e-01
