lag_ps,Li_MSD_A2
3.060000000000000142e+01,2.703393442307553851e+00
3.070000000000000284e+01,2.707065012626117095e+00
3.080000000000000071e+01,2.711362331281703231e+00
3.090000000000000213e+01,2.715461060125145210e+00
3.100000000000000000e+01,2.723380886279539670e+00
3.110000000000000142e+01,2.726923550514400496e+00
3.120000000000000284e+01,2.730276647241861809e+00
3.130000000000000071e+01,2.736183282155010055e+00
3.140000000000000213e+01,2.738806454348009733e+00
3.150000000000000000e+01,2.742239592419123628e+00
3.160000000000000142e+01,2.744005997022977095e+00
3.170000000000000284e+01,2.748000983608190673e+00
3.180000000000000071e+01,2.750148433200945597e+00
3.190000000000000213e+01,2.753031918562268476e+00
3.200000000000000000e+01,2.760710435890754155e+00
3.210000000000000142e+01,2.763620366701889264e+00
3.220000000000000284e+01,2.763940684693460881e+00
3.230000000000000426e+01,2.762423808335753073e+00
3.239999999999999858e+01,2.763464494927446502e+00
3.250000000000000000e+01,2.762167291845160744e+00
3.260000000000000142e+01,2.761566281422264346e+00
3.270000000000000284e+01,2.762587803361935990e+00
3.280000000000000426e+01,2.767397369716228628e+00
3.289999999999999858e+01,2.777867863211206600e+00
3.300000000000000000e+01,2.778118779342161115e+00
3.310000000000000142e+01,2.782129490936240845e+00
3.320000000000000284e+01,2.787190439196552294e+00
3.330000000000000426e+01,2.789050165467628961e+00
3.339999999999999858e+01,2.790339470430846625e+00
3.350000000000000000e+01,2.794354297040062107e+00
3.360000000000000142e+01,2.798169435257798376e+00
3.370000000000000284e+01,2.800863678474381668e+00
3.380000000000000426e+01,2.804537268709982545e+00
3.389999999999999858e+01,2.809238590213693154e+00
3.400000000000000000e+01,2.815455137573871003e+00
3.410000000000000142e+01,2.821511562102879012e+00
3.420000000000000284e+01,2.824981956866956967e+00
3.430000000000000426e+01,2.828882349466893764e+00
3.439999999999999858e+01,2.832522127525442635e+00
3.450000000000000000e+01,2.835738633335769254e+00
3.460000000000000142e+01,2.843376924881584333e+00
3.470000000000000284e+01,2.849307012213918355e+00
3.480000000000000426e+01,2.853324223979400553e+00
3.489999999999999858e+01,2.857646658166235198e+00
3.500000000000000000e+01,2.865577731305067655e+00
3.510000000000000142e+01,2.866639922385517902e+00
3.520000000000000284e+01,2.868431719061355967e+00
3.530000000000000426e+01,2.872694064438042094e+00
3.539999999999999858e+01,2.873452427773093287e+00
3.550000000000000000e+01,2.876845651222166289e+00
3.560000000000000142e+01,2.876587853460482069e+00
3.570000000000000284e+01,2.880704972497957872e+00
3.580000000000000426e+01,2.884039309993662759e+00
3.589999999999999858e+01,2.884372499428538461e+00
3.600000000000000000e+01,2.887881506666377884e+00
3.610000000000000142e+01,2.890449296352926023e+00
3.620000000000000284e+01,2.890905041558467836e+00
3.630000000000000426e+01,2.888408421209928356e+00
3.639999999999999858e+01,2.887729196592946135e+00
3.650000000000000000e+01,2.885641046846575630e+00
3.660000000000000142e+01,2.884008843032150438e+00
3.670000000000000284e+01,2.886162412038462133e+00
3.680000000000000426e+01,2.882197244180056295e+00
3.689999999999999858e+01,2.882006397071186665e+00
3.700000000000000000e+01,2.886488075045245516e+00
3.710000000000000142e+01,2.889373098929444161e+00
3.720000000000000284e+01,2.890398673382415407e+00
3.730000000000000426e+01,2.887320178251097769e+00
3.739999999999999858e+01,2.893383809119661532e+00
3.750000000000000000e+01,2.888205633277431517e+00
3.760000000000000142e+01,2.890490734708248688e+00
3.770000000000000284e+01,2.890997112431085814e+00
3.780000000000000426e+01,2.891511568783776909e+00
3.789999999999999858e+01,2.891474848833379241e+00
3.800000000000000000e+01,2.895822302142990967e+00
3.810000000000000142e+01,2.897316359280563081e+00
3.820000000000000284e+01,2.893900151241123542e+00
3.830000000000000426e+01,2.896557706017358846e+00
3.840000000000000568e+01,2.901633946995257674e+00
3.850000000000000000e+01,2.901042497398002684e+00
3.860000000000000142e+01,2.900205313697426845e+00
3.870000000000000284e+01,2.903174236470790870e+00
3.880000000000000426e+01,2.906139346602535145e+00
3.890000000000000568e+01,2.910183673019730133e+00
3.900000000000000000e+01,2.909868491346165875e+00
3.910000000000000142e+01,2.913603044764317307e+00
3.920000000000000284e+01,2.913723585246475789e+00
3.930000000000000426e+01,2.918003430602113646e+00
3.940000000000000568e+01,2.925088449468848939e+00
3.950000000000000000e+01,2.927912963094607246e+00
3.960000000000000142e+01,2.930916344196027534e+00
3.970000000000000284e+01,2.934115413291636720e+00
3.980000000000000426e+01,2.938750929681959168e+00
3.990000000000000568e+01,2.942775195529700571e+00
4.000000000000000000e+01,2.946995168070512428e+00
4.010000000000000142e+01,2.949276934731212663e+00
4.020000000000000284e+01,2.955014922753436135e+00
4.030000000000000426e+01,2.962059151435955329e+00
4.040000000000000568e+01,2.966392599841225497e+00
4.050000000000000000e+01,2.966833447083994990e+00
4.060000000000000142e+01,2.971598519477209877e+00
4.070000000000000284e+01,2.970669595914957828e+00
4.080000000000000426e+01,2.973919709212366591e+00
4.090000000000000568e+01,2.977423205455516975e+00
4.100000000000000000e+01,2.978942009878800867e+00
4.110000000000000142e+01,2.981031889392986134e+00
4.120000000000000284e+01,2.984184212971834782e+00
4.130000000000000426e+01,2.988478863237048255e+00
4.140000000000000568e+01,2.999529463565018705e+00
4.150000000000000000e+01,3.004935846892018425e+00
4.160000000000000142e+01,3.010791988620338255e+00
4.170000000000000284e+01,3.017743205039231658e+00
4.180000000000000426e+01,3.019846387847765712e+00
