r_A,Zr_O,Zr_Cl
2.675000000000000266e+00,0.000000000000000000e+00,1.795535202347638304e+00
2.725000000000000089e+00,8.722474771506180669e-02,1.468434315035289650e+00
2.775000000000000355e+00,1.678593948603300523e-01,6.448795878181432517e-01
2.825000000000000178e+00,1.682521684574788401e-01,5.304599782775722971e-01
2.875000000000000000e+00,2.389687917623738722e-01,6.068461472914619126e-01
2.925000000000000266e+00,3.044992435387985918e-01,2.690996555608718976e-01
2.975000000000000089e+00,5.202874214820214505e-01,1.838128063607569473e-01
3.025000000000000355e+00,9.392378687893125910e-01,3.220633660952988420e-01
3.075000000000000178e+00,1.475318853518966078e+00,6.813255758715464072e-02
3.125000000000000000e+00,1.280180675026221682e+00,2.344717436410533318e-01
3.175000000000000266e+00,2.468380432386557466e+00,1.652443292357964888e-01
3.225000000000000089e+00,3.096366965448809960e+00,1.264943225382649805e-01
3.275000000000000355e+00,2.566583086692616700e+00,3.019422449261547486e-02
3.325000000000000178e+00,2.122920472418676763e+00,1.164894112612591126e-01
3.375000000000000000e+00,2.217228902367528676e+00,3.057124454477682177e-02
3.425000000000000266e+00,2.137967364067365317e+00,0.000000000000000000e+00
3.475000000000000089e+00,2.517613902833938155e+00,5.458334187854722852e-02
3.525000000000000355e+00,1.892362073062886951e+00,2.600745536691554879e-02
3.575000000000000178e+00,2.268060267676279551e+00,7.579082010156368288e-02
3.625000000000000000e+00,2.107363166331404081e+00,7.439794395222962264e-02
3.675000000000000266e+00,2.336859409416946587e+00,7.169470775899351722e-02
3.725000000000000089e+00,1.756771160143215216e+00,7.103109371018531681e-02
3.775000000000000355e+00,1.840318221942091270e+00,1.603411584595487993e-01
3.825000000000000178e+00,1.883516547567777977e+00,1.126287701068319907e-01
3.875000000000000000e+00,2.103202912725923746e+00,4.421707198372674952e-02
3.925000000000000266e+00,1.967073739657597242e+00,1.051214510055437090e-01
3.975000000000000089e+00,1.205682228551442803e+00,2.285429135153861924e-01
4.025000000000000355e+00,1.619273411124001472e+00,2.033054018119768158e-01
4.075000000000000178e+00,1.659040851266104566e+00,1.579183112086872121e-01
4.125000000000000000e+00,2.021585380885107419e+00,3.286786025808227096e-01
4.175000000000000711e+00,2.232416499766276985e+00,3.971086831236145809e-01
4.224999999999999645e+00,2.752776027063376318e+00,4.439404467051940584e-01
4.275000000000000355e+00,2.696427332258748866e+00,5.789304667100283464e-01
4.325000000000000178e+00,2.254833704995697907e+00,5.135582540344590941e-01
4.375000000000000000e+00,1.279087763532758881e+00,6.009606485165461809e-01
4.425000000000000711e+00,1.011671537079115835e+00,8.265475858421252875e-01
4.474999999999999645e+00,7.519833687557776480e-01,8.320766911989027070e-01
4.525000000000000355e+00,8.024303625535234019e-01,1.184334535059018423e+00
4.575000000000000178e+00,5.359799156964857314e-01,1.015280299546579057e+00
4.625000000000000000e+00,5.534162696558346806e-01,1.174263414114143034e+00
4.675000000000000711e+00,4.190072707905775351e-01,1.169647967889372309e+00
4.724999999999999645e+00,7.330252959833434279e-01,1.133955602185205525e+00
4.775000000000000355e+00,6.883313145394002186e-01,1.198391090709158391e+00
4.825000000000001066e+00,5.646384158994688374e-01,1.143884329678279688e+00
4.875000000000000000e+00,5.579401700561776867e-01,1.175879825925414845e+00
4.925000000000000711e+00,4.900046709217619201e-01,1.007520119712042694e+00
4.974999999999999645e+00,3.520074734384988635e-01,1.253469497408384203e+00
