time_ps,T_K,PE_eV_atom,P_GPa,rho_g_cm3
3.500000000000000000e+00,3.651195950100000118e+02,-6.251105225887096495e+00,-3.244480806333333023e-01,2.474198250025036572e+00
3.550000000000000266e+00,4.135525397100000191e+02,-6.255895812822580559e+00,1.370271013400000015e+00,2.503248852997900453e+00
3.600000000000000089e+00,3.699643253200000004e+02,-6.250986381290322136e+00,1.325099977920000116e+00,2.504447505179601130e+00
3.650000000000000355e+00,3.829022700799999939e+02,-6.254641338951612894e+00,-3.351604514566666748e-01,2.478131808033816164e+00
3.700000000000000178e+00,3.699802263600000174e+02,-6.254599901209677348e+00,4.943724467999999206e-01,2.453050230599010284e+00
3.750000000000000000e+00,3.583678064100000142e+02,-6.254058989838709337e+00,-5.586797918000004776e-02,2.437106823619940688e+00
3.800000000000000266e+00,3.680885375299999964e+02,-6.255767589435484055e+00,-8.645688716566666265e-01,2.444623382954038693e+00
3.850000000000000089e+00,3.890082755199999838e+02,-6.258691065241936080e+00,4.490051622366666995e-01,2.465126404060170806e+00
3.900000000000000355e+00,4.027813790999999810e+02,-6.260310693870967391e+00,5.864926491300000988e-01,2.477769606136195790e+00
3.950000000000000178e+00,4.022217372599999976e+02,-6.259974489112902774e+00,-1.109509741883333289e+00,2.475470619425344410e+00
4.000000000000000000e+00,4.012255466700000284e+02,-6.259685109758065025e+00,1.052430441160000063e+00,2.476407362769296849e+00
4.049999999999999822e+00,3.840715846800000008e+02,-6.256977804112902497e+00,-6.833108173066665403e-01,2.468798601922129965e+00
4.100000000000000533e+00,4.057818024900000182e+02,-6.257533877500000230e+00,-3.419776960433333346e-01,2.469059872821691926e+00
4.150000000000000355e+00,4.193316644199999814e+02,-6.255449339274194109e+00,-1.317709538666666791e-01,2.466890043771907237e+00
4.200000000000000178e+00,4.399224226800000110e+02,-6.254851867419354505e+00,7.323685518400000483e-01,2.462051275234418135e+00
4.250000000000000000e+00,4.160326452099999983e+02,-6.250331126209677457e+00,-1.518757462700000005e+00,2.459831211403870288e+00
4.299999999999999822e+00,4.316013427799999818e+02,-6.251526253306451508e+00,1.209065567206666580e+00,2.476461943617946471e+00
4.350000000000000533e+00,4.093720229599999811e+02,-6.249297780161290561e+00,6.640768907899999851e-01,2.488436620310592762e+00
4.400000000000000355e+00,3.986910398800000053e+02,-6.253524374354838322e+00,1.102421666989999993e+00,2.477732854386747174e+00
4.450000000000000178e+00,3.709436971700000072e+02,-6.255922278548387006e+00,-3.401606578666663966e-02,2.440230051344072670e+00
4.500000000000000000e+00,3.646318106699999930e+02,-6.256100367741935564e+00,-1.455349830443332992e+00,2.405537749843939199e+00
4.549999999999999822e+00,3.526425357499999791e+02,-6.253654429516129376e+00,-2.098996220799999701e+00,2.407068134858207031e+00
4.600000000000000533e+00,3.883827762199999825e+02,-6.254939519758064392e+00,1.005492403884000185e-01,2.448003185218354361e+00
