lag_ps,Li_A2,P_A2,O_A2,N_A2
3.100000000000000089e+00,4.364597187955467916e+00,2.859819209235143211e-01,9.451751912568034930e-01,7.604412813958879580e-01
3.200000000000000178e+00,4.482791418146308438e+00,2.884458884717823746e-01,9.606232897650738289e-01,7.696079674617438693e-01
3.300000000000000266e+00,4.603133371000218688e+00,2.924015549114198365e-01,9.764129015349081175e-01,7.751571399446737232e-01
3.400000000000000355e+00,4.722566856880704655e+00,2.957524994282482722e-01,9.902913974026101851e-01,7.839646021533814846e-01
3.500000000000000000e+00,4.840578834437211597e+00,2.979767087683076188e-01,1.003184212467705283e+00,7.887821680406030822e-01
3.600000000000000089e+00,4.961334159391474152e+00,2.999073367877823637e-01,1.016585121159888860e+00,7.956691821800647713e-01
3.700000000000000178e+00,5.078892879246143188e+00,3.027461048430579171e-01,1.030809624111628242e+00,8.047359870159898065e-01
3.800000000000000266e+00,5.198925123568528761e+00,3.048900218537569651e-01,1.044651433938019958e+00,8.133158184113576938e-01
3.900000000000000355e+00,5.321149419339160858e+00,3.072550553171138343e-01,1.057883746967674954e+00,8.188151967689397681e-01
4.000000000000000000e+00,5.438382919460259757e+00,3.094209379192079390e-01,1.071607997579532956e+00,8.261728852049292637e-01
4.100000000000000533e+00,5.557339369983301580e+00,3.105426351717762712e-01,1.084307480936355539e+00,8.356870070115518523e-01
4.200000000000000178e+00,5.676834960651192752e+00,3.119025860255675853e-01,1.096447212595704546e+00,8.414157574242338011e-01
4.299999999999999822e+00,5.796695548340059290e+00,3.144256392847431525e-01,1.109655479334952455e+00,8.482608099157109560e-01
4.400000000000000355e+00,5.917175952763152225e+00,3.170134659297113577e-01,1.121957458076252134e+00,8.608457529367776750e-01
4.500000000000000000e+00,6.037783524511769251e+00,3.188870670574110444e-01,1.133826620130334639e+00,8.693923497620947849e-01
4.600000000000000533e+00,6.157441772726863327e+00,3.206732873906178449e-01,1.145895368738139908e+00,8.744202546674831877e-01
4.700000000000000178e+00,6.277977268856945514e+00,3.226300987535232201e-01,1.158214148827201306e+00,8.827576816629895129e-01
4.800000000000000711e+00,6.399129258177105761e+00,3.247004311165725410e-01,1.169821057063334946e+00,8.912998448905212756e-01
4.900000000000000355e+00,6.516216876569684402e+00,3.273237041163920003e-01,1.181271286690264821e+00,9.018898266498256433e-01
5.000000000000000000e+00,6.632796147691462529e+00,3.293275685344076442e-01,1.193595807199853365e+00,9.117924026271725380e-01
5.100000000000000533e+00,6.750232308699826156e+00,3.303925561514900466e-01,1.203770628333853843e+00,9.182363180968228233e-01
5.200000000000000178e+00,6.869931329980897061e+00,3.317200200087002115e-01,1.213810571501738433e+00,9.279146423879526262e-01
5.300000000000000711e+00,6.987148901245197941e+00,3.334873047053641959e-01,1.224779766842310380e+00,9.368612102824003252e-01
5.400000000000000355e+00,7.107013798684940653e+00,3.355595521479526888e-01,1.236150224609734449e+00,9.426601399291872907e-01
5.500000000000000000e+00,7.224345637576887746e+00,3.370454459593510421e-01,1.247594820524370318e+00,9.474931404089320663e-01
5.600000000000000533e+00,7.339803526770444897e+00,3.377249510301275626e-01,1.255924404891527457e+00,9.503919078465423720e-01
5.700000000000000178e+00,7.459529403964078043e+00,3.384817499145407194e-01,1.264484183216452617e+00,9.551053363641447413e-01
5.800000000000000711e+00,7.577945926459739745e+00,3.395693909452700554e-01,1.275107338284708014e+00,9.634462849158880182e-01
