time_ps,T_K,PE_eV_atom,P_GPa,rho_g_cm3
2.230000000000000071e+01,8.351252697099999978e+02,-6.154019296209677137e+00,1.329378069836666620e+00,2.310578213613705856e+00
2.235000000000000142e+01,9.287999840200000108e+02,-6.156417200161290459e+00,-3.950992515333333066e-01,2.303439160410875264e+00
2.240000000000000213e+01,8.874071681399999534e+02,-6.147506275725806546e+00,-1.554308224256666593e+00,2.300111662181933969e+00
2.245000000000000284e+01,1.022716657000000055e+03,-6.164479429838709557e+00,-3.315816093833333089e-01,2.307673504083762150e+00
2.250000000000000000e+01,9.288295677400000159e+02,-6.154538486451612833e+00,-3.083655615400000549e-01,2.323984409243434524e+00
2.255000000000000071e+01,8.979756099999999606e+02,-6.156395697983870541e+00,-5.398068080666666019e-02,2.335774545229523103e+00
2.260000000000000142e+01,8.819575370999999677e+02,-6.161325588629032346e+00,7.537872241666665474e-01,2.345013198687118550e+00
2.265000000000000213e+01,8.705406119399999625e+02,-6.165766592983870531e+00,-1.129973021399999888e+00,2.347707637678513759e+00
2.270000000000000284e+01,8.020223191600000519e+02,-6.160544484032258516e+00,1.984670341230000190e+00,2.356136055948963914e+00
2.275000000000000000e+01,9.298158771700000216e+02,-6.175683234838709623e+00,-7.670407239000003041e-02,2.358010252839559673e+00
2.280000000000000071e+01,9.472721507300000212e+02,-6.175540657661290567e+00,-3.626273117966667403e-01,2.355126121469128364e+00
2.285000000000000142e+01,9.522253276000000142e+02,-6.170657572661290224e+00,1.462073656606666772e+00,2.346526114134966257e+00
2.290000000000000213e+01,1.050280611599999929e+03,-6.166148748629032283e+00,9.282348398699999947e-01,2.324236067192062549e+00
2.295000000000000284e+01,9.776121240200000102e+02,-6.148167907016128808e+00,1.587454782566666556e-01,2.296434136622921951e+00
2.300000000000000000e+01,1.081332305899999938e+03,-6.160811967822581003e+00,-8.692005641866665799e-01,2.272948778858050911e+00
2.305000000000000071e+01,9.196934164299999566e+02,-6.145250839435483670e+00,-7.001425908833333045e-01,2.257044235116961506e+00
2.310000000000000142e+01,9.246266372100000126e+02,-6.153842978629032068e+00,-9.052918078006665370e-01,2.248506377746112062e+00
2.315000000000000213e+01,8.236980678300000136e+02,-6.149415224274194181e+00,-1.184587047351666866e+00,2.251897268085941484e+00
2.320000000000000284e+01,8.856689321100000143e+02,-6.163614459354838537e+00,-1.476768365130000094e+00,2.275853263166664142e+00
2.325000000000000000e+01,8.137172946900000170e+02,-6.158956988467741311e+00,-7.253428083666667581e-01,2.317746252396297280e+00
2.330000000000000071e+01,9.231721650900000213e+02,-6.174768786693548783e+00,1.808680335133333372e+00,2.363761567696949228e+00
2.335000000000000142e+01,8.173096851100000322e+02,-6.162447627822580820e+00,7.855143438400000733e-01,2.398259450126136283e+00
2.340000000000000213e+01,9.180930539299999964e+02,-6.175390350645161064e+00,3.927102452866667037e-01,2.416956713797580925e+00
2.345000000000000284e+01,9.559418350299999929e+02,-6.178862867419354643e+00,2.202393604336666755e+00,2.421258911122586621e+00
2.350000000000000000e+01,8.663055447799999911e+02,-6.168385096209677343e+00,2.479904084399999764e-01,2.411489436730006819e+00
2.355000000000000071e+01,9.330535481499999833e+02,-6.179698278629031982e+00,1.405783048966666726e+00,2.383287398567069726e+00
2.360000000000000142e+01,9.099730761600000051e+02,-6.179777825161290039e+00,-2.841777671286666584e-01,2.346984259136422502e+00
2.365000000000000213e+01,8.610293935299999930e+02,-6.173928597177419597e+00,-1.656757495338666786e+00,2.315170698264609861e+00
2.370000000000000284e+01,9.166020405599999776e+02,-6.178032714758065147e+00,-2.979299358566666611e-01,2.297142678919612546e+00
2.375000000000000000e+01,8.602933230999999523e+02,-6.168139176612903007e+00,-2.951727212966667180e-01,2.299155638580398620e+00
2.380000000000000071e+01,9.156377308999999514e+02,-6.169953740241935769e+00,-1.534740714166666631e-01,2.307198206253435302e+00
2.385000000000000142e+01,9.778925827499999741e+02,-6.169872529354838875e+00,3.071018798600004193e-02,2.318525313085884498e+00
2.390000000000000213e+01,9.945163077299999941e+02,-6.164283711935484078e+00,-6.392966535033333120e-01,2.333261939229823501e+00
2.395000000000000284e+01,1.030077211100000113e+03,-6.161673721451613517e+00,-2.483839753199999778e-01,2.345006861901293593e+00
2.400000000000000000e+01,9.514805995299999495e+02,-6.149333209999999994e+00,-2.830505429600000400e-01,2.348862871574819877e+00
2.405000000000000071e+01,9.911308897699999534e+02,-6.160809171774193516e+00,-8.227919509966667988e-01,2.348407223675420319e+00
2.410000000000000142e+01,8.471426917899999580e+02,-6.156347806693548641e+00,1.151047518123333308e-01,2.351064863992577081e+00
2.415000000000000213e+01,8.943172371699999985e+02,-6.171825783145161282e+00,1.814071679060000220e+00,2.354472181511091833e+00
2.420000000000000284e+01,7.928031259599999885e+02,-6.163168337016128540e+00,9.475456252423333225e-01,2.354900938126632592e+00
2.425000000000000000e+01,9.516814352999999755e+02,-6.184459021612902951e+00,1.062814443760000005e+00,2.355546507330207984e+00
2.430000000000000071e+01,8.533750289399999929e+02,-6.172734354274193258e+00,-2.765835789666666877e-01,2.354314461303756545e+00
2.435000000000000142e+01,9.209143528500000002e+02,-6.181254269596774265e+00,4.424215740066667624e-01,2.349375505283360699e+00
2.440000000000000213e+01,8.594615390300000399e+02,-6.171558926854838312e+00,5.650951752299999686e-01,2.344196609163419431e+00
2.445000000000000284e+01,8.218127444499999683e+02,-6.159978473225806717e+00,-5.174265497233333511e-01,2.339191100033038317e+00
2.450000000000000000e+01,9.065623469500000056e+02,-6.160628305806452154e+00,1.715525451766667098e-01,2.327209731383498070e+00
2.455000000000000071e+01,9.107851688099999592e+02,-6.155343633709677853e+00,-1.285629719900000245e-01,2.316739694464768462e+00
2.460000000000000142e+01,8.378935603200000060e+02,-6.143096398870967256e+00,-3.610949002599999624e-01,2.308034921895010694e+00
2.465000000000000213e+01,1.051474745700000085e+03,-6.170728689112903176e+00,-1.156876165799999967e+00,2.309881582451420279e+00
2.470000000000000284e+01,8.822269552599999543e+02,-6.156808899596773799e+00,-4.227621591133333134e-01,2.325087769473958232e+00
2.475000000000000000e+01,9.770292842100000144e+02,-6.177967607419355467e+00,-1.479168740523333581e+00,2.346316224366510106e+00
2.480000000000000071e+01,8.479365115699999933e+02,-6.169747023870967517e+00,7.292603053333339413e-02,2.364976883518555173e+00
2.485000000000000142e+01,8.813798968800000466e+02,-6.177259097258064102e+00,1.482707041936666359e+00,2.379771420868119325e+00
2.490000000000000213e+01,9.590236906000000090e+02,-6.187970054032258638e+00,-2.930518727333333850e-01,2.390392347978853582e+00
2.495000000000000284e+01,8.948155887000000348e+02,-6.179264215322580078e+00,5.239029323699999630e-01,2.395169212409684611e+00
2.500000000000000000e+01,9.401021385400000554e+02,-6.184720075322580612e+00,8.644059419666666466e-01,2.387498227567916853e+00
2.505000000000000071e+01,9.087602641199999880e+02,-6.180286756048387176e+00,-8.219979042199999641e-01,2.367420564923357063e+00
2.510000000000000142e+01,8.602632029699999521e+02,-6.171174946935483518e+00,8.438826292999997147e-02,2.352515006212531734e+00
2.515000000000000213e+01,9.764180181699999821e+02,-6.180983905725806693e+00,-1.143456046920000135e+00,2.336174194210366650e+00
