lag_ps,Li_MSD_A2,Li_COM_removed_window_MSD_A2,single_origin_system_COM_removed_A2
1.919999999999999929e+01,9.172723904461356881e+01,8.928645164741345752e+01,1.063701651298098483e+02
1.930000000000000071e+01,9.213449991421261132e+01,8.967782806414234642e+01,1.061897879189392597e+02
1.940000000000000213e+01,9.254554846934300372e+01,9.007364043635109851e+01,1.058230219270221113e+02
1.950000000000000000e+01,9.295562124654443892e+01,9.046876999846149658e+01,1.099127774173445573e+02
1.960000000000000142e+01,9.335845858940372466e+01,9.085560062351156319e+01,1.121322526735557403e+02
1.969999999999999929e+01,9.376269344799840155e+01,9.124443993830654165e+01,1.124638855194340010e+02
1.980000000000000071e+01,9.416707205397224811e+01,9.163283301623783927e+01,1.145168195556572215e+02
1.990000000000000213e+01,9.456893734756857839e+01,9.201901145455364883e+01,1.163445840747092177e+02
2.000000000000000000e+01,9.496753832097326153e+01,9.240239795948446044e+01,1.170387031607110373e+02
2.010000000000000142e+01,9.537472218133193280e+01,9.279406631935940197e+01,1.193928788916167036e+02
2.019999999999999929e+01,9.577341326125643661e+01,9.317746657891471784e+01,1.167449319337575986e+02
2.030000000000000071e+01,9.616438858284307400e+01,9.355294471905371267e+01,1.167948908955451515e+02
2.040000000000000213e+01,9.656466675898226981e+01,9.393818782080447249e+01,1.170039861013731013e+02
2.050000000000000000e+01,9.695815934673805714e+01,9.431618082009504178e+01,1.170947424865849626e+02
2.060000000000000142e+01,9.734263910027527800e+01,9.468448731796343054e+01,1.164216842475932339e+02
2.069999999999999929e+01,9.773605589374845692e+01,9.506109806240131377e+01,1.188357770071336148e+02
2.080000000000000071e+01,9.812841325376781754e+01,9.543679194899817730e+01,1.208081437249363148e+02
2.090000000000000213e+01,9.851913072307644370e+01,9.581054477907339617e+01,1.222312786292131221e+02
2.100000000000000000e+01,9.891291539273322542e+01,9.618813246658824312e+01,1.228190486091403670e+02
2.110000000000000142e+01,9.930137979619523492e+01,9.656017175704373301e+01,1.227696187775785432e+02
2.119999999999999929e+01,9.968828980778758364e+01,9.693177146403583322e+01,1.227237492788470803e+02
2.130000000000000071e+01,1.000790863160376887e+02,9.730700920625842798e+01,1.218917660567340988e+02
2.140000000000000213e+01,1.004681711157846706e+02,9.768114954093437063e+01,1.249302383225407311e+02
2.150000000000000000e+01,1.008546055887412507e+02,9.805418986087340727e+01,1.244236868391115536e+02
2.160000000000000142e+01,1.012447875550640077e+02,9.843126486558692534e+01,1.252631679102542819e+02
2.169999999999999929e+01,1.016262511483872117e+02,9.880015044518285094e+01,1.245280790528055093e+02
2.180000000000000071e+01,1.020023885179486456e+02,9.916433141037100540e+01,1.247726336778903828e+02
2.190000000000000213e+01,1.023780791381201141e+02,9.952752136534172678e+01,1.254608870262351275e+02
2.200000000000000000e+01,1.027596720514534638e+02,9.989646550324201257e+01,1.249878454497644640e+02
2.210000000000000142e+01,1.031415159887220199e+02,1.002647484468730710e+02,1.276580776016956520e+02
2.219999999999999929e+01,1.035180858982639478e+02,1.006285095438356194e+02,1.263010173701074734e+02
2.230000000000000071e+01,1.038922660906830373e+02,1.009904873332388746e+02,1.287472683681630485e+02
2.240000000000000213e+01,1.042614276862035894e+02,1.013464804967972555e+02,1.292446210784448510e+02
2.250000000000000000e+01,1.046327943343157614e+02,1.017065759437338102e+02,1.293273704648204045e+02
2.260000000000000142e+01,1.050108083379099781e+02,1.020735900200320714e+02,1.323479971130979891e+02
2.269999999999999929e+01,1.053877685311506696e+02,1.024405309317226767e+02,1.328757838451971622e+02
2.280000000000000071e+01,1.057706868466243719e+02,1.028123632693748846e+02,1.308706279752561557e+02
2.290000000000000213e+01,1.061502698827864322e+02,1.031806604047476554e+02,1.359179137170541480e+02
2.300000000000000000e+01,1.065338842247451367e+02,1.035534609432991431e+02,1.335308193999630078e+02
2.310000000000000142e+01,1.069212085659618907e+02,1.039300009004330718e+02,1.288031736771720261e+02
2.319999999999999929e+01,1.073089145180470183e+02,1.043074379483205121e+02,1.303366600346141695e+02
2.330000000000000071e+01,1.076919253201571536e+02,1.046808335593304804e+02,1.321347543640157483e+02
2.340000000000000213e+01,1.080695819806652054e+02,1.050482358660538011e+02,1.335361053895073269e+02
2.350000000000000000e+01,1.084504013231305066e+02,1.054178342916420377e+02,1.401522458317479902e+02
2.360000000000000142e+01,1.088202113781589162e+02,1.057768883802152544e+02,1.411275275143463261e+02
2.369999999999999929e+01,1.091882994502819884e+02,1.061340895705742611e+02,1.376411115347609098e+02
2.380000000000000071e+01,1.095647616875825889e+02,1.065012112189890985e+02,1.392573192559050312e+02
2.390000000000000213e+01,1.099457522499967013e+02,1.068732363723165548e+02,1.391264018731600913e+02
2.400000000000000000e+01,1.103270040893976756e+02,1.072445790304368103e+02,1.431182444599263022e+02
2.410000000000000142e+01,1.107070154700642917e+02,1.076143507901129652e+02,1.369539520748714096e+02
2.419999999999999929e+01,1.110905030547265255e+02,1.079882630530177323e+02,1.334143858627697625e+02
2.430000000000000071e+01,1.114831300114398402e+02,1.083717984503850573e+02,1.355291580843803558e+02
2.440000000000000213e+01,1.118687273739651147e+02,1.087481428459514916e+02,1.356057013927529056e+02
2.450000000000000000e+01,1.122548002165533347e+02,1.091241603146573595e+02,1.376770659392193750e+02
2.460000000000000142e+01,1.126418481644845997e+02,1.095019578036888674e+02,1.373348917278808017e+02
2.469999999999999929e+01,1.130369097646145775e+02,1.098880377134715047e+02,1.375129347283466643e+02
2.480000000000000071e+01,1.134315438116454970e+02,1.102747885839874868e+02,1.370970854909460854e+02
2.490000000000000213e+01,1.138202314244136346e+02,1.106559221309155703e+02,1.380383640140330499e+02
2.500000000000000000e+01,1.142029594475647230e+02,1.110317966745684828e+02,1.378111906532998887e+02
2.510000000000000142e+01,1.145801898681893505e+02,1.114025865190651530e+02,1.325875326991728400e+02
2.519999999999999929e+01,1.149585571363425345e+02,1.117740539461516249e+02,1.335038609522485444e+02
2.530000000000000071e+01,1.153353035167043146e+02,1.121433683467247135e+02,1.365722278718737073e+02
2.540000000000000213e+01,1.157041126629402470e+02,1.125049634160215106e+02,1.344254681250518217e+02
2.550000000000000000e+01,1.160857319023256196e+02,1.128789384291222149e+02,1.342709465279598078e+02
2.560000000000000142e+01,1.164649997479435939e+02,1.132510948325653288e+02,1.312758794329052421e+02
2.569999999999999929e+01,1.168417951065511744e+02,1.136220608813988804e+02,1.310303219804038690e+02
2.580000000000000071e+01,1.172202242852122254e+02,1.139944894088141325e+02,1.337619428074988264e+02
2.590000000000000213e+01,1.175998676840603281e+02,1.143687667872671767e+02,1.375432001526674526e+02
2.600000000000000000e+01,1.179797161747110295e+02,1.147426812000645384e+02,1.382602979373104120e+02
2.610000000000000142e+01,1.183585318634411863e+02,1.151163642280099424e+02,1.414005853257739886e+02
2.619999999999999929e+01,1.187317419862035734e+02,1.154843916812555449e+02,1.415364003091912650e+02
2.630000000000000071e+01,1.191109924110785556e+02,1.158588035957348552e+02,1.381701790179299110e+02
2.640000000000000213e+01,1.194873385425472918e+02,1.162302066795053008e+02,1.370081589364091030e+02
2.650000000000000000e+01,1.198638719168248628e+02,1.166013309366857840e+02,1.390013064620992793e+02
2.660000000000000142e+01,1.202386260046556004e+02,1.169710316346245946e+02,1.436457126478963460e+02
2.669999999999999929e+01,1.206092340889154997e+02,1.173370162031847173e+02,1.434293323091538923e+02
2.680000000000000071e+01,1.209831266793965199e+02,1.177071370370102557e+02,1.435497782293810758e+02
2.690000000000000213e+01,1.213644595981280503e+02,1.180844731734608644e+02,1.467467342600437803e+02
2.700000000000000000e+01,1.217323187832753035e+02,1.184499746958278479e+02,1.441505195025749799e+02
2.710000000000000142e+01,1.221094217349389339e+02,1.188236690781991030e+02,1.472448386221031456e+02
2.719999999999999929e+01,1.224861615073422030e+02,1.191961691778203090e+02,1.457755720465431466e+02
2.730000000000000071e+01,1.228654204243643164e+02,1.195711010165144614e+02,1.454159871582248797e+02
2.740000000000000213e+01,1.232433349726158269e+02,1.199440600503014451e+02,1.480039931076551056e+02
