time_ps,T_K,PE_eV,Etot_eV,P_GPa,volume_A3,density_g_cm3
1.700000000000000178e+00,3.318662244000000214e+02,-9.293396305999999640e+02,-9.211033919529999139e+02,-3.895774804366666788e-01,5.825461543063272075e+03,1.913856666696889031e+00
1.750000000000000000e+00,3.093710072200000241e+02,-9.291688904699999512e+02,-9.214909369495999272e+02,-4.258840410133333254e-01,5.825461543063272075e+03,1.913856666696889031e+00
1.800000000000000044e+00,3.389479091300000277e+02,-9.298128259899999648e+02,-9.214008344605999810e+02,-5.024488115733333204e-01,5.825461543063272075e+03,1.913856666696889031e+00
1.850000000000000089e+00,3.249230560099999821e+02,-9.291406738199999609e+02,-9.210767503639999632e+02,-4.392277563399999973e-01,5.825461543063272075e+03,1.913856666696889031e+00
1.900000000000000133e+00,3.371667642900000033e+02,-9.289362879100000328e+02,-9.205685007404999851e+02,-5.089325137000000332e-01,5.825461543063272075e+03,1.913856666696889031e+00
1.950000000000000178e+00,3.675786797700000079e+02,-9.291786237400000346e+02,-9.200560752385000569e+02,-3.962400153300000283e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.000000000000000000e+00,3.602960722899999837e+02,-9.286670472800000198e+02,-9.197252381509000543e+02,-2.593281379266667019e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.050000000000000266e+00,3.753690809700000273e+02,-9.288910393899999463e+02,-9.195751491176999934e+02,-3.492968512690000082e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.100000000000000089e+00,3.550301549499999965e+02,-9.283973644000000149e+02,-9.195862445328999684e+02,-4.694559686229999862e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.149999999999999911e+00,3.546452678599999899e+02,-9.282454559400000562e+02,-9.194438881806000836e+02,-4.111186877299999876e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.200000000000000178e+00,3.746961520599999744e+02,-9.284752689599999940e+02,-9.191760794022000027e+02,-4.804716629933333816e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.250000000000000000e+00,3.888543171399999778e+02,-9.287490505700000085e+02,-9.190984844097999940e+02,-6.487255756099999937e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.300000000000000266e+00,3.889675964699999895e+02,-9.288914538000000221e+02,-9.192380762793000031e+02,-4.162043648900000115e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.350000000000000089e+00,3.812981740800000239e+02,-9.288988095500000099e+02,-9.194357713542000283e+02,-4.067069101050000413e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.400000000000000355e+00,3.376215194000000110e+02,-9.280149513400000387e+02,-9.196358780818000014e+02,-1.715007636489999931e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.450000000000000178e+00,3.541939540299999862e+02,-9.283881844200000160e+02,-9.195978173437000578e+02,-3.969687812300000118e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.500000000000000000e+00,3.770130261699999892e+02,-9.287496075000000246e+02,-9.193929178814000807e+02,-3.579466127266666686e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.550000000000000266e+00,3.854468056800000113e+02,-9.286282628899999736e+02,-9.190622641715999634e+02,-3.775938441633333031e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.600000000000000089e+00,4.361449851400000171e+02,-9.291739139799999521e+02,-9.183496904879999647e+02,-6.417252655399999783e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.650000000000000355e+00,4.104400672799999938e+02,-9.279110502199999928e+02,-9.177247700389999636e+02,-3.562623692366666539e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.700000000000000178e+00,4.272368033500000024e+02,-9.280745094200000267e+02,-9.174713687189999973e+02,-6.408549784600000576e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.750000000000000000e+00,3.815526612300000124e+02,-9.271746095900000455e+02,-9.177052555454000640e+02,1.224619360940000096e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.800000000000000266e+00,4.146097948400000064e+02,-9.287256919000000153e+02,-9.184359276380000665e+02,-7.378590254666667070e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.850000000000000089e+00,3.873263549700000112e+02,-9.292091865200000029e+02,-9.195965412452000010e+02,5.316038938299999517e-02,5.825461543063272075e+03,1.913856666696889031e+00
2.900000000000000355e+00,3.682609638600000039e+02,-9.291931593799999973e+02,-9.200536779875000093e+02,-5.438504800866666988e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.950000000000000178e+00,3.655072500200000150e+02,-9.292796404900000198e+02,-9.202085006239000222e+02,-3.017893250166666097e-01,5.825461543063272075e+03,1.913856666696889031e+00
3.000000000000000000e+00,3.826429343199999948e+02,-9.296894872799999803e+02,-9.201930748946999756e+02,-4.796849672700000400e-01,5.825461543063272075e+03,1.913856666696889031e+00
3.050000000000000266e+00,3.429186020399999961e+02,-9.284787714300000516e+02,-9.199682354513000746e+02,-1.150534749966666687e-01,5.825461543063272075e+03,1.913856666696889031e+00
3.100000000000000089e+00,3.821383280800000080e+02,-9.287497544699999708e+02,-9.192658653761000096e+02,-8.769870503966665787e-01,5.825461543063272075e+03,1.913856666696889031e+00
3.150000000000000355e+00,3.694879652999999848e+02,-9.278329531399999723e+02,-9.186630200895999678e+02,-2.309969714199999746e-01,5.825461543063272075e+03,1.913856666696889031e+00
3.200000000000000178e+00,4.227702634799999828e+02,-9.287881092500000477e+02,-9.182958189030000540e+02,-3.488049047299999761e-01,5.825461543063272075e+03,1.913856666696889031e+00
3.250000000000000000e+00,4.139067022199999997e+02,-9.285372715099999823e+02,-9.182649565639999309e+02,-4.574322638799999674e-01,5.825461543063272075e+03,1.913856666696889031e+00
3.300000000000000266e+00,4.208262901800000009e+02,-9.287830895600000076e+02,-9.183390446409999868e+02,-1.253375203516666481e-01,5.825461543063272075e+03,1.913856666696889031e+00
3.350000000000000089e+00,3.645171487999999727e+02,-9.276035728199999539e+02,-9.185570052343999805e+02,-1.144324015579999965e-01,5.825461543063272075e+03,1.913856666696889031e+00
3.400000000000000355e+00,4.005841856999999777e+02,-9.286712673099999620e+02,-9.187295898836999868e+02,-5.200497941266667423e-01,5.825461543063272075e+03,1.913856666696889031e+00
3.450000000000000178e+00,3.843797603400000185e+02,-9.284587271599999667e+02,-9.189192103171999406e+02,-3.563650110466666798e-01,5.825461543063272075e+03,1.913856666696889031e+00
3.500000000000000000e+00,3.973823275799999806e+02,-9.288033875200000011e+02,-9.189411736416999474e+02,-7.866576691999999094e-01,5.825461543063272075e+03,1.913856666696889031e+00
3.550000000000000266e+00,3.929715166799999793e+02,-9.286092966800000568e+02,-9.188565500765000706e+02,-7.945554176203332986e-02,5.825461543063272075e+03,1.913856666696889031e+00
3.600000000000000089e+00,3.993673361099999966e+02,-9.285211139799999955e+02,-9.186096362632999899e+02,-3.076814254200000431e-01,5.825461543063272075e+03,1.913856666696889031e+00
3.650000000000000355e+00,4.314319901399999821e+02,-9.289081873699999505e+02,-9.182009307419999686e+02,-5.408160567666666640e-01,5.825461543063272075e+03,1.913856666696889031e+00
