time_ps,T_K,PE_eV,Etot_eV,P_GPa,volume_A3,density_g_cm3
3.005000000000000071e+01,8.199530700000000252e+02,-8.907515300000000025e+02,-8.705079700000000003e+02,1.414278399999999991e-01,7.897189199999999801e+03,1.411780500000000105e+00
3.010000000000000142e+01,8.172521299999999655e+02,-8.908443300000000136e+02,-8.706674400000000560e+02,-2.425954000000000166e-01,7.868102299999999559e+03,1.416999600000000026e+00
3.014999999999999858e+01,8.065051099999999451e+02,-8.912908999999999651e+02,-8.713793500000000449e+02,2.160702600000000140e-01,7.813690099999999802e+03,1.426867099999999944e+00
3.019999999999999929e+01,8.734197100000000091e+02,-8.943529399999999896e+02,-8.727893599999999878e+02,-1.766357800000000200e-01,7.781943699999999808e+03,1.432687999999999962e+00
3.025000000000000000e+01,6.963593600000000379e+02,-8.918419199999999591e+02,-8.746497200000000021e+02,-3.572924399999999889e-01,7.719539399999999659e+03,1.444269800000000048e+00
3.030000000000000071e+01,7.701641600000000381e+02,-8.940387600000000248e+02,-8.750244099999999889e+02,2.460771600000000170e-01,7.609449200000000019e+03,1.465164799999999934e+00
3.035000000000000142e+01,7.721568800000000010e+02,-8.940357999999999947e+02,-8.749722600000000057e+02,1.737288800000000022e-01,7.527021200000000135e+03,1.481209800000000021e+00
3.039999999999999858e+01,7.664536699999999882e+02,-8.936569299999999885e+02,-8.747341900000000123e+02,1.797408500000000076e-01,7.461629299999999603e+03,1.494190700000000094e+00
3.044999999999999929e+01,8.322411600000000362e+02,-8.950564399999999523e+02,-8.745095000000000027e+02,-3.374010999999999677e-02,7.404706199999999626e+03,1.505677200000000049e+00
3.050000000000000000e+01,7.418474999999999682e+02,-8.929129799999999477e+02,-8.745977299999999559e+02,1.247020800000000068e-01,7.343337000000000444e+03,1.518260299999999896e+00
3.055000000000000071e+01,8.195268499999999676e+02,-8.944356199999999717e+02,-8.742025800000000118e+02,-5.405341100000000953e-02,7.297951600000000326e+03,1.527702300000000069e+00
3.060000000000000142e+01,8.555266000000000304e+02,-8.942995399999999790e+02,-8.731777200000000221e+02,-3.955713000000000285e-02,7.255500299999999697e+03,1.536640699999999971e+00
3.064999999999999858e+01,7.923724099999999453e+02,-8.915817299999999932e+02,-8.720190900000000056e+02,-1.990416899999999933e-02,7.227032699999999750e+03,1.542693599999999998e+00
3.069999999999999929e+01,9.208073100000000295e+02,-8.936020800000000008e+02,-8.708685500000000275e+02,3.870286800000000138e-01,7.209404499999999643e+03,1.546465800000000002e+00
3.075000000000000000e+01,8.529680200000000241e+02,-8.920473899999999503e+02,-8.709887199999999439e+02,2.815723800000000283e-03,7.252070300000000316e+03,1.537367499999999998e+00
3.080000000000000071e+01,7.965315500000000384e+02,-8.913424599999999600e+02,-8.716771400000000085e+02,8.628826400000000341e-02,7.304447199999999611e+03,1.526343800000000028e+00
3.085000000000000142e+01,7.942361499999999523e+02,-8.928681800000000521e+02,-8.732595300000000407e+02,1.119756799999999976e-02,7.362261400000000322e+03,1.514357699999999918e+00
3.089999999999999858e+01,8.005211100000000215e+02,-8.947643900000000485e+02,-8.750005800000000136e+02,6.324966100000001257e-02,7.429744499999999789e+03,1.500603099999999968e+00
3.094999999999999929e+01,7.779601699999999482e+02,-8.950940299999999752e+02,-8.758872099999999818e+02,-2.971307800000000388e-01,7.495319300000000112e+03,1.487474699999999928e+00
3.100000000000000000e+01,7.800665999999999940e+02,-8.952232599999999820e+02,-8.759644399999999678e+02,7.145367199999999586e-02,7.521158900000000358e+03,1.482364299999999968e+00
3.105000000000000071e+01,8.025956800000000158e+02,-8.957788900000000467e+02,-8.759638599999999542e+02,6.988223100000000299e-02,7.540818400000000111e+03,1.478499699999999972e+00
3.110000000000000142e+01,8.105298500000000104e+02,-8.958559000000000196e+02,-8.758449799999999641e+02,1.060048199999999996e-01,7.580383100000000013e+03,1.470782899999999893e+00
3.114999999999999858e+01,7.858189999999999600e+02,-8.949636400000000549e+02,-8.755628000000000384e+02,3.246542699999999809e-02,7.638784300000000258e+03,1.459538199999999897e+00
3.119999999999999929e+01,8.083045600000000377e+02,-8.949677199999999857e+02,-8.750117400000000316e+02,-5.780301500000000620e-02,7.702438900000000103e+03,1.447476200000000102e+00
3.125000000000000000e+01,8.445322499999999764e+02,-8.948618800000000419e+02,-8.740114899999999807e+02,-1.007679400000000003e-01,7.758037099999999555e+03,1.437102899999999961e+00
3.130000000000000071e+01,8.403265099999999848e+02,-8.935195800000000190e+02,-8.727730199999999741e+02,-1.350008300000000161e-01,7.789033499999999549e+03,1.431383899999999931e+00
3.135000000000000142e+01,8.832970299999999497e+02,-8.934349999999999454e+02,-8.716275600000000168e+02,-1.469776600000000100e-01,7.786783499999999549e+03,1.431797500000000056e+00
3.139999999999999858e+01,8.730694399999999860e+02,-8.930206100000000333e+02,-8.714656700000000455e+02,-2.792932200000000295e-02,7.753437799999999697e+03,1.437955400000000106e+00
3.144999999999999929e+01,8.770090999999999894e+02,-8.945005499999999756e+02,-8.728483499999999822e+02,1.340823299999999996e-01,7.723439999999999600e+03,1.443540400000000057e+00
3.150000000000000000e+01,7.669040300000000343e+02,-8.934653799999999819e+02,-8.745315299999999752e+02,-1.088045599999999946e-01,7.712307099999999991e+03,1.445624199999999915e+00
3.155000000000000071e+01,8.146356799999999794e+02,-8.951082800000000361e+02,-8.749959900000000061e+02,2.278835800000000023e-01,7.691761599999999817e+03,1.449485600000000041e+00
3.160000000000000142e+01,7.859126499999999851e+02,-8.945679300000000467e+02,-8.751647799999999506e+02,-2.527437800000000012e-02,7.719542499999999563e+03,1.444269199999999920e+00
3.164999999999999858e+01,7.637970400000000382e+02,-8.940640499999999520e+02,-8.752069000000000187e+02,-5.412919399999999853e-02,7.751191600000000108e+03,1.438372100000000042e+00
3.169999999999999929e+01,7.992378300000000309e+02,-8.950104800000000296e+02,-8.752783500000000458e+02,5.578916400000000914e-02,7.777530600000000049e+03,1.433500900000000078e+00
3.175000000000000000e+01,7.662963899999999740e+02,-8.940549600000000510e+02,-8.751361100000000306e+02,-3.192557699999999943e-01,7.797548600000000079e+03,1.429820799999999892e+00
3.180000000000000071e+01,8.584817600000000084e+02,-8.957761799999999539e+02,-8.745813900000000558e+02,2.338962300000000383e-01,7.766406200000000354e+03,1.435554299999999950e+00
3.185000000000000142e+01,7.873578099999999722e+02,-8.938462100000000419e+02,-8.744073799999999892e+02,-2.037298899999999968e-01,7.762090400000000045e+03,1.436352400000000085e+00
3.189999999999999858e+01,8.467923200000000179e+02,-8.950635999999999513e+02,-8.741574100000000271e+02,-3.565351299999999779e-02,7.739543599999999969e+03,1.440536800000000062e+00
3.194999999999999929e+01,9.287675100000000157e+02,-8.965973300000000563e+02,-8.736672800000000052e+02,3.484638899999999845e-02,7.730246299999999792e+03,1.442269400000000035e+00
3.200000000000000000e+01,8.162049799999999777e+02,-8.941116700000000037e+02,-8.739606400000000122e+02,4.357552000000000092e-01,7.754217599999999948e+03,1.437810800000000055e+00
3.204999999999999716e+01,8.281668600000000424e+02,-8.953551700000000437e+02,-8.749088199999999915e+02,1.733471199999999934e-01,7.834987799999999879e+03,1.422988499999999989e+00
3.210000000000000142e+01,8.133053300000000263e+02,-8.964455900000000383e+02,-8.763661499999999478e+02,2.467670500000000364e-02,7.932613000000000284e+03,1.405475999999999948e+00
3.214999999999999858e+01,7.621588400000000547e+02,-8.964983399999999847e+02,-8.776816400000000158e+02,1.190926100000000171e-03,8.027717899999999645e+03,1.388825299999999929e+00
