lag_ps,Li_A2,P_A2,O_A2,N_A2
2.900000000000000355e+00,7.783213232193139097e-01,1.053186633238781256e-01,2.943306453375850174e-01,2.656728584989589415e-01
3.000000000000000000e+00,7.904444681958903152e-01,1.049605222565922480e-01,2.953223385599044182e-01,2.662191431034438005e-01
3.100000000000000089e+00,8.030406068739187608e-01,1.055146800518166617e-01,2.969056620507943278e-01,2.682234874162990335e-01
3.200000000000000178e+00,8.159975182314015418e-01,1.060866355494996943e-01,2.994757085176977252e-01,2.695231821934186978e-01
3.300000000000000266e+00,8.288326454384654651e-01,1.065548343192013053e-01,3.016794259939627465e-01,2.722805835140063024e-01
3.400000000000000355e+00,8.414574309166980015e-01,1.071351744040083959e-01,3.039044994152733103e-01,2.753505533726968713e-01
3.500000000000000000e+00,8.545500676524729888e-01,1.075124543314429776e-01,3.058922268487830332e-01,2.768151742996132203e-01
3.600000000000000089e+00,8.674107258409222698e-01,1.081770364231590398e-01,3.079913144338236597e-01,2.790105138852208011e-01
3.700000000000000178e+00,8.792581628997528931e-01,1.088305036909179152e-01,3.105887545476574974e-01,2.815687714240653339e-01
3.800000000000000266e+00,8.925527990448661741e-01,1.091380864647652216e-01,3.125720685661512732e-01,2.833969104291164109e-01
3.900000000000000355e+00,9.036569048315669095e-01,1.092250628733141271e-01,3.135823895870501477e-01,2.843097599199033709e-01
4.000000000000000000e+00,9.147105467934095735e-01,1.094918924014997436e-01,3.153741495547854323e-01,2.860850018024600483e-01
4.100000000000000533e+00,9.263899789662497497e-01,1.101618957229780621e-01,3.176931099073105891e-01,2.863714585863909590e-01
4.200000000000000178e+00,9.383850542251124249e-01,1.103041920255496133e-01,3.184818608779332316e-01,2.888817785553667861e-01
4.299999999999999822e+00,9.506722261636989524e-01,1.111824605795511539e-01,3.208074430959828582e-01,2.913040698655623983e-01
4.400000000000000355e+00,9.622549279872598671e-01,1.117083210221551104e-01,3.224659068090307557e-01,2.929974523179031953e-01
4.500000000000000000e+00,9.738909849117014517e-01,1.116661861954697382e-01,3.233747403403761655e-01,2.932130755497184271e-01
4.600000000000000533e+00,9.844615616625670418e-01,1.115404817472282900e-01,3.243882256261365060e-01,2.927819845799662923e-01
4.700000000000000178e+00,9.965756404350650799e-01,1.123332289160119263e-01,3.259209969225154713e-01,2.953188051480216680e-01
4.800000000000000711e+00,1.007358739674454329e+00,1.127261053140481417e-01,3.272810198826485717e-01,2.973107913400269142e-01
4.900000000000000355e+00,1.018557092889333049e+00,1.127572598552833566e-01,3.283773335500352886e-01,2.976018345787395658e-01
5.000000000000000000e+00,1.029692047410367906e+00,1.131127784584085999e-01,3.294125482794962867e-01,2.992568113509073147e-01
5.100000000000000533e+00,1.041445299576619687e+00,1.135664802503806442e-01,3.309063096250881020e-01,3.012074934924011682e-01
5.200000000000000178e+00,1.053558553278663101e+00,1.144285949933002838e-01,3.327211117048988753e-01,3.031637695347573214e-01
5.300000000000000711e+00,1.064099683541128494e+00,1.143906925225613574e-01,3.335180974537348964e-01,3.041391851156750037e-01
5.400000000000000355e+00,1.075646453075522313e+00,1.145140464984288481e-01,3.351601534860900733e-01,3.044394823007512962e-01
5.500000000000000000e+00,1.086472616346144671e+00,1.145110008605828567e-01,3.362864373573968280e-01,3.049440236383035296e-01
5.600000000000000533e+00,1.097437881778556390e+00,1.154528947824999541e-01,3.383631393454213376e-01,3.060940177521104810e-01
5.700000000000000178e+00,1.109969612289423813e+00,1.165924158279177669e-01,3.401819128500802036e-01,3.083635566497325842e-01
5.800000000000000711e+00,1.121051812282113813e+00,1.163547071260569166e-01,3.414686463250976023e-01,3.088792832709468250e-01
5.900000000000000355e+00,1.131039076034908719e+00,1.164961892173777963e-01,3.424849327826890444e-01,3.090000639756281808e-01
6.000000000000000000e+00,1.142874369438884319e+00,1.166764725751781862e-01,3.437805283036514115e-01,3.096912840429650315e-01
6.100000000000000533e+00,1.153706765519893374e+00,1.173045766261182066e-01,3.449743320547668524e-01,3.119930846371550826e-01
6.200000000000000178e+00,1.164697040475163536e+00,1.174964803454957990e-01,3.466501058820224412e-01,3.127445717361025390e-01
6.300000000000000711e+00,1.176165265161103424e+00,1.180991393514796844e-01,3.484274167571899117e-01,3.126839682476821314e-01
6.400000000000000355e+00,1.187707271751077931e+00,1.185713164927157948e-01,3.495355347223113029e-01,3.149472944681102060e-01
6.500000000000000000e+00,1.198639616406393493e+00,1.191176241083908294e-01,3.512716196264280000e-01,3.169612843010795600e-01
6.600000000000000533e+00,1.209672679891483416e+00,1.189024737612207200e-01,3.518794207496352966e-01,3.183678732550180857e-01
6.700000000000000178e+00,1.221276996139868620e+00,1.193254543078185320e-01,3.530755447513549972e-01,3.193035162225856816e-01
6.800000000000000711e+00,1.232459810152153779e+00,1.197435541621483385e-01,3.543588546485552104e-01,3.213543988591218148e-01
6.900000000000000355e+00,1.243155951926445457e+00,1.200708577341849242e-01,3.555088747662026871e-01,3.200697742038753346e-01
7.000000000000000000e+00,1.255674502409954485e+00,1.205088327493882838e-01,3.567948284751409904e-01,3.223675994389110233e-01
7.100000000000000533e+00,1.267401585723044732e+00,1.207076568820809881e-01,3.585193057353100454e-01,3.238129581575205918e-01
7.200000000000000178e+00,1.278133695249342949e+00,1.209491569279833451e-01,3.595085729271828012e-01,3.232596268957629859e-01
7.300000000000000711e+00,1.289359444880179506e+00,1.210535346606893686e-01,3.608719438686979197e-01,3.237796267978704789e-01
7.400000000000000355e+00,1.301432554932345109e+00,1.219048512586454469e-01,3.623519602063917655e-01,3.254751874919116772e-01
7.500000000000000000e+00,1.311213585971294560e+00,1.220500192103823461e-01,3.626436264787551433e-01,3.268455760426340340e-01
7.600000000000000533e+00,1.322449727240217143e+00,1.220879036081463781e-01,3.629204212333698720e-01,3.270046689372305138e-01
7.700000000000000178e+00,1.333783067059432614e+00,1.218293739549247412e-01,3.633253647965052346e-01,3.283516838631153623e-01
7.800000000000000711e+00,1.343396101233383932e+00,1.227261605196959121e-01,3.652383069555961148e-01,3.291993644993558288e-01
