rank_r2,rank_ea,700K,800K,900K,1000K,Ea_eV,R2,abs_error_eV,relative_error_pct
53,27,2,1,2,2,0.20893125194317722,0.9273201153475152,0.1910687480568228,47.767187014205696
54,26,2,1,1,2,0.20902140608276043,0.9271338635912011,0.1909785939172396,47.744648479309895
55,1,3,1,1,1,0.23384970573361732,0.9231348319120517,0.1661502942663827,41.53757356659567
56,2,3,1,2,1,0.2337595515940336,0.9231003803866754,0.1662404484059664,41.560112101491605
57,3,2,1,1,1,0.23365081901817,0.9227402304113589,0.16634918098183002,41.5872952454575
58,4,2,1,2,1,0.2335606648785869,0.9227053317216171,0.16643933512141312,41.60983378035328
59,43,3,1,2,3,0.19663253897062816,0.9218063999328975,0.20336746102937187,50.84186525734297
60,42,3,1,1,3,0.1967226931102121,0.9214757092753414,0.20327730688978793,50.81932672244698
61,45,2,1,2,3,0.19643365225518028,0.921416256034466,0.20356634774481974,50.89158693620494
62,44,2,1,1,3,0.19652380639476552,0.9210856922032927,0.2034761936052345,50.869048401308625
63,28,3,2,3,1,0.208681919821676,0.9183482241973221,0.19131808017832402,47.829520044581
64,22,3,3,3,1,0.2099287106278485,0.9183170823640721,0.1900712893721515,47.51782234303788
65,29,2,2,3,1,0.2084830331062289,0.9180668346967847,0.19151696689377112,47.879241723442775
66,23,2,3,3,1,0.20972982391240097,0.918008582940405,0.19027017608759905,47.567544021899764
67,46,3,1,3,2,0.1938816342712844,0.915076093535234,0.2061183657287156,51.529591432178904
68,47,2,1,3,2,0.19368274755583692,0.91458177526115,0.2063172524441631,51.57931311104077
69,75,1,1,3,3,0.17407433808699332,0.9126661421738901,0.2259256619130067,56.48141547825168
70,32,1,1,2,2,0.2018204421623321,0.912237474898527,0.1981795578376679,49.54488945941697
71,31,1,1,1,2,0.20191059630191488,0.9120629870216539,0.19808940369808514,49.522350924521284
72,5,1,1,1,1,0.2265400092373234,0.9076563473446889,0.17345999076267662,43.364997690669156
73,6,1,1,2,1,0.22644985509774085,0.9076044466162119,0.17355014490225917,43.387536225564794
