lag_ps,Li_A2,P_A2,S_A2
7.800000000000000711e+00,1.049217270628984622e+00,1.524146932948391708e-01,2.611205494924783155e-01
7.900000000000000355e+00,1.051998113820383995e+00,1.523397659710460927e-01,2.609461859487189339e-01
8.000000000000000000e+00,1.056876531659091567e+00,1.525057712464403803e-01,2.613436838056663603e-01
8.099999999999999645e+00,1.061337433048510803e+00,1.522104427183110786e-01,2.616502229683598246e-01
8.200000000000001066e+00,1.064807939897920663e+00,1.523437604608650353e-01,2.618101785201645271e-01
8.300000000000000711e+00,1.067633606006929137e+00,1.519487833513423203e-01,2.614998467981438091e-01
8.400000000000000355e+00,1.070542071954803109e+00,1.510327077985670063e-01,2.609257454744067783e-01
8.500000000000000000e+00,1.073412802103523633e+00,1.507927717816641699e-01,2.603404067129501676e-01
8.599999999999999645e+00,1.076439160506009518e+00,1.511809592328259011e-01,2.603174612679424738e-01
8.700000000000001066e+00,1.080367315232454217e+00,1.517620703342318078e-01,2.613395213844391107e-01
8.800000000000000711e+00,1.085596469113442319e+00,1.525513605407705364e-01,2.622408062843255006e-01
8.900000000000000355e+00,1.088385295203073033e+00,1.529670283219370375e-01,2.625296978822465599e-01
9.000000000000000000e+00,1.092301131727116958e+00,1.526611537899325577e-01,2.627597506065110222e-01
9.099999999999999645e+00,1.095728520922939708e+00,1.524269279766214125e-01,2.625416052789796839e-01
9.200000000000001066e+00,1.098783077264027463e+00,1.526183400675316659e-01,2.625777208896079573e-01
9.300000000000000711e+00,1.101740829444424641e+00,1.521894669344913409e-01,2.625498991833639661e-01
9.400000000000000355e+00,1.104623279016932580e+00,1.519990683046011648e-01,2.623689381962166500e-01
9.500000000000000000e+00,1.108152787893504021e+00,1.516210041383672102e-01,2.616867719781193480e-01
9.600000000000001421e+00,1.113095016619795263e+00,1.517261404977925665e-01,2.620422164214893934e-01
9.700000000000001066e+00,1.117312995680240117e+00,1.521310741325962723e-01,2.628953837054852083e-01
9.800000000000000711e+00,1.120877286693182429e+00,1.526021685660593208e-01,2.632393050594425965e-01
9.900000000000000355e+00,1.123810996764733616e+00,1.525644404637956364e-01,2.633241056173455386e-01
1.000000000000000000e+01,1.127612546940593985e+00,1.528856216812397029e-01,2.640325114514464611e-01
1.010000000000000142e+01,1.132133793713167691e+00,1.535840437327207764e-01,2.645723280554735934e-01
1.020000000000000107e+01,1.135648498957421149e+00,1.534822509698722803e-01,2.649407862628909704e-01
1.030000000000000071e+01,1.138149013238695995e+00,1.529393490364985286e-01,2.641819973276278710e-01
1.040000000000000036e+01,1.140567338551698340e+00,1.525079088007909867e-01,2.634529410446891928e-01
1.050000000000000000e+01,1.144357466504694720e+00,1.520518044499108712e-01,2.629807477285677764e-01
1.060000000000000142e+01,1.147268384049850987e+00,1.518872580804756511e-01,2.628114828482158161e-01
1.070000000000000107e+01,1.149729386498065553e+00,1.519454386971780813e-01,2.629183091888058210e-01
1.080000000000000071e+01,1.153442596802347397e+00,1.526716178492925069e-01,2.640064787695864390e-01
1.090000000000000036e+01,1.158491623548878247e+00,1.536722143689141229e-01,2.654725823804429119e-01
1.100000000000000000e+01,1.163368311166728120e+00,1.542387408379526648e-01,2.660135171431261547e-01
1.110000000000000142e+01,1.166216503917262504e+00,1.538725695178970732e-01,2.657560841062711621e-01
1.120000000000000107e+01,1.169076284023151002e+00,1.537143975415583286e-01,2.657431738599899673e-01
1.130000000000000071e+01,1.171571812436684290e+00,1.537205655087252598e-01,2.656584266682249784e-01
1.140000000000000036e+01,1.174277881993050832e+00,1.535058865863633548e-01,2.656666277095670048e-01
1.150000000000000000e+01,1.176889889847839266e+00,1.531413140495929415e-01,2.654726941983789335e-01
1.160000000000000142e+01,1.181176947161261870e+00,1.531407796102396135e-01,2.655649924130160100e-01
1.170000000000000107e+01,1.185038042937454739e+00,1.531850850498719385e-01,2.654240293706578990e-01
1.180000000000000071e+01,1.187985100078142064e+00,1.535417016927353717e-01,2.660727460340026052e-01
1.190000000000000036e+01,1.191275027962830579e+00,1.538609594128545199e-01,2.664285737297801826e-01
1.200000000000000000e+01,1.194320549771364703e+00,1.538659994773109996e-01,2.667408959673291391e-01
1.210000000000000142e+01,1.196622863217065014e+00,1.541779185470093516e-01,2.668912334212124038e-01
1.220000000000000107e+01,1.200654127258952597e+00,1.545800007557169287e-01,2.674497907644464711e-01
1.230000000000000071e+01,1.203480395550344140e+00,1.547519703433033744e-01,2.679166537585550567e-01
1.240000000000000036e+01,1.205774166172198125e+00,1.545820152203494779e-01,2.678408530845987623e-01
1.250000000000000000e+01,1.207534473750177861e+00,1.543801327011452562e-01,2.673582170587996409e-01
1.260000000000000142e+01,1.210493589102587420e+00,1.543088360079824251e-01,2.672890329310417812e-01
1.270000000000000107e+01,1.214586465642292001e+00,1.546384698036681882e-01,2.680531628931949184e-01
1.280000000000000071e+01,1.216809206391708642e+00,1.549613243986126820e-01,2.682799922921919045e-01
1.290000000000000036e+01,1.220301693376238727e+00,1.549491974010712703e-01,2.688947852947765060e-01
1.300000000000000000e+01,1.223453149660124639e+00,1.546207833614527405e-01,2.683792445683265138e-01
1.310000000000000142e+01,1.225954091570534921e+00,1.540177284570242444e-01,2.676124688833942944e-01
1.320000000000000107e+01,1.228026145428651850e+00,1.543978074538743528e-01,2.678279540328284969e-01
1.330000000000000071e+01,1.231098355265381805e+00,1.549794005088032389e-01,2.682737939123548410e-01
1.340000000000000036e+01,1.234025044593205500e+00,1.548197846742582484e-01,2.684496823643919283e-01
1.350000000000000000e+01,1.235496306601467920e+00,1.542193069832016872e-01,2.678477286747831809e-01
1.360000000000000142e+01,1.238082672834400544e+00,1.539695000126926894e-01,2.670997263072151240e-01
1.370000000000000107e+01,1.240951036795663764e+00,1.539269249412043850e-01,2.672498313875247833e-01
1.380000000000000071e+01,1.244038142613655307e+00,1.542202847311244518e-01,2.678864755022249966e-01
1.390000000000000036e+01,1.246361286058817797e+00,1.546470035756797312e-01,2.681959678043879247e-01
1.400000000000000000e+01,1.249109522433558217e+00,1.549183291963608655e-01,2.684660340261777467e-01
1.410000000000000142e+01,1.253825322305224255e+00,1.550095124659188195e-01,2.690444112714132086e-01
1.420000000000000107e+01,1.258041360670955733e+00,1.552722482279824401e-01,2.697518770641894603e-01
1.430000000000000071e+01,1.261523365372436034e+00,1.557917623500792992e-01,2.702478764660621313e-01
1.440000000000000036e+01,1.264365717176241466e+00,1.561148051017841876e-01,2.702942263631686881e-01
1.450000000000000000e+01,1.267532191436476108e+00,1.566554695066746106e-01,2.708100864422617327e-01
1.460000000000000142e+01,1.269419226991649108e+00,1.562283080781103894e-01,2.703970815714633047e-01
1.470000000000000107e+01,1.271019563765626970e+00,1.553839362148838610e-01,2.698158184368753543e-01
1.480000000000000071e+01,1.274108182860898442e+00,1.553059075163540914e-01,2.698181235947372802e-01
1.490000000000000036e+01,1.277829061191462001e+00,1.551427194466476756e-01,2.696160241395357260e-01
1.500000000000000000e+01,1.282056271141857495e+00,1.550416836813959809e-01,2.695278521676602312e-01
1.510000000000000142e+01,1.286793815805087116e+00,1.548682059812014067e-01,2.698763623364619502e-01
1.520000000000000107e+01,1.289475684035878089e+00,1.547353313613805403e-01,2.701620280321067047e-01
1.530000000000000071e+01,1.293353858249667310e+00,1.553834483421152046e-01,2.706315662600475291e-01
1.540000000000000036e+01,1.297961882612242990e+00,1.566764009807103397e-01,2.721408698437078333e-01
1.550000000000000000e+01,1.300738137767229352e+00,1.572170639125446967e-01,2.729548753262054928e-01
1.560000000000000142e+01,1.302975286769609609e+00,1.574961106365466434e-01,2.731629790277717573e-01
1.570000000000000107e+01,1.305760858967663696e+00,1.571973729726096891e-01,2.729582705621325101e-01
1.580000000000000071e+01,1.308151932216656599e+00,1.557163143307191411e-01,2.715011800491802241e-01
1.590000000000000036e+01,1.311188369482351401e+00,1.551333422767587344e-01,2.708159481078046271e-01
1.600000000000000000e+01,1.314610749114608845e+00,1.552736945938458790e-01,2.708170433011539147e-01
1.610000000000000142e+01,1.317974922807351179e+00,1.556875944055503003e-01,2.714220351943470444e-01
1.619999999999999929e+01,1.322647696611055634e+00,1.557372776109141044e-01,2.722914984948501815e-01
1.630000000000000071e+01,1.325586707025721234e+00,1.555332222304839362e-01,2.721430929136822718e-01
1.640000000000000213e+01,1.329530339253790494e+00,1.559204555771935286e-01,2.724780592279201219e-01
1.650000000000000000e+01,1.333267325906877465e+00,1.560560262063255821e-01,2.722614120104401847e-01
1.660000000000000142e+01,1.336894099695533633e+00,1.563943604541041532e-01,2.727220237942875047e-01
