r_A,lag_1ps_A-1,lag_5ps_A-1,lag_10ps_A-1,lag_50ps_A-1
8.725000000000001421e+00,0.000000000000000000e+00,3.203485392106680081e-04,1.534280203401751017e-03,3.143737508327848484e-02
8.775000000000000355e+00,0.000000000000000000e+00,1.067828464035522215e-04,1.534280203401696590e-03,3.102098600932667177e-02
8.824999999999999289e+00,0.000000000000000000e+00,5.339142320177800135e-05,1.205505874101375861e-03,3.032700421940992541e-02
8.875000000000000000e+00,0.000000000000000000e+00,5.339142320177611077e-05,1.479484481851636160e-03,3.018820786142528689e-02
8.925000000000000711e+00,0.000000000000000000e+00,3.737399624124327279e-04,1.808258811151999606e-03,2.741228070175399933e-02
8.975000000000001421e+00,0.000000000000000000e+00,2.669571160088900067e-04,7.671401017008755083e-04,2.873084610259888164e-02
9.025000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.123443801507877565e-04,2.678769709082795547e-02
9.074999999999999289e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.383657724005002982e-04,2.664890073284533964e-02
9.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.931614939505453866e-04,2.782866977570469177e-02
9.175000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.931614939505453866e-04,2.734288252276221437e-02
9.225000000000001421e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.383657724005002982e-04,2.664890073284533964e-02
9.275000000000000355e+00,0.000000000000000000e+00,5.339142320177611077e-05,4.931614939505453866e-04,2.623251165889369657e-02
9.324999999999999289e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.027529370506879303e-04,2.560792804796856864e-02
9.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.287743293003635549e-04,2.498334443704161925e-02
9.425000000000000711e+00,0.000000000000000000e+00,1.601742696053283120e-04,2.191828862002423699e-04,2.539973351099231169e-02
9.475000000000001421e+00,0.000000000000000000e+00,1.067828464035560027e-04,4.931614939505628422e-04,2.477514990006714907e-02
9.525000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.027529370506665716e-04,2.366477903619775350e-02
9.575000000000001066e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.191828862002423699e-04,2.345658449922240554e-02
9.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.835700508504377541e-04,2.526093715300964382e-02
9.675000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.643871646501817775e-04,2.241561181434567271e-02
9.725000000000001421e+00,0.000000000000000000e+00,5.339142320177800135e-05,2.191828862002501491e-04,2.477514990006714907e-02
9.775000000000000355e+00,0.000000000000000000e+00,5.339142320177611077e-05,1.095914431001211850e-04,2.463635354208270484e-02
9.825000000000001066e+00,0.000000000000000000e+00,5.339142320177611077e-05,5.479572155006059249e-05,2.359538085720597200e-02
9.875000000000000000e+00,0.000000000000000000e+00,1.067828464035560027e-04,1.095914431001250745e-04,2.199922274039576089e-02
9.925000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.643871646501817775e-04,2.220741727737032475e-02
9.975000000000001421e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.739786077503127202e-04,2.095825005551898990e-02
1.002500000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.095914431001211850e-04,2.109704641350181042e-02
1.007500000000000107e+01,0.000000000000000000e+00,5.339142320177611077e-05,5.479572155006059249e-05,2.109704641350181042e-02
1.012500000000000000e+01,0.000000000000000000e+00,5.339142320177800135e-05,5.479572155006253727e-05,2.144403730846148465e-02
1.017500000000000071e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.950088829669081869e-02
1.022500000000000142e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.643871646501876050e-04,1.998667554963400386e-02
1.027500000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.739786077503029624e-04,1.936209193870725223e-02
1.032500000000000107e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.479572155006059249e-05,1.901510104374834129e-02
1.037500000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.479572155006253727e-05,1.797412835887224336e-02
1.042500000000000071e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.479572155006059249e-05,1.610037752609348727e-02
1.047500000000000142e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.479572155006253727e-05,1.776593382189689194e-02
1.052500000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.191828862002423699e-04,1.492060848323318797e-02
1.057500000000000107e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.095914431001211850e-04,1.561459027315101160e-02
1.062500000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.479572155006253727e-05,1.394903397734873103e-02
1.067500000000000071e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.263046857650437262e-02
1.072500000000000142e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.152009771263626595e-02
1.077500000000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.479572155006059249e-05,1.200588496557833222e-02
1.082500000000000107e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.145069953364407506e-02
1.087500000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.479572155006253727e-05,1.214468132356232889e-02
