r_A,Li_S_g_r,P_S_g_r
2.675000000000000266e+00,2.209814920574417307e+00,0.000000000000000000e+00
2.725000000000000089e+00,2.063437046600849367e+00,1.238062227960509687e-02
2.775000000000000355e+00,1.828581022936583311e+00,0.000000000000000000e+00
2.825000000000000178e+00,1.453396330202667786e+00,5.759826936073980490e-03
2.875000000000000000e+00,1.342110713390082699e+00,0.000000000000000000e+00
2.925000000000000266e+00,1.189165181141594640e+00,5.372734252145758803e-03
2.975000000000000089e+00,1.069893954312851836e+00,5.193659972392484885e-03
3.025000000000000355e+00,9.577933214400085049e-01,5.023391546014032046e-03
3.075000000000000178e+00,8.685631543078731198e-01,1.458408281487100569e-02
3.125000000000000000e+00,7.578342753862613579e-01,2.824227113240724771e-02
3.175000000000000266e+00,6.915942649109998452e-01,1.823984874490549093e-02
3.225000000000000089e+00,6.467445895579063686e-01,5.303600278834767756e-02
3.275000000000000355e+00,6.200048779940042776e-01,4.714322805023536678e-02
3.325000000000000178e+00,5.779376571027740050e-01,5.405172332615870712e-02
3.375000000000000000e+00,6.403064496741377454e-01,1.210663455266226818e-01
3.425000000000000266e+00,5.433765439554030241e-01,1.645803955249537653e-01
3.475000000000000089e+00,6.433203211500877483e-01,1.979447142000269888e-01
3.525000000000000355e+00,6.276661088344418493e-01,2.256638465947011229e-01
3.575000000000000178e+00,5.922488124141944699e-01,3.236987436271914209e-01
3.625000000000000000e+00,6.436541766939909426e-01,4.197744630612982308e-01
3.675000000000000266e+00,6.126448609872584550e-01,4.969230539118874579e-01
3.725000000000000089e+00,6.051428480090426110e-01,5.366777812634940803e-01
3.775000000000000355e+00,6.268515657258391105e-01,4.741707383963894573e-01
3.825000000000000178e+00,6.671243465102099091e-01,6.849282929633867534e-01
3.875000000000000000e+00,6.489991045095371280e-01,6.887962194087069445e-01
3.925000000000000266e+00,6.673808583024070096e-01,6.832945598416596544e-01
3.975000000000000089e+00,7.030633117261017029e-01,7.040330542250339274e-01
4.025000000000000355e+00,6.544932341651177321e-01,8.256829384770920655e-01
4.075000000000000178e+00,7.695587792223987922e-01,8.387637054114633894e-01
4.125000000000000000e+00,7.564190958763166162e-01,8.806879473417114079e-01
4.175000000000000711e+00,7.876373103191245395e-01,9.045522235696195068e-01
4.224999999999999645e+00,7.982903410532633526e-01,9.836997105882149262e-01
4.275000000000000355e+00,8.359001258352739550e-01,1.079040583701101008e+00
4.325000000000000178e+00,8.027594677157139369e-01,9.608539343168700508e-01
4.375000000000000000e+00,8.333478301481488382e-01,1.011064658479454037e+00
4.425000000000000711e+00,9.218293697588013647e-01,1.011821201271757342e+00
4.474999999999999645e+00,9.074663144022530048e-01,1.108700412789936252e+00
4.525000000000000355e+00,9.975277468223847643e-01,1.189849300410796618e+00
4.575000000000000178e+00,1.023427477649373918e+00,1.177161218927176733e+00
4.625000000000000000e+00,1.036518954564276118e+00,1.214166985477849181e+00
4.675000000000000711e+00,1.054427896193973702e+00,1.310322964086793496e+00
4.724999999999999645e+00,1.125570211507844087e+00,1.290974126735521477e+00
4.775000000000000355e+00,1.118922324643199406e+00,1.330610332008129504e+00
4.825000000000001066e+00,1.119546697045658679e+00,1.287379976144214178e+00
4.875000000000000000e+00,1.083804843259559281e+00,1.326871128749656625e+00
4.925000000000000711e+00,1.151613878210751896e+00,1.480104946049254577e+00
4.974999999999999645e+00,1.166965320341416312e+00,1.504363781660287724e+00
