lag_ps,Li_MSD_A2
3.830000000000000426e+01,9.571983326829408556e-01
3.840000000000000568e+01,9.579203301599887865e-01
3.850000000000000000e+01,9.579538419295686724e-01
3.860000000000000142e+01,9.588608466097249261e-01
3.870000000000000284e+01,9.595989816328004407e-01
3.880000000000000426e+01,9.609134622978181550e-01
3.890000000000000568e+01,9.618909620991786813e-01
3.900000000000000000e+01,9.620884436219808711e-01
3.910000000000000142e+01,9.629244521596674877e-01
3.920000000000000284e+01,9.628336684623802766e-01
3.930000000000000426e+01,9.643498895565203455e-01
3.940000000000000568e+01,9.652814865757055607e-01
3.950000000000000000e+01,9.654832418819476736e-01
3.960000000000000142e+01,9.675454625845257839e-01
3.970000000000000284e+01,9.664693383378392122e-01
3.980000000000000426e+01,9.681887676474549842e-01
3.990000000000000568e+01,9.682635608180775177e-01
4.000000000000000000e+01,9.686850280006976677e-01
4.010000000000000142e+01,9.679447163203123150e-01
4.020000000000000284e+01,9.674099130892666043e-01
4.030000000000000426e+01,9.689960058787314701e-01
4.040000000000000568e+01,9.685991722422726546e-01
4.050000000000000000e+01,9.683150421973489852e-01
4.060000000000000142e+01,9.697178312992477123e-01
4.070000000000000284e+01,9.691334798913912030e-01
4.080000000000000426e+01,9.706927731507580814e-01
4.090000000000000568e+01,9.705331589569783368e-01
4.100000000000000000e+01,9.708197460562520975e-01
4.110000000000000142e+01,9.710432990040469559e-01
4.120000000000000284e+01,9.709259234550812190e-01
4.130000000000000426e+01,9.709398370338541140e-01
4.140000000000000568e+01,9.703270596490182198e-01
4.150000000000000000e+01,9.712149362851131285e-01
4.160000000000000142e+01,9.720409551620521338e-01
4.170000000000000284e+01,9.723356076353180111e-01
4.180000000000000426e+01,9.734847574389794422e-01
4.190000000000000568e+01,9.746822394851346605e-01
4.200000000000000000e+01,9.740140493493649743e-01
4.210000000000000142e+01,9.739702241707813846e-01
4.220000000000000284e+01,9.736781839594780275e-01
4.230000000000000426e+01,9.750077953316375057e-01
4.240000000000000568e+01,9.756979413569204507e-01
4.250000000000000000e+01,9.768072619509355903e-01
4.260000000000000142e+01,9.769496158998778323e-01
4.270000000000000284e+01,9.765994258746401036e-01
4.280000000000000426e+01,9.748634489810238390e-01
4.290000000000000568e+01,9.738961869302138474e-01
4.300000000000000000e+01,9.744157459841987778e-01
4.310000000000000142e+01,9.722283131460359717e-01
4.320000000000000284e+01,9.719644999717839129e-01
4.330000000000000426e+01,9.754118059865263257e-01
4.340000000000000568e+01,9.768469842256990443e-01
4.350000000000000000e+01,9.789996463668252380e-01
4.360000000000000142e+01,9.795423245057639505e-01
4.370000000000000284e+01,9.806974061062325720e-01
4.380000000000000426e+01,9.800298539354423966e-01
4.390000000000000568e+01,9.791432565280296929e-01
4.400000000000000000e+01,9.783162231682844823e-01
4.410000000000000142e+01,9.779272740882605230e-01
4.420000000000000284e+01,9.779678348933722454e-01
4.430000000000000426e+01,9.777637890726553760e-01
4.440000000000000568e+01,9.761840192246905579e-01
4.450000000000000000e+01,9.775956017475477822e-01
4.460000000000000142e+01,9.787419206375463920e-01
4.470000000000000284e+01,9.778458288544933374e-01
