time_ps,T_K,PE_eV_atom,P_GPa,rho_g_cm3
3.225000000000000000e+01,3.000182920899999885e+02,-4.500806221289062492e+00,2.244045206483333554e-01,2.228087925087279153e+00
3.230000000000000426e+01,3.045995553199999790e+02,-4.502609281835937338e+00,1.049706094166666798e-01,2.222523866413448790e+00
3.235000000000000142e+01,2.998197119800000223e+02,-4.502645670312499959e+00,-9.278471562933332528e-02,2.207714967254282179e+00
3.239999999999999858e+01,3.038510262500000181e+02,-4.503312631445312242e+00,-2.493486080600000043e-01,2.195898956758210119e+00
3.245000000000000284e+01,2.836977405100000169e+02,-4.500959390039062313e+00,-2.036619789333333486e-01,2.197782133287583761e+00
3.250000000000000000e+01,3.001374850899999842e+02,-4.502825083593750222e+00,3.093016995666666991e-02,2.213407731699874148e+00
3.255000000000000426e+01,3.129642880999999761e+02,-4.503758090039062800e+00,2.398481070333333409e-01,2.227229824630345689e+00
3.260000000000000142e+01,3.048955590699999902e+02,-4.502517456249999661e+00,2.817643401833333505e-01,2.226887060204553848e+00
3.264999999999999858e+01,3.116894521400000144e+02,-4.503637833203124607e+00,-3.577017697833333454e-01,2.212279880111552188e+00
3.270000000000000284e+01,2.944363800400000173e+02,-4.501813399999999632e+00,1.438925650450000038e-01,2.205710341493125615e+00
3.275000000000000000e+01,2.959226653000000056e+02,-4.502562066992187084e+00,-3.440509862300000221e-01,2.202436689274011705e+00
3.280000000000000426e+01,2.865562126500000204e+02,-4.501965622265625022e+00,1.256259364370000131e-01,2.212297603696640191e+00
3.285000000000000142e+01,2.938319440299999883e+02,-4.503360346484375221e+00,5.329047279219999850e-02,2.220981545537677793e+00
3.289999999999999858e+01,2.914375329800000145e+02,-4.503257650390625422e+00,1.088245777749999865e-01,2.223039295278236072e+00
3.295000000000000284e+01,3.013082608000000278e+02,-4.504578567382812260e+00,1.005502767233333455e-01,2.216008100208497478e+00
3.300000000000000000e+01,2.954858330999999794e+02,-4.503388724609375338e+00,-2.448461492266666983e-01,2.206643264944866623e+00
3.305000000000000426e+01,2.956825838199999907e+02,-4.502327717382812899e+00,9.856908234999998963e-02,2.207147734558437158e+00
3.310000000000000142e+01,2.982302203200000008e+02,-4.501065531250000085e+00,-1.142369012869999950e-01,2.210332900106341647e+00
3.314999999999999858e+01,3.114392568600000004e+02,-4.501456715234374961e+00,-1.002211543766666629e-01,2.214943001039565651e+00
3.320000000000000284e+01,3.128856432599999948e+02,-4.501321971484374629e+00,2.552506266693333470e-01,2.219675081028772201e+00
3.325000000000000000e+01,3.021681250400000067e+02,-4.500421030859374838e+00,1.704732466333331144e-03,2.216204461066619391e+00
3.330000000000000426e+01,3.095149414900000124e+02,-4.502223208984374558e+00,1.182895240832999989e-01,2.211894608875044188e+00
3.335000000000000142e+01,3.017768677400000001e+02,-4.502777366992187780e+00,-2.039393649743333758e-01,2.207936064115222141e+00
3.339999999999999858e+01,2.983300897600000212e+02,-4.503780999804687823e+00,1.058864053636666691e-01,2.208972176655197739e+00
3.345000000000000284e+01,2.869396435400000200e+02,-4.503273390624999983e+00,-5.537237264000000048e-02,2.206557638757223216e+00
3.350000000000000000e+01,2.906302657300000192e+02,-4.503783823242187623e+00,-9.881370839133334083e-02,2.204548010967746663e+00
3.355000000000000426e+01,2.934796533200000113e+02,-4.503498900195312515e+00,2.748204428600000207e-02,2.208181726783490451e+00
3.360000000000000142e+01,2.888900661999999784e+02,-4.501739783593749600e+00,-1.649664368436666584e-01,2.214399402439584108e+00
3.364999999999999858e+01,3.074829165500000272e+02,-4.502284414648437760e+00,3.960301422033333796e-01,2.222707426491961957e+00
3.370000000000000284e+01,3.135457114299999830e+02,-4.502120483398437401e+00,-2.544198294933333049e-01,2.216795277693853983e+00
3.375000000000000000e+01,2.973087848499999950e+02,-4.500220200390624647e+00,1.977667969799999925e-01,2.216500863887007622e+00
3.380000000000000426e+01,3.113326979500000107e+02,-4.502122236328125027e+00,-1.180007597764000105e-01,2.212045495757548608e+00
3.385000000000000142e+01,2.973975719800000093e+02,-4.500945947070312592e+00,5.245053802666665987e-02,2.213366327409362899e+00
3.389999999999999858e+01,2.839137805600000206e+02,-4.499706339648437137e+00,6.741578048000000656e-02,2.212824234555790692e+00
3.395000000000000284e+01,3.099308415300000092e+02,-4.503382522460937842e+00,-6.792091456189999765e-02,2.212794755080506270e+00
3.400000000000000000e+01,2.815078480799999738e+02,-4.500992213476562753e+00,1.947452996659999880e-02,2.215125363736672348e+00
3.405000000000000426e+01,2.877097006199999782e+02,-4.503967476171874651e+00,9.374873556913332351e-02,2.215318071694824198e+00
3.410000000000000142e+01,2.838017314800000008e+02,-4.504800702148437530e+00,-1.708211857500000208e-01,2.213083382930380871e+00
3.414999999999999858e+01,2.908258849200000213e+02,-4.505778547656250410e+00,1.062779067547333506e-01,2.217116081143084116e+00
3.420000000000000284e+01,2.886405625699999860e+02,-4.504885004101562451e+00,-3.094506702833334233e-02,2.219731772961203387e+00
3.425000000000000000e+01,2.797265987000000109e+02,-4.502587882421875243e+00,1.180007985303333368e-01,2.221447728239347441e+00
3.430000000000000426e+01,2.895633140499999740e+02,-4.502286933789062751e+00,1.038390749529433249e-01,2.216405967064912552e+00
3.435000000000000142e+01,2.915580161099999827e+02,-4.501914743749999559e+00,-1.450273341516666592e-01,2.206559928709380891e+00
3.439999999999999858e+01,2.928539198299999953e+02,-4.501707542382812122e+00,1.165744142899999974e-01,2.202597247179115758e+00
3.445000000000000284e+01,2.907656011000000262e+02,-4.501035536914062440e+00,-1.442503517933333146e-01,2.200807597950215300e+00
3.450000000000000000e+01,3.015325723099999777e+02,-4.501746638281249879e+00,-1.644228149370000058e-01,2.205823964365097645e+00
3.455000000000000426e+01,3.143406055400000128e+02,-4.502858404101562684e+00,3.058801613666666808e-01,2.218086076797048278e+00
3.460000000000000142e+01,3.107908086300000150e+02,-4.501957017187500298e+00,-1.070943533720000035e-01,2.219570678902406335e+00
3.464999999999999858e+01,3.016824455400000033e+02,-4.500271129882812637e+00,6.257587573666667513e-02,2.218069184912557557e+00
3.470000000000000284e+01,3.245550543800000014e+02,-4.502939163867187844e+00,-6.471565264333334344e-02,2.216165200200181040e+00
3.475000000000000000e+01,2.970592272200000252e+02,-4.500117390429687170e+00,7.198570799133333087e-02,2.213938075122756199e+00
3.480000000000000426e+01,2.949075568100000169e+02,-4.500954765820312176e+00,-2.677824092066666273e-02,2.211309591666929197e+00
3.485000000000000142e+01,2.834453292900000179e+02,-4.500481102929687616e+00,-2.521683614066667078e-01,2.212498008150191708e+00
3.489999999999999858e+01,2.997207831299999725e+02,-4.503234467382812412e+00,1.713854667480000094e-01,2.219315493393802186e+00
3.495000000000000284e+01,3.072606189100000051e+02,-4.504903460546874960e+00,-3.729887069566666796e-02,2.223104677926967199e+00
3.500000000000000000e+01,2.855940354400000274e+02,-4.503152889257812319e+00,2.895367247333333061e-02,2.226329005532610594e+00
3.505000000000000426e+01,2.977126556800000117e+02,-4.505967089453124963e+00,-1.801444901600000523e-02,2.225780361216173731e+00
3.510000000000000142e+01,2.802452763900000150e+02,-4.505393973828124565e+00,6.643733839466667290e-02,2.222608129040376745e+00
3.514999999999999858e+01,2.743584619499999917e+02,-4.505552401367187265e+00,-8.256881181333336137e-03,2.218351087217807827e+00
