r_A,Li_S,P_S
2.675000000000000266e+00,2.272566289643432214e+00,0.000000000000000000e+00
2.725000000000000089e+00,1.980172728993386588e+00,0.000000000000000000e+00
2.775000000000000355e+00,1.723368493695544457e+00,1.213639784292637296e-02
2.825000000000000178e+00,1.510667888501239009e+00,0.000000000000000000e+00
2.875000000000000000e+00,1.541497901629575562e+00,0.000000000000000000e+00
2.925000000000000266e+00,1.197953211307199783e+00,0.000000000000000000e+00
2.975000000000000089e+00,1.133386363311920553e+00,0.000000000000000000e+00
3.025000000000000355e+00,1.048567384867092889e+00,2.042663736754076961e-02
3.075000000000000178e+00,8.302464093755703711e-01,9.883885825899647523e-03
3.125000000000000000e+00,8.357920910833815942e-01,1.914027689503927654e-02
3.175000000000000266e+00,7.447780729222801543e-01,3.708438537372350796e-02
3.225000000000000089e+00,7.727835038953286828e-01,3.594341878582923977e-02
3.275000000000000355e+00,6.535182918954371978e-01,1.045629267032699705e-01
3.325000000000000178e+00,6.678257137900207585e-01,1.014418805756993613e-01
3.375000000000000000e+00,6.837396814353817742e-01,1.558926473672670454e-01
3.425000000000000266e+00,6.081530537951891358e-01,1.752755526221942972e-01
3.475000000000000089e+00,6.268959112404373091e-01,2.863598606900763510e-01
3.525000000000000355e+00,5.992094458115788669e-01,3.159012141098700988e-01
3.575000000000000178e+00,6.142535050651748429e-01,3.436894611674193301e-01
3.625000000000000000e+00,5.452694964231723507e-01,3.271616978539034215e-01
3.675000000000000266e+00,6.251067361513963361e-01,4.428800492290335677e-01
3.725000000000000089e+00,5.904769483051095502e-01,6.331349787910300897e-01
3.775000000000000355e+00,6.055441072299010408e-01,5.574503514210280564e-01
3.825000000000000178e+00,5.898165847091566549e-01,6.068509987079770962e-01
3.875000000000000000e+00,6.659810430053616503e-01,6.410845554163762117e-01
3.925000000000000266e+00,6.491216754429465219e-01,7.583197143025075526e-01
3.975000000000000089e+00,6.762704357365784125e-01,6.388093911914036749e-01
4.025000000000000355e+00,7.172618824477201560e-01,8.191784501949834763e-01
4.075000000000000178e+00,7.260333401001726195e-01,7.541741672358382997e-01
4.125000000000000000e+00,7.140319712347722447e-01,7.909277219831324368e-01
4.175000000000000711e+00,6.934574995935622876e-01,1.008015540646312047e+00
4.224999999999999645e+00,8.289749143609796977e-01,9.057641695859969255e-01
4.275000000000000355e+00,8.096973070323538746e-01,9.614090129815739960e-01
4.325000000000000178e+00,9.010035013493477019e-01,9.043343830548906670e-01
4.375000000000000000e+00,8.658787164173331607e-01,1.025382690494210491e+00
