r_A,Li_S,P_S
2.675000000000000266e+00,2.322216665856176032e+00,0.000000000000000000e+00
2.725000000000000089e+00,2.130081166717479046e+00,0.000000000000000000e+00
2.775000000000000355e+00,1.619363942213383423e+00,0.000000000000000000e+00
2.825000000000000178e+00,1.395531669783316886e+00,0.000000000000000000e+00
2.875000000000000000e+00,1.200489196134278291e+00,0.000000000000000000e+00
2.925000000000000266e+00,1.062860219393535921e+00,0.000000000000000000e+00
2.975000000000000089e+00,8.601002099386887423e-01,0.000000000000000000e+00
3.025000000000000355e+00,8.060069650230392568e-01,9.710927289434206910e-03
3.075000000000000178e+00,7.518159341872052703e-01,0.000000000000000000e+00
3.125000000000000000e+00,6.612219751181954708e-01,0.000000000000000000e+00
3.175000000000000266e+00,6.758207073382895835e-01,8.815052704412473100e-03
3.225000000000000089e+00,5.923730484624053494e-01,1.708768409026168583e-02
3.275000000000000355e+00,5.992786182546046003e-01,4.970974713632666381e-02
3.325000000000000178e+00,5.412027310415857828e-01,4.822598593439873793e-02
3.375000000000000000e+00,5.200853150207389586e-01,1.560255945062216931e-01
3.425000000000000266e+00,4.797608767825231046e-01,1.363530912960854991e-01
3.475000000000000089e+00,4.881306286773476333e-01,2.869913746494958118e-01
3.525000000000000355e+00,4.934520010062449780e-01,3.003620875690187764e-01
3.575000000000000178e+00,5.400038331640190092e-01,3.754533088951549358e-01
3.625000000000000000e+00,4.913983338455282235e-01,6.221373400980082513e-01
3.675000000000000266e+00,4.956637362405712510e-01,5.790054264049151467e-01
3.725000000000000089e+00,4.952551533470352929e-01,7.108619226920807055e-01
3.775000000000000355e+00,6.048571533145343793e-01,6.609779201169139196e-01
3.825000000000000178e+00,5.931965962603042986e-01,6.681053814535852231e-01
3.875000000000000000e+00,5.799599240466800643e-01,9.350374285650557837e-01
3.925000000000000266e+00,6.556457901004274502e-01,8.306128484556737357e-01
3.975000000000000089e+00,7.011189462478049084e-01,8.998318026709795081e-01
4.025000000000000355e+00,7.368308232396658664e-01,9.379508990619070952e-01
4.075000000000000178e+00,7.688058663393725345e-01,9.739396821839847451e-01
4.125000000000000000e+00,7.502813310419158555e-01,9.452500295957317888e-01
4.175000000000000711e+00,7.952941645639126644e-01,1.019607903287067519e+00
4.224999999999999645e+00,8.396380567049559485e-01,9.557935190949695681e-01
4.275000000000000355e+00,9.368083276751418831e-01,1.050262623414346175e+00
4.325000000000000178e+00,8.186788591830775896e-01,1.016618622041655318e+00
4.375000000000000000e+00,9.316134344013995428e-01,1.118864639654837179e+00
4.425000000000000711e+00,9.590873882678131457e-01,1.025648658116052214e+00
4.474999999999999645e+00,1.007294836349633682e+00,1.047231636028694179e+00
4.525000000000000355e+00,8.998060148902208288e-01,1.024216492833241565e+00
4.575000000000000178e+00,1.041577015939314732e+00,1.099599648620716907e+00
4.625000000000000000e+00,1.048258200837782539e+00,1.063490486451013517e+00
4.675000000000000711e+00,1.115404925982433237e+00,1.061193264938329772e+00
4.724999999999999645e+00,1.115805275993164258e+00,1.078655992131323016e+00
4.775000000000000355e+00,1.130234671391030288e+00,1.196489807300159525e+00
4.825000000000001066e+00,1.213807861823329892e+00,1.240526902806862397e+00
4.875000000000000000e+00,1.074371085840662543e+00,1.353558003738932536e+00
4.925000000000000711e+00,1.172344165351598022e+00,1.516720263923630574e+00
4.974999999999999645e+00,1.048369490221242817e+00,1.511519025284737250e+00
