time_ps,T_K,PE_eV_atom,P_GPa,rho_g_cm3
1.613500000000000227e+02,7.456788952399999744e+02,-4.434024926757812679e+00,-1.953291506923333365e-01,2.091519281117442564e+00
1.614000000000000057e+02,7.029806864900000392e+02,-4.431792613671874825e+00,-2.606255882399999835e-01,2.091519281117442564e+00
1.614500000000000171e+02,6.883589217500000359e+02,-4.431944338281249784e+00,-6.037495030633333037e-02,2.091519281117442564e+00
1.615000000000000000e+02,7.126688752600000498e+02,-4.436001385156250088e+00,-2.462170814811666386e-01,2.091519281117442564e+00
1.615500000000000114e+02,6.997878574600000547e+02,-4.435084022265624704e+00,6.960574588333334929e-03,2.091519281117442564e+00
1.616000000000000227e+02,6.600699353300000212e+02,-4.430221868945312558e+00,-2.797894718500000266e-01,2.091519281117442564e+00
1.616500000000000057e+02,7.132558582299999443e+02,-4.435863061132812923e+00,3.831646798233331180e-02,2.091519281117442564e+00
1.617000000000000171e+02,7.088767367899999954e+02,-4.434745391796875325e+00,-2.262097365966666551e-01,2.091519281117442564e+00
1.617500000000000000e+02,6.931252369899999621e+02,-4.432599391601562466e+00,-3.861534867966666673e-01,2.091519281117442564e+00
1.618000000000000114e+02,6.904813719500000389e+02,-4.431292728515624724e+00,-9.713458150333331709e-02,2.091519281117442564e+00
1.618500000000000227e+02,6.612511598999999478e+02,-4.424597324804687482e+00,6.797723065233335360e-02,2.091519281117442564e+00
1.619000000000000057e+02,7.532592250699999568e+02,-4.431038949999999588e+00,-2.089471486566666369e-01,2.091519281117442564e+00
1.619500000000000171e+02,7.455368436100000054e+02,-4.428700186914062087e+00,-6.960487434766665649e-02,2.091519281117442564e+00
1.620000000000000000e+02,7.487788036900000179e+02,-4.431228454296874730e+00,-3.765841777200000240e-01,2.091519281117442564e+00
1.620500000000000114e+02,7.010007725000000391e+02,-4.428501213671874659e+00,-1.682111498986666731e-01,2.091519281117442564e+00
1.621000000000000227e+02,7.268445137800000566e+02,-4.434766474218750254e+00,-2.518682346300000208e-01,2.091519281117442564e+00
1.621500000000000057e+02,6.835003652999999986e+02,-4.431556631250000322e+00,-1.463219555239999858e-01,2.091519281117442564e+00
1.622000000000000171e+02,6.741642363299999943e+02,-4.431411196484375203e+00,-2.634800943566666942e-01,2.091519281117442564e+00
1.622500000000000000e+02,7.099504501400000436e+02,-4.436148648046875032e+00,-4.462607240133333875e-01,2.091519281117442564e+00
1.623000000000000114e+02,7.081747633600000427e+02,-4.435969236523437331e+00,-2.064366702669999942e-01,2.091519281117442564e+00
1.623500000000000227e+02,6.946869028400000161e+02,-4.434422315039062923e+00,-3.306946839933333493e-01,2.091519281117442564e+00
1.624000000000000057e+02,6.668015501800000493e+02,-4.430533649804687890e+00,-8.330782195833331960e-02,2.091519281117442564e+00
1.624500000000000171e+02,7.152889499899999919e+02,-4.435611056445312173e+00,-1.191416746043333363e-01,2.091519281117442564e+00
1.625000000000000000e+02,7.076158297299999731e+02,-4.432705194335937904e+00,-3.752360886699999676e-01,2.091519281117442564e+00
1.625500000000000114e+02,7.315466523300000290e+02,-4.433981084960937125e+00,-5.396045981666666019e-02,2.091519281117442564e+00
1.626000000000000227e+02,7.582352805799999942e+02,-4.436778716406250211e+00,-7.917877646333332242e-02,2.091519281117442564e+00
1.626500000000000057e+02,7.198201403199999504e+02,-4.433875222070312816e+00,-3.465150304566666506e-01,2.091519281117442564e+00
1.627000000000000171e+02,6.995278958000000102e+02,-4.434909208398437386e+00,-1.241745133603333190e-01,2.091519281117442564e+00
1.627500000000000000e+02,6.957022620699999607e+02,-4.437400559960937407e+00,-1.805265006633333391e-01,2.091519281117442564e+00
1.628000000000000114e+02,6.635403183700000227e+02,-4.434868316796874765e+00,-4.309630570100000391e-01,2.091519281117442564e+00
1.628500000000000227e+02,6.792871206600000278e+02,-4.436783623242187780e+00,-3.851957584233333676e-01,2.091519281117442564e+00
1.629000000000000057e+02,7.421805679799999780e+02,-4.442667037890625004e+00,-2.786758458266666572e-01,2.091519281117442564e+00
1.629500000000000171e+02,7.019363992800000460e+02,-4.435039599999999638e+00,-3.475148990333332688e-01,2.091519281117442564e+00
1.630000000000000000e+02,7.340638537400000132e+02,-4.434952631249999833e+00,-1.598155636866666410e-02,2.091519281117442564e+00
1.630500000000000114e+02,7.516944589600000199e+02,-4.432278493164062638e+00,-4.006406984166666629e-01,2.091519281117442564e+00
1.631000000000000227e+02,7.338922132200000306e+02,-4.427852329492187877e+00,-2.714868144103333436e-01,2.091519281117442564e+00
1.631500000000000057e+02,7.332660847099999728e+02,-4.428487934570312312e+00,-1.573369435666666927e-01,2.091519281117442564e+00
1.632000000000000171e+02,7.317094639599999937e+02,-4.431542944335937761e+00,-1.028149775850000086e-01,2.091519281117442564e+00
1.632500000000000000e+02,7.367871330200000557e+02,-4.436066998046874765e+00,-3.893679709473333861e-01,2.091519281117442564e+00
1.633000000000000114e+02,7.120578168800000185e+02,-4.435538060937499694e+00,-2.159393513719999602e-01,2.091519281117442564e+00
1.633500000000000227e+02,6.870508773400000564e+02,-4.434628686718750323e+00,-4.279815228166666263e-01,2.091519281117442564e+00
1.634000000000000057e+02,6.869943269000000328e+02,-4.435813748632812192e+00,-1.882612627633333258e-01,2.091519281117442564e+00
1.634500000000000171e+02,6.612076965200000132e+02,-4.432734379101562538e+00,-5.558387851900000731e-01,2.091519281117442564e+00
1.635000000000000000e+02,7.012638161800000489e+02,-4.436888063867187704e+00,-1.301581101118333417e-01,2.091519281117442564e+00
1.635500000000000114e+02,6.702246635400000514e+02,-4.431386885351562555e+00,-3.169734534599999987e-01,2.091519281117442564e+00
1.636000000000000227e+02,7.026599677000000383e+02,-4.432371697851562153e+00,-1.417659868999998629e-02,2.091519281117442564e+00
1.636500000000000057e+02,7.264698915999999826e+02,-4.430617996289062610e+00,-1.992388355966666635e-01,2.091519281117442564e+00
1.637000000000000171e+02,7.523882886200000257e+02,-4.431088085742187488e+00,-1.474908455966666698e-01,2.091519281117442564e+00
1.637500000000000000e+02,7.322834447899999759e+02,-4.429453232031249854e+00,-3.592247259599998938e-02,2.091519281117442564e+00
1.638000000000000114e+02,7.324481878499999539e+02,-4.431860702929687257e+00,-6.088304600000057345e-04,2.091519281117442564e+00
1.638500000000000227e+02,7.219761895899999899e+02,-4.433270240039062671e+00,-4.195615040050000299e-01,2.091519281117442564e+00
1.639000000000000057e+02,7.430376042699999743e+02,-4.438505217187500129e+00,-3.005942353890000418e-01,2.091519281117442564e+00
1.639500000000000171e+02,6.877934627900000351e+02,-4.434800558593749997e+00,-4.108139683500000028e-01,2.091519281117442564e+00
1.640000000000000000e+02,6.831666873599999690e+02,-4.436494596874999807e+00,-1.763829000599999863e-01,2.091519281117442564e+00
1.640500000000000114e+02,6.876446517399999721e+02,-4.437765231054687121e+00,-3.840378715473333204e-01,2.091519281117442564e+00
1.641000000000000227e+02,7.064454790600000251e+02,-4.440090846289062476e+00,-2.092255834116666657e-01,2.091519281117442564e+00
1.641500000000000057e+02,6.856295820300000514e+02,-4.437443100000000307e+00,-1.961002018153333581e-01,2.091519281117442564e+00
1.642000000000000171e+02,6.749642102599999589e+02,-4.435749018945312372e+00,-1.276235930170000199e-01,2.091519281117442564e+00
1.642500000000000000e+02,7.180402518700000201e+02,-4.437025589453124752e+00,-2.172196708899999662e-01,2.091519281117442564e+00
1.643000000000000114e+02,7.034752791900000375e+02,-4.428987917773437921e+00,-1.748576183153333352e-01,2.091519281117442564e+00
1.643500000000000227e+02,7.177165886699999646e+02,-4.427912433007812787e+00,-1.749101993806666602e-02,2.091519281117442564e+00
1.644000000000000057e+02,7.187417713199999980e+02,-4.427084574804687200e+00,-1.311430491976666723e-01,2.091519281117442564e+00
1.644500000000000171e+02,7.237609154900000021e+02,-4.428097512109374634e+00,3.588367487800000338e-02,2.091519281117442564e+00
1.645000000000000000e+02,7.119427385999999842e+02,-4.429301287109375096e+00,1.186849320733333463e-01,2.091519281117442564e+00
1.645500000000000114e+02,6.819556909299999461e+02,-4.429468813671874727e+00,-1.516166367466666720e-01,2.091519281117442564e+00
1.646000000000000227e+02,6.837114957500000401e+02,-4.431640203515624599e+00,-1.541054014936666661e-01,2.091519281117442564e+00
1.646500000000000057e+02,7.035246924299999591e+02,-4.434714902539062642e+00,-2.989474495353333650e-01,2.091519281117442564e+00
