lag_ps,Li_A2,P_A2,S_A2
8.700000000000001066e+00,5.781814751147663856e+00,3.846411351188901984e-01,7.611672076698295930e-01
8.800000000000000711e+00,5.830970465779065748e+00,3.855772432461258004e-01,7.627716234316036514e-01
8.900000000000000355e+00,5.881827991576694004e+00,3.866001931793147106e-01,7.648150814424636845e-01
9.000000000000000000e+00,5.932559408288144098e+00,3.874676636479811309e-01,7.669296145598921699e-01
9.099999999999999645e+00,5.982907980399585490e+00,3.878497477382568115e-01,7.680636962362540343e-01
9.200000000000001066e+00,6.031289892411948905e+00,3.874875759378587636e-01,7.688466387657202361e-01
9.300000000000000711e+00,6.080765359645670110e+00,3.880245686714227649e-01,7.707158057549057251e-01
9.400000000000000355e+00,6.130499324719310472e+00,3.895196847151688457e-01,7.734008777198400075e-01
9.500000000000000000e+00,6.179908525942672703e+00,3.905276165457059467e-01,7.753984201946557686e-01
9.600000000000001421e+00,6.230163401157096992e+00,3.901799232120753413e-01,7.764254276181588033e-01
9.700000000000001066e+00,6.280966245569024053e+00,3.906961208523964668e-01,7.781247657182424060e-01
9.800000000000000711e+00,6.329507124002414109e+00,3.908514784281345023e-01,7.794890957322401226e-01
9.900000000000000355e+00,6.379851389875152101e+00,3.913764760585517477e-01,7.810511892705842563e-01
1.000000000000000000e+01,6.429941416673279342e+00,3.925101298297936636e-01,7.838633940009563927e-01
1.010000000000000142e+01,6.482236515737440641e+00,3.934535074084075101e-01,7.860637747091933081e-01
1.020000000000000107e+01,6.533460019845755973e+00,3.939481135935407607e-01,7.877862922403983115e-01
1.030000000000000071e+01,6.584233648920689852e+00,3.950099906476637335e-01,7.899996505619807374e-01
1.040000000000000036e+01,6.636035994509695612e+00,3.957129392250051114e-01,7.921654456390563315e-01
1.050000000000000000e+01,6.686760867360253435e+00,3.967908629783856167e-01,7.945846176488327028e-01
1.060000000000000142e+01,6.738360314836550735e+00,3.976792556655972533e-01,7.969758111385618626e-01
1.070000000000000107e+01,6.788317153970659490e+00,3.992867645813275579e-01,8.000141926185823094e-01
1.080000000000000071e+01,6.837345770608685314e+00,4.002708987815191133e-01,8.015667039048574027e-01
1.090000000000000036e+01,6.887102931065353317e+00,4.011973174490599536e-01,8.036457358944576468e-01
1.100000000000000000e+01,6.936198925873513055e+00,4.029105080778965231e-01,8.069585396340478445e-01
1.110000000000000142e+01,6.987779492600139086e+00,4.039831467046591795e-01,8.096040406004139101e-01
1.120000000000000107e+01,7.035512676110029062e+00,4.034848490914026975e-01,8.106118040989647167e-01
1.130000000000000071e+01,7.083115609383151323e+00,4.025818244578599492e-01,8.110592798390042768e-01
1.140000000000000036e+01,7.130991812988603407e+00,4.017541807138011456e-01,8.110905144659112942e-01
1.150000000000000000e+01,7.181432115886100753e+00,4.024302692933934833e-01,8.124561403673458138e-01
1.160000000000000142e+01,7.232372095151757385e+00,4.038421638735274488e-01,8.152260920544539546e-01
1.170000000000000107e+01,7.285182296768843102e+00,4.056211449724141382e-01,8.180963930229172565e-01
1.180000000000000071e+01,7.335767406434079874e+00,4.075188148435101021e-01,8.210377479769915832e-01
1.190000000000000036e+01,7.384465096206245249e+00,4.081754949151241152e-01,8.234117897822337273e-01
1.200000000000000000e+01,7.431862433202551799e+00,4.078066955651851733e-01,8.239680574921639522e-01
1.210000000000000142e+01,7.480409327136583464e+00,4.075525413545362241e-01,8.247653228835196693e-01
1.220000000000000107e+01,7.527869929989359221e+00,4.076380449617248991e-01,8.255775875633133420e-01
1.230000000000000071e+01,7.577304524662507923e+00,4.075254196454315414e-01,8.265216400811685737e-01
1.240000000000000036e+01,7.626497874700779889e+00,4.081093064101272150e-01,8.281866660976763272e-01
1.250000000000000000e+01,7.675714658555811809e+00,4.089155537475343549e-01,8.304982908889484428e-01
1.260000000000000142e+01,7.725718141129602756e+00,4.103856505011105327e-01,8.329948986303469249e-01
1.270000000000000107e+01,7.775002037773973029e+00,4.112915975540078484e-01,8.348578903168070164e-01
1.280000000000000071e+01,7.824280554852009573e+00,4.124098780877620829e-01,8.374375828051662252e-01
1.290000000000000036e+01,7.873208675763855524e+00,4.130383414431720301e-01,8.393326343777854914e-01
1.300000000000000000e+01,7.923101942788013829e+00,4.142733762879178272e-01,8.411295315240271409e-01
