# msd.out by GPUMDkit
# Element: Li  |  dt: 1000.0000 fs  |  Frames: 1000  |  Atoms: 144
#     Time(ps)    MSD_x(Ang^2)    MSD_y(Ang^2)    MSD_z(Ang^2)
    341.000000       0.294533       0.272437       0.616763
    342.000000       0.294222       0.273326       0.617070
    343.000000       0.293652       0.273953       0.618903
    344.000000       0.294062       0.274930       0.619949
    345.000000       0.294830       0.274524       0.620984
    346.000000       0.295622       0.275914       0.621786
    347.000000       0.295570       0.276642       0.622747
    348.000000       0.296362       0.276885       0.624771
    349.000000       0.296420       0.277732       0.625849
    350.000000       0.296080       0.278133       0.626928
    351.000000       0.297341       0.278367       0.627755
    352.000000       0.297325       0.278565       0.629423
    353.000000       0.296799       0.278946       0.630036
    354.000000       0.296796       0.279790       0.630815
    355.000000       0.297243       0.280951       0.630699
    356.000000       0.297390       0.281305       0.632389
    357.000000       0.297570       0.280998       0.632411
    358.000000       0.298462       0.281646       0.633384
    359.000000       0.298692       0.282690       0.633968
    360.000000       0.299131       0.282796       0.634447
    361.000000       0.299380       0.283239       0.635675
    362.000000       0.299778       0.283909       0.636335
    363.000000       0.299608       0.284225       0.638018
    364.000000       0.300140       0.284296       0.637499
    365.000000       0.299846       0.284543       0.639602
    366.000000       0.299814       0.284849       0.640040
    367.000000       0.300595       0.286223       0.639602
    368.000000       0.300874       0.287091       0.639787
    369.000000       0.300755       0.286452       0.640533
    370.000000       0.301071       0.287209       0.641453
    371.000000       0.301211       0.287859       0.642134
    372.000000       0.301810       0.288302       0.644393
    373.000000       0.302332       0.289180       0.644573
    374.000000       0.302268       0.289881       0.645808
    375.000000       0.302700       0.289819       0.646821
    376.000000       0.302602       0.290350       0.648148
    377.000000       0.302311       0.290753       0.649074
    378.000000       0.302696       0.290971       0.649610
    379.000000       0.303689       0.291108       0.650655
    380.000000       0.303595       0.291846       0.651859
    381.000000       0.303073       0.292621       0.652062
    382.000000       0.303448       0.292770       0.653955
    383.000000       0.303959       0.293685       0.653800
    384.000000       0.305637       0.294341       0.654393
    385.000000       0.305487       0.294971       0.655944
    386.000000       0.306204       0.294712       0.656452
    387.000000       0.305956       0.295814       0.658096
    388.000000       0.306816       0.295614       0.658442
    389.000000       0.307110       0.296091       0.658769
    390.000000       0.306573       0.296655       0.660255
    391.000000       0.306748       0.297615       0.661328
    392.000000       0.307427       0.297358       0.663496
