lag_ps,Li_A2,Zr_A2,Cl_A2,S_A2,O_A2
1.270000000000000107e+01,1.019605880877861637e+00,3.123655265248644897e-01,6.166045861714308796e-01,2.611955138952596900e-01,3.746762275007243237e-01
1.280000000000000071e+01,1.023340558726347105e+00,3.130816189831279739e-01,6.177323371717043932e-01,2.619875016674213519e-01,3.758116633512292304e-01
1.290000000000000036e+01,1.025834427289088913e+00,3.137222603913245589e-01,6.183675308027317685e-01,2.627701903698685393e-01,3.769926205190778368e-01
1.300000000000000000e+01,1.029704488904465531e+00,3.143900084947331419e-01,6.193410956122783473e-01,2.635442055152823482e-01,3.781629168267114371e-01
1.310000000000000142e+01,1.033373049279921574e+00,3.151739126094607046e-01,6.204418877881987537e-01,2.640934071293781216e-01,3.785639917117903930e-01
1.320000000000000107e+01,1.036109510552391866e+00,3.159316743747618283e-01,6.213831218032581649e-01,2.643340012417897400e-01,3.785331450968253963e-01
1.330000000000000071e+01,1.041609895411194975e+00,3.170893915733062896e-01,6.231673596350124633e-01,2.652708078991409812e-01,3.799946664804573215e-01
1.340000000000000036e+01,1.046444405089832053e+00,3.185212939937825394e-01,6.255441895829773058e-01,2.664215427945341164e-01,3.815711421318317975e-01
1.350000000000000000e+01,1.051042005527657031e+00,3.199987556295368352e-01,6.280790593942153777e-01,2.674546840694835836e-01,3.830541665134344353e-01
1.360000000000000142e+01,1.056188870914554156e+00,3.215888646846850607e-01,6.299744866507068775e-01,2.685056372703701899e-01,3.847702402193207138e-01
1.370000000000000107e+01,1.059982190772666533e+00,3.228193998075949978e-01,6.318796546707164952e-01,2.694925484494304357e-01,3.858362983419896253e-01
1.380000000000000071e+01,1.064028262231983657e+00,3.241454448524044296e-01,6.344326149552340643e-01,2.703586721062293807e-01,3.871021206074112819e-01
1.390000000000000036e+01,1.069966292332180435e+00,3.255351123778555400e-01,6.370612901867667155e-01,2.708733086705951143e-01,3.883162264649331341e-01
1.400000000000000000e+01,1.071833634706038874e+00,3.266321962700862169e-01,6.388920478588088203e-01,2.716673712512360228e-01,3.893565799782816028e-01
1.410000000000000142e+01,1.074868992180845861e+00,3.279925361853809340e-01,6.409710044758224479e-01,2.728364926508948796e-01,3.913159754133299639e-01
1.420000000000000107e+01,1.078953539236034098e+00,3.288829195277041539e-01,6.426147019868677646e-01,2.732795319676232237e-01,3.917722826910522427e-01
1.430000000000000071e+01,1.081303693072784622e+00,3.296487928341572116e-01,6.447139058607156414e-01,2.735114713157048016e-01,3.925806366732328967e-01
1.440000000000000036e+01,1.085576189283352644e+00,3.300871066072860738e-01,6.457280640905848079e-01,2.737594125731425132e-01,3.929548914237522839e-01
1.450000000000000000e+01,1.087618149821613756e+00,3.302648082690093911e-01,6.460984923515027400e-01,2.739520114563412378e-01,3.930749825741024495e-01
1.460000000000000142e+01,1.090657941713011114e+00,3.304975663872120606e-01,6.467434939488342360e-01,2.743949559112200953e-01,3.940394396876678584e-01
1.470000000000000107e+01,1.094026244006981896e+00,3.306462467316134135e-01,6.478432110909670971e-01,2.746136203421511990e-01,3.941726340339216095e-01
1.480000000000000071e+01,1.097112783094394750e+00,3.307972326131963237e-01,6.486128609664028044e-01,2.750082351729872809e-01,3.946367418755684087e-01
1.490000000000000036e+01,1.101832994828339629e+00,3.312584434034907543e-01,6.496849513554636690e-01,2.753957444918336828e-01,3.952267998209362809e-01
1.500000000000000000e+01,1.105128548128553545e+00,3.317140803142308303e-01,6.514292592142343352e-01,2.760337237132804433e-01,3.961579487417161149e-01
1.510000000000000142e+01,1.109168276879728410e+00,3.319588809822415776e-01,6.522890201611057925e-01,2.766437695701802757e-01,3.972797937222097286e-01
1.520000000000000107e+01,1.111761406302073985e+00,3.321848394466218046e-01,6.522751078306759931e-01,2.774203587176972685e-01,3.980161089045050060e-01
1.530000000000000071e+01,1.115024366667357825e+00,3.325657569103903088e-01,6.522897954617514760e-01,2.780832475992470743e-01,3.986599435710124206e-01
1.540000000000000036e+01,1.117077013743393632e+00,3.329091303783460187e-01,6.521818744297639414e-01,2.786022660131194928e-01,3.989446764224516828e-01
1.550000000000000000e+01,1.118462717082313596e+00,3.332329926756500416e-01,6.527145128906038929e-01,2.786060976238254328e-01,3.990198411636492470e-01
1.560000000000000142e+01,1.120073678877561374e+00,3.336630029333717551e-01,6.530408535621058386e-01,2.782107039831646089e-01,3.983109607077248704e-01
1.570000000000000107e+01,1.123232799356564726e+00,3.339210489721230468e-01,6.532502565390051474e-01,2.776692997935368834e-01,3.981138033863360071e-01
1.580000000000000071e+01,1.126608208978256309e+00,3.342666053378036684e-01,6.546641609319353572e-01,2.774944113944078916e-01,3.980404650651919174e-01
1.590000000000000036e+01,1.130416472831914154e+00,3.349187236783920940e-01,6.566305813626561738e-01,2.776940115106141249e-01,3.984400865272764158e-01
1.600000000000000000e+01,1.132944963172843433e+00,3.354524227803575842e-01,6.585175053408028889e-01,2.778963769252099647e-01,3.992830427057736387e-01
1.610000000000000142e+01,1.136779920458736992e+00,3.365292670129677033e-01,6.606561000358210922e-01,2.786043245289858694e-01,4.003880990571065945e-01
1.619999999999999929e+01,1.138225555738348271e+00,3.374426169807756004e-01,6.624007644870395506e-01,2.791409295770791443e-01,4.010648348142170638e-01
1.630000000000000071e+01,1.140937081610941428e+00,3.379462724209116864e-01,6.635621183559585745e-01,2.796649016830288770e-01,4.019788218557394655e-01
1.640000000000000213e+01,1.143338313683968099e+00,3.385879099447172136e-01,6.645763170620088145e-01,2.809335202027347100e-01,4.030195579211523493e-01
1.650000000000000000e+01,1.147111940681821096e+00,3.389168737368810080e-01,6.654637992627188137e-01,2.817570970601778191e-01,4.040916997043091374e-01
1.660000000000000142e+01,1.149853577340072874e+00,3.392161254047166841e-01,6.660290067258012314e-01,2.821015465931904775e-01,4.046388422203612834e-01
1.669999999999999929e+01,1.151003318705393408e+00,3.394779652162321915e-01,6.664427349107020504e-01,2.821364888497523982e-01,4.047632541131275241e-01
1.680000000000000071e+01,1.154284059577905142e+00,3.399878607723751389e-01,6.676718229518440184e-01,2.824157070301647754e-01,4.051760381486151918e-01
1.690000000000000213e+01,1.158630233268524767e+00,3.407095006797587478e-01,6.690610625364570296e-01,2.826390042532211933e-01,4.059003266107245600e-01
