time_ps,T_K,P_GPa,PE_eV_atom,rho_g_cm3
1.545000000000000107e+01,8.674527848300000414e+02,-1.179647908199999984e-01,-4.791842286666667228e+00,1.618684521079698957e+00
1.550000000000000000e+01,7.805647783199999594e+02,-6.462477968799999750e-02,-4.782990104114583474e+00,1.628779479493400517e+00
1.555000000000000071e+01,8.342408629100000326e+02,1.533850858699999931e-01,-4.790926694166667055e+00,1.640373829592805865e+00
1.560000000000000142e+01,8.265268779199999472e+02,6.248871185633333436e-01,-4.793511696406249634e+00,1.646220696802689121e+00
1.565000000000000036e+01,7.025390335800000230e+02,1.690523343163333470e-01,-4.782431154687500019e+00,1.634758284496441894e+00
1.570000000000000107e+01,7.319145510800000238e+02,-4.366684414466665692e-02,-4.785813290208333903e+00,1.617687692217594009e+00
1.575000000000000000e+01,8.620854447599999730e+02,-3.095086557566666952e-01,-4.798372357499999907e+00,1.603500019421303824e+00
1.580000000000000071e+01,8.473803135900000143e+02,-2.817566006830000622e-02,-4.791114804635416391e+00,1.597996352837183887e+00
1.585000000000000142e+01,9.114807667200000196e+02,-1.659127571446666616e-01,-4.787970702708332915e+00,1.594603591373957352e+00
1.590000000000000036e+01,9.410217190099999698e+02,2.261549166766666508e-01,-4.783485577812499834e+00,1.592275974935386751e+00
1.595000000000000107e+01,8.578276101100000233e+02,2.420456101383333392e-01,-4.774549907864582998e+00,1.584368044690732669e+00
1.600000000000000000e+01,8.680344066200000270e+02,3.171531946733333052e-01,-4.782885425677083191e+00,1.567636054897370013e+00
1.605000000000000071e+01,8.630771405199999435e+02,-3.826576873199999951e-01,-4.788683135624999920e+00,1.539653402296896401e+00
1.610000000000000142e+01,7.619899005099999840e+02,-2.792101536423333141e-01,-4.778696535989583438e+00,1.521615120605560589e+00
1.615000000000000213e+01,8.400007535800000369e+02,-3.143014418839999990e-01,-4.790324111041666555e+00,1.517507731274631233e+00
1.619999999999999929e+01,7.345310621899999433e+02,-1.351886850600000078e-01,-4.779378847968749788e+00,1.522772846008817460e+00
1.625000000000000000e+01,7.575831410700000106e+02,2.648001856218000216e-01,-4.783909619322916917e+00,1.533490615432552939e+00
1.630000000000000071e+01,7.805634423899999774e+02,-1.350512033310000137e-01,-4.787514446874999940e+00,1.540701434547020687e+00
1.635000000000000142e+01,8.299078289999999924e+02,2.007314432800000048e-01,-4.794492228385416333e+00,1.549794704679025248e+00
1.640000000000000213e+01,8.213423428999999487e+02,-3.963662601233333138e-01,-4.795223018541666882e+00,1.554893780393530989e+00
1.644999999999999929e+01,8.374053497099999959e+02,3.401645027806667332e-01,-4.801916494062500540e+00,1.565964264063218980e+00
