r_A,g_r
3.475000000000000089e+00,2.491334340392269642e+00
3.525000000000000355e+00,2.958520258398533276e+00
3.575000000000000178e+00,3.386514750602212853e+00
3.625000000000000000e+00,3.712613476748353403e+00
3.675000000000000266e+00,3.840290462710862052e+00
3.725000000000000089e+00,3.874768930330832806e+00
3.775000000000000355e+00,3.757926717553058182e+00
3.825000000000000178e+00,3.527104238289620497e+00
3.875000000000000000e+00,3.228272253837589645e+00
3.925000000000000266e+00,2.842881459198861815e+00
3.975000000000000089e+00,2.463017008754684767e+00
4.025000000000000355e+00,2.028073297644312767e+00
4.075000000000000178e+00,1.655023686625968216e+00
4.125000000000000000e+00,1.319403991005805299e+00
4.175000000000000711e+00,1.016640212528506781e+00
4.224999999999999645e+00,7.502734799314478842e-01
4.275000000000000355e+00,5.527221712297030187e-01
4.325000000000000178e+00,3.843600323794844620e-01
4.375000000000000000e+00,2.824653437125750344e-01
4.425000000000000711e+00,2.042633394513542755e-01
4.474999999999999645e+00,1.523024727309117421e-01
4.525000000000000355e+00,1.237391685408195524e-01
4.575000000000000178e+00,1.096844036928848465e-01
4.625000000000000000e+00,1.186185952600651433e-01
4.675000000000000711e+00,1.341503471134313785e-01
4.724999999999999645e+00,1.652728274383341300e-01
4.775000000000000355e+00,2.118910523565536996e-01
4.825000000000001066e+00,2.558385866535956565e-01
4.875000000000000000e+00,3.081897846028501253e-01
4.925000000000000711e+00,3.689403352825382232e-01
4.974999999999999645e+00,4.233990477572575628e-01
5.025000000000000355e+00,5.196635677806594744e-01
5.075000000000001066e+00,6.117845534725925294e-01
5.125000000000000000e+00,7.099877731294056415e-01
5.175000000000000711e+00,7.944535216446179104e-01
5.224999999999999645e+00,8.825286170110313577e-01
5.275000000000000355e+00,9.039826100510343077e-01
5.325000000000001066e+00,9.034089863120383646e-01
5.375000000000000000e+00,8.495325687681780646e-01
5.425000000000000711e+00,7.756129474980922867e-01
5.474999999999999645e+00,6.893525705080544297e-01
5.525000000000000355e+00,6.092751730999556026e-01
5.575000000000001066e+00,5.350911634455707278e-01
5.625000000000000000e+00,4.977050005370723396e-01
5.675000000000000711e+00,4.625781486630788364e-01
5.724999999999999645e+00,4.398493658637286918e-01
5.775000000000000355e+00,4.291143519810327600e-01
5.825000000000001066e+00,4.399851513925940316e-01
5.875000000000000000e+00,4.846706542445303190e-01
5.925000000000000711e+00,5.233792238579106915e-01
5.974999999999999645e+00,5.976088935673588010e-01
