lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
2.200000000000000178e+00,5.272637770918415789e+00,1.053417784827126225e+00,7.717921585043112653e-01,2.324606571271885525e+00
2.299999999999999822e+00,5.429176796029761221e+00,1.071188442486832759e+00,7.824694813399268867e-01,2.377386169155125906e+00
2.399999999999999911e+00,5.581901372804246364e+00,1.089949770797183914e+00,7.932018615724895083e-01,2.429606081384339866e+00
2.500000000000000000e+00,5.736674458412311495e+00,1.108635804909854583e+00,8.058682946414920112e-01,2.481760534077542601e+00
2.600000000000000089e+00,5.894685466969368903e+00,1.127472251973945960e+00,8.165656493419600759e-01,2.533319904535600298e+00
2.700000000000000178e+00,6.050288084193556237e+00,1.146010363570213464e+00,8.286695436287045968e-01,2.583838613188771394e+00
2.799999999999999822e+00,6.201327919030205749e+00,1.163920571156723316e+00,8.406835733910759112e-01,2.632643566041292349e+00
2.899999999999999911e+00,6.350666666782895931e+00,1.182441971275634440e+00,8.533231559228795504e-01,2.681233705306287796e+00
3.000000000000000000e+00,6.498379307453904907e+00,1.200146214595957384e+00,8.640740570933469478e-01,2.729215689918882415e+00
3.100000000000000089e+00,6.642238311813718710e+00,1.216626444792254569e+00,8.758014629389296868e-01,2.776447754601919726e+00
3.200000000000000178e+00,6.790169315266282979e+00,1.233074336106545488e+00,8.858285893726309812e-01,2.822538161237925003e+00
3.299999999999999822e+00,6.945776011354067414e+00,1.250028388514190070e+00,8.986561068063503299e-01,2.870183266903842068e+00
3.399999999999999911e+00,7.096234093261097442e+00,1.266313305668215206e+00,9.120712533272391509e-01,2.916432634374689137e+00
3.500000000000000000e+00,7.243722798371526217e+00,1.282326933045380590e+00,9.237258719850307553e-01,2.961773534563377108e+00
3.600000000000000089e+00,7.391533952282883568e+00,1.297299513368211921e+00,9.346763104894152407e-01,3.005980533951684297e+00
3.700000000000000178e+00,7.542050881435446996e+00,1.312179080208136561e+00,9.461605260371257486e-01,3.048736563689725454e+00
3.799999999999999822e+00,7.694607550160916354e+00,1.326333737679442848e+00,9.561911138036798263e-01,3.090765568581051781e+00
3.899999999999999911e+00,7.840295751526574541e+00,1.341026343301326307e+00,9.668668967364529854e-01,3.132316452339067414e+00
4.000000000000000000e+00,7.987967071222996651e+00,1.356719473084310623e+00,9.774516379908981811e-01,3.175294548165720876e+00
4.099999999999999645e+00,8.139925038805268187e+00,1.372465621266553804e+00,9.881039512292228988e-01,3.218586003425217168e+00
4.200000000000000178e+00,8.287613264460135909e+00,1.388603105335669108e+00,9.991176241885977305e-01,3.261780753651141840e+00
4.299999999999999822e+00,8.439338765311534374e+00,1.405351326613370144e+00,1.010163898121376080e+00,3.305298847636794157e+00
4.400000000000000355e+00,8.592424827047270952e+00,1.421038435106401154e+00,1.019778126891338621e+00,3.348869335964274718e+00
4.500000000000000000e+00,8.744782181806350252e+00,1.436312463328029532e+00,1.030460666055029062e+00,3.392263861765662192e+00
4.599999999999999645e+00,8.895802802488120165e+00,1.451225599327334193e+00,1.038231021773645235e+00,3.434826455424369485e+00
4.700000000000000178e+00,9.040853672908550465e+00,1.466256239431824593e+00,1.046526102958833304e+00,3.477327979960981086e+00
4.799999999999999822e+00,9.183485771068562897e+00,1.481489174702180778e+00,1.054666089344573843e+00,3.519609648754961739e+00
4.900000000000000355e+00,9.325836276791838131e+00,1.497342685513051608e+00,1.064432050474076075e+00,3.562096646426605062e+00
5.000000000000000000e+00,9.470515037531940905e+00,1.512643471648967619e+00,1.074053480361609303e+00,3.604405639428032160e+00
5.099999999999999645e+00,9.621036456697217076e+00,1.528831166652582008e+00,1.083951300959810293e+00,3.650015867886653442e+00
5.200000000000000178e+00,9.769362640273385523e+00,1.545324057080143421e+00,1.092808528333323315e+00,3.695144439694138416e+00
