lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
1.120000000000000107e+01,4.268703272453301167e+01,1.528325287656469733e+01,8.592822112514236110e+00,2.741757330951734417e+01
1.130000000000000071e+01,4.303999993784337619e+01,1.539245817598996169e+01,8.650587986530490880e+00,2.759715358943448749e+01
1.140000000000000036e+01,4.339600736619162547e+01,1.550070395470519280e+01,8.709232462738381031e+00,2.777738243961413289e+01
1.150000000000000000e+01,4.375195367773513055e+01,1.560833637753086656e+01,8.770129329903305404e+00,2.795680254673982645e+01
1.159999999999999964e+01,4.410464549833014303e+01,1.571485160325608987e+01,8.829410725819833772e+00,2.813478760729485728e+01
1.170000000000000107e+01,4.445766641287372778e+01,1.582119840226677887e+01,8.889623917255766727e+00,2.831260811285006085e+01
1.180000000000000071e+01,4.480899257637899069e+01,1.592718576626241855e+01,8.950097761337943325e+00,2.849010622195973852e+01
1.190000000000000036e+01,4.516165558452545525e+01,1.603257032154118988e+01,9.012031170867793151e+00,2.866795179861059850e+01
1.200000000000000000e+01,4.551668151104148308e+01,1.613772203141324724e+01,9.073776381136221758e+00,2.884358055493360240e+01
1.209999999999999964e+01,4.587646119007887791e+01,1.624286002077348812e+01,9.135309995405972217e+00,2.901903657505146938e+01
1.220000000000000107e+01,4.623511897173949592e+01,1.634718497238706547e+01,9.197787070232376294e+00,2.919318720738481332e+01
1.230000000000000071e+01,4.659699025503016401e+01,1.645108946368068459e+01,9.257473364878757494e+00,2.936706956751157094e+01
1.240000000000000036e+01,4.696337851504764416e+01,1.655600913788806494e+01,9.318561637456562963e+00,2.954153573383074516e+01
1.250000000000000000e+01,4.732511838993455200e+01,1.666199999694635991e+01,9.379856839662954471e+00,2.971607768008383488e+01
1.259999999999999964e+01,4.768043596098461023e+01,1.676931334808657326e+01,9.442164926636147371e+00,2.989071039874365354e+01
1.270000000000000107e+01,4.803578219159011553e+01,1.687701810950495940e+01,9.505741193451664017e+00,3.006643064118303599e+01
1.280000000000000071e+01,4.839552413116999929e+01,1.698635912713238127e+01,9.569988344642029077e+00,3.024292343784443204e+01
1.290000000000000036e+01,4.875620568758110096e+01,1.709647624463347526e+01,9.633980096811120220e+00,3.042070699108895582e+01
1.300000000000000000e+01,4.912017206872660324e+01,1.720676531572981816e+01,9.695172529740760936e+00,3.059971551284492719e+01
