lag_ps,Li_A2,Zr_A2,Cl_A2,S_A2,O_A2
1.060000000000000142e+01,1.610231498028306119e+00,6.349647050172197993e-01,1.491289487024649807e+00,4.452356499672124879e-01,6.879738125463040754e-01
1.070000000000000107e+01,1.615331960525290267e+00,6.366415163549579148e-01,1.495783633152150793e+00,4.461355482329052990e-01,6.889405083067413615e-01
1.080000000000000071e+01,1.620059645953544125e+00,6.379551271885141039e-01,1.500309322991848271e+00,4.466104230680690290e-01,6.896871977463892023e-01
1.090000000000000036e+01,1.625533890155058447e+00,6.390416241684592213e-01,1.504865076675136137e+00,4.468204768708515795e-01,6.904810625524818724e-01
1.100000000000000000e+01,1.629168118264125553e+00,6.397417294916023511e-01,1.508923765420124186e+00,4.464947570919313713e-01,6.905645779283103858e-01
1.110000000000000142e+01,1.634355929054463141e+00,6.404311199399970178e-01,1.512427027893759934e+00,4.469693946621566827e-01,6.909711209304943980e-01
1.120000000000000107e+01,1.638615577422807279e+00,6.412189817823954474e-01,1.515910699491489488e+00,4.477224573802001117e-01,6.920037090108113187e-01
1.130000000000000071e+01,1.644342912802017054e+00,6.422366235764355169e-01,1.519559692938273754e+00,4.483304107209933331e-01,6.933580718015842637e-01
1.140000000000000036e+01,1.650026546897416457e+00,6.432330834970505506e-01,1.522881468000363947e+00,4.495367172517770182e-01,6.947990056778970969e-01
1.150000000000000000e+01,1.657821593631231494e+00,6.447722499880412794e-01,1.526894265452978683e+00,4.512437389672637189e-01,6.968790295299223114e-01
1.160000000000000142e+01,1.665877477441380039e+00,6.471088037502910062e-01,1.533702203598829028e+00,4.535555712263914518e-01,6.999806224180321612e-01
1.170000000000000107e+01,1.672073173241948485e+00,6.498220082450639756e-01,1.541749993601916779e+00,4.563551576737892024e-01,7.034191094928435861e-01
1.180000000000000071e+01,1.681022386607142316e+00,6.528010912342185890e-01,1.548745580282260059e+00,4.582695840158045875e-01,7.064407808857570137e-01
1.190000000000000036e+01,1.689660262653140732e+00,6.557141278732869782e-01,1.555667544065874264e+00,4.595156947938783265e-01,7.083230602355150562e-01
1.200000000000000000e+01,1.696409627315640600e+00,6.582844377282226489e-01,1.562170334203202282e+00,4.607129789047454960e-01,7.106870165323312394e-01
1.210000000000000142e+01,1.704484046628772953e+00,6.610919406222375283e-01,1.568573333487887522e+00,4.624831381581974155e-01,7.132062861597766590e-01
1.220000000000000107e+01,1.715240114104678026e+00,6.641968799329240891e-01,1.575408336703805201e+00,4.649931249430755975e-01,7.164468492528985877e-01
