lag_ps,Li_MSD_A2,Li_COM_removed_window_MSD_A2,single_origin_system_COM_removed_A2
1.480000000000000071e+01,2.396421542184338449e+01,2.321526512846016033e+01,2.333891207286866987e+01
1.490000000000000036e+01,2.410108622150009339e+01,2.334778603851567524e+01,2.336205558339263533e+01
1.500000000000000000e+01,2.424234358046557247e+01,2.348448283638619927e+01,2.371308674418040496e+01
1.509999999999999964e+01,2.437944069273592618e+01,2.361690062288583292e+01,2.399479954365532919e+01
1.520000000000000107e+01,2.451714963534574920e+01,2.374978675981019549e+01,2.346264943090968202e+01
1.530000000000000071e+01,2.465311123453820130e+01,2.388061162186501463e+01,2.499101720852679165e+01
1.540000000000000036e+01,2.479099165421767381e+01,2.401307947107856577e+01,2.442505784813591774e+01
1.550000000000000000e+01,2.492799453766522433e+01,2.414402815140509873e+01,2.404913355811670073e+01
1.559999999999999964e+01,2.506839611392926415e+01,2.427900788186990155e+01,2.333788880293028001e+01
1.570000000000000107e+01,2.521021075555774615e+01,2.441594191738803232e+01,2.346771309446531006e+01
1.580000000000000071e+01,2.535003079234253676e+01,2.455124196872545994e+01,2.331021675017362327e+01
1.590000000000000036e+01,2.549032193621015097e+01,2.468703511617197677e+01,2.349952322187890630e+01
1.600000000000000000e+01,2.563090545601216874e+01,2.482293223993985976e+01,2.273616184096865922e+01
1.610000000000000142e+01,2.576881703757984710e+01,2.495584259322746945e+01,2.454222297715059042e+01
1.619999999999999929e+01,2.590578633695907484e+01,2.508771222792902478e+01,2.496487541684827605e+01
1.630000000000000071e+01,2.604767684371708469e+01,2.522426424622961960e+01,2.536203001257941025e+01
1.639999999999999858e+01,2.618690541104810166e+01,2.535829708154216888e+01,2.517827900416551401e+01
1.650000000000000000e+01,2.632637923982797190e+01,2.549216368015556355e+01,2.615886980988540955e+01
1.660000000000000142e+01,2.646748356736976149e+01,2.562756282004993125e+01,2.544825945677985857e+01
1.669999999999999929e+01,2.660945511404252883e+01,2.576377033519552384e+01,2.476954396813190229e+01
1.680000000000000071e+01,2.675003928693815070e+01,2.589863513586414356e+01,2.464939928978738237e+01
1.689999999999999858e+01,2.688614833837653606e+01,2.602942808759666349e+01,2.416495709887257703e+01
1.700000000000000000e+01,2.702151129476040836e+01,2.615877343540763889e+01,2.381849105231395569e+01
1.710000000000000142e+01,2.716019494392446987e+01,2.629144930914184997e+01,2.400208859791969829e+01
1.719999999999999929e+01,2.730278184011468312e+01,2.642823863728501621e+01,2.309713674079680956e+01
1.730000000000000071e+01,2.744253483677452365e+01,2.656206601088082664e+01,2.288888835207248107e+01
1.740000000000000213e+01,2.758564007511054683e+01,2.669904476135787164e+01,2.413642157080746031e+01
1.750000000000000000e+01,2.773316238860918403e+01,2.684084398391645720e+01,2.258481769788103932e+01
1.760000000000000142e+01,2.788005298229188256e+01,2.698153152278892364e+01,2.288098067984635264e+01
1.769999999999999929e+01,2.802442358430526426e+01,2.711951494110180505e+01,2.316547914861797253e+01
1.780000000000000071e+01,2.817050288708616890e+01,2.725987340645822954e+01,2.432560229261547846e+01
1.790000000000000213e+01,2.831197653266953651e+01,2.739554003542975025e+01,2.501579441234347811e+01
1.800000000000000000e+01,2.845525431109464165e+01,2.753300055960196957e+01,2.459409780782711863e+01
1.810000000000000142e+01,2.859569214740232113e+01,2.766734234783225688e+01,2.457890624307873040e+01
1.819999999999999929e+01,2.873554720926644990e+01,2.780112451833996090e+01,2.422242392330653615e+01
1.830000000000000071e+01,2.887959354804591072e+01,2.793911498446793118e+01,2.357061062047660727e+01
1.840000000000000213e+01,2.902162935613509021e+01,2.807529709510364313e+01,2.396024230470298733e+01
1.850000000000000000e+01,2.916582493550560429e+01,2.821344202489402520e+01,2.376074488028984177e+01
1.860000000000000142e+01,2.931351808048797025e+01,2.835538643144904825e+01,2.402837282747633907e+01
1.869999999999999929e+01,2.945682852234168436e+01,2.849303300587392229e+01,2.449168110884469129e+01
1.880000000000000071e+01,2.959967527487883032e+01,2.863018349104750371e+01,2.573481818173911506e+01
1.890000000000000213e+01,2.974602785741083721e+01,2.877085977834729036e+01,2.470465112200806601e+01
1.900000000000000000e+01,2.989502199553193407e+01,2.891336535870195235e+01,2.439787089276802945e+01
1.910000000000000142e+01,3.004259647282959733e+01,2.905454466410029823e+01,2.486462509272879018e+01
1.919999999999999929e+01,3.018995233205363604e+01,2.919582133251395106e+01,2.526771117133018052e+01
1.930000000000000071e+01,3.033665920554468443e+01,2.933744891800204613e+01,2.559884649450684080e+01
1.940000000000000213e+01,3.048654342479452239e+01,2.948267517628196188e+01,2.681508832901527839e+01
1.950000000000000000e+01,3.063749452018129560e+01,2.962805982034442209e+01,2.794241961882155323e+01
1.960000000000000142e+01,3.078200504614803990e+01,2.976757005374112453e+01,2.757970720589393920e+01
1.969999999999999929e+01,3.092662475726873339e+01,2.990738891806105215e+01,2.798819382783457854e+01
1.980000000000000071e+01,3.107201498576716148e+01,3.004739222089278528e+01,2.727640858096179244e+01
1.990000000000000213e+01,3.121683673547460103e+01,3.018704867024820970e+01,2.770331684374120229e+01
2.000000000000000000e+01,3.135983402853755564e+01,3.032552521335426121e+01,2.807922861406926174e+01
2.010000000000000142e+01,3.150459448557325004e+01,3.046567876575963041e+01,2.788517280586135527e+01
2.019999999999999929e+01,3.164527039402356579e+01,3.060175028024895738e+01,2.833499472438212408e+01
2.030000000000000071e+01,3.178639298648822376e+01,3.073705446354246718e+01,2.875862537357743065e+01
2.040000000000000213e+01,3.192738635011808412e+01,3.087220163314651700e+01,2.791189631949664829e+01
2.050000000000000000e+01,3.207176913787655081e+01,3.101062794961230296e+01,2.781140745430106875e+01
2.060000000000000142e+01,3.221608005942010067e+01,3.114915534799147778e+01,2.734719228748107867e+01
2.069999999999999929e+01,3.235714792881312718e+01,3.128407305449713860e+01,2.732833839795918252e+01
2.080000000000000071e+01,3.249986234904527294e+01,3.142083728084193339e+01,2.830857329605030870e+01
2.090000000000000213e+01,3.264307049807849381e+01,3.155854837792414358e+01,2.850032452221228851e+01
2.100000000000000000e+01,3.278426617057208148e+01,3.169394315851187116e+01,2.806083038946000840e+01
2.110000000000000142e+01,3.292554142541839468e+01,3.182939294382689965e+01,2.864706852445952379e+01
2.119999999999999929e+01,3.306923698939590395e+01,3.196688273924256407e+01,2.892521621679423305e+01
2.130000000000000071e+01,3.321209596198828962e+01,3.210433747471107324e+01,3.066263200693207480e+01
2.140000000000000213e+01,3.335686677597389149e+01,3.224344664993361675e+01,3.021343923590125868e+01
2.150000000000000000e+01,3.350006375574692186e+01,3.238110266234120616e+01,3.039953145918969923e+01
2.160000000000000142e+01,3.364671615053276810e+01,3.252220816876000242e+01,3.107769975160375608e+01
2.169999999999999929e+01,3.378850941265280738e+01,3.265833119630216430e+01,3.175336290531168260e+01
2.180000000000000071e+01,3.392826738726382274e+01,3.279297638494689693e+01,3.195772955958762651e+01
2.190000000000000213e+01,3.406730636400759948e+01,3.292749037906323650e+01,3.230097627180465736e+01
2.200000000000000000e+01,3.420453660203153845e+01,3.305990551201274030e+01,3.115373085650099227e+01
2.210000000000000142e+01,3.434243987043365109e+01,3.319283054616487050e+01,3.066221743380379650e+01
2.219999999999999929e+01,3.448173349538179622e+01,3.332689448934793575e+01,3.197603104031143317e+01
2.230000000000000071e+01,3.461931599670061388e+01,3.345972893778135671e+01,3.254540959653795795e+01
2.240000000000000213e+01,3.475773286329054201e+01,3.359292866776650044e+01,3.243284821370151150e+01
2.250000000000000000e+01,3.489747684191028299e+01,3.372800052065703369e+01,3.307424860213131979e+01
2.260000000000000142e+01,3.503648426256241777e+01,3.386221455777357647e+01,3.368269706887873127e+01
2.269999999999999929e+01,3.517584853427667468e+01,3.399682653964931944e+01,3.265876079410048050e+01
2.280000000000000071e+01,3.531587720219336290e+01,3.413236947866198534e+01,3.270939717974761862e+01
2.290000000000000213e+01,3.545520154128517731e+01,3.426764390160186480e+01,3.303807236706025918e+01
2.300000000000000000e+01,3.559368696948592259e+01,3.440158147551765211e+01,3.329185447268568510e+01
2.310000000000000142e+01,3.573092766638285411e+01,3.453399183347406165e+01,3.403855948863863290e+01
2.319999999999999929e+01,3.586748018271979532e+01,3.466604238159452223e+01,3.470837356811661323e+01
2.330000000000000071e+01,3.600561611933738959e+01,3.479957285535419942e+01,3.587280593486099178e+01
2.340000000000000213e+01,3.614245482004518095e+01,3.493192135789924890e+01,3.612918211295708204e+01
2.350000000000000000e+01,3.627861772501629645e+01,3.506403526640834656e+01,3.693516773301940503e+01
2.360000000000000142e+01,3.640836503126592305e+01,3.518946425608388751e+01,3.609347730604687143e+01
2.369999999999999929e+01,3.653913620466689594e+01,3.531589570159200520e+01,3.594720142764788307e+01
2.380000000000000071e+01,3.666885942132194032e+01,3.544119848258043248e+01,3.652067671672885751e+01
2.390000000000000213e+01,3.679688178544014221e+01,3.556577090887940784e+01,3.755150709035734735e+01
2.400000000000000000e+01,3.692546656576473652e+01,3.569143182125845470e+01,3.778810387005470517e+01
2.410000000000000142e+01,3.705297024363174785e+01,3.581561086977946928e+01,3.836577757418240253e+01
2.419999999999999929e+01,3.717643984542338131e+01,3.593571717008495625e+01,3.740761967375112818e+01
2.430000000000000071e+01,3.730106186105133048e+01,3.605695153617151760e+01,3.570540169555255261e+01
2.440000000000000213e+01,3.742865122330445615e+01,3.618134309799017956e+01,3.682553771452156610e+01
2.450000000000000000e+01,3.755528583929832109e+01,3.630514027839027591e+01,3.701197215319182732e+01
