lag_ps,Li_MSD_A2,Li_COM_removed_window_MSD_A2,single_origin_system_COM_removed_A2
1.990000000000999947e+01,1.521646382877855963e+01,1.473036514481188064e+01,4.104250046241731731e+00
2.000000000001000089e+01,1.527580906985988740e+01,1.478714427286315036e+01,4.290727696560133531e+00
2.010000000001000231e+01,1.533937232259754602e+01,1.484735647178916551e+01,4.422156386226317792e+00
2.020000000001000018e+01,1.539912756782990932e+01,1.490463679165047672e+01,4.099980526024543437e+00
2.030000000001000160e+01,1.545865185935227082e+01,1.496156213171414784e+01,4.211298691314298459e+00
2.040000000000999947e+01,1.551909048200275443e+01,1.501969669930207196e+01,4.020359949498131691e+00
2.050000000001000089e+01,1.558150503931408259e+01,1.507999537236890575e+01,4.094618817961616308e+00
2.060000000001000231e+01,1.564408398040748516e+01,1.514052840250831267e+01,3.690240010067787235e+00
2.070000000001000018e+01,1.570377549992856991e+01,1.519810686640360053e+01,3.471355999623205513e+00
2.080000000001000160e+01,1.576975017317349526e+01,1.526178424489368268e+01,3.906254550111718071e+00
2.090000000000999947e+01,1.583576383057478942e+01,1.532526870913862282e+01,3.869127589491939467e+00
2.100000000001000089e+01,1.590534095846993345e+01,1.539205382383533660e+01,4.090143208345507375e+00
2.110000000001000231e+01,1.597308126485410540e+01,1.545782869943962901e+01,4.542073111865096102e+00
2.120000000001000018e+01,1.603607834272373367e+01,1.551848017015268510e+01,4.491321413692195286e+00
2.130000000001000160e+01,1.609823277879660353e+01,1.557799147609575563e+01,4.729083810989272330e+00
2.140000000000999947e+01,1.616301813922676445e+01,1.563979276751783232e+01,4.507288368169445114e+00
2.150000000001000089e+01,1.622497287079345796e+01,1.569869792551740240e+01,4.622732408053591868e+00
2.160000000001000231e+01,1.628522198737771731e+01,1.575637985850500833e+01,4.462460612683988082e+00
2.170000000001000018e+01,1.634611911188232369e+01,1.581539473273850938e+01,4.583984456182701450e+00
2.180000000001000160e+01,1.641317001133033315e+01,1.587989223970355646e+01,5.194607170488096060e+00
2.190000000000999947e+01,1.647937890894429103e+01,1.594370411914838925e+01,5.203719571076995898e+00
2.200000000001000089e+01,1.654420282493777705e+01,1.600606812873588325e+01,5.135128220316071967e+00
2.210000000001000231e+01,1.660992571899494052e+01,1.606902203634996695e+01,5.350979967402325954e+00
2.220000000001000018e+01,1.667377113607604855e+01,1.612965027619453906e+01,5.328736686811696543e+00
2.230000000001000160e+01,1.673662855456581866e+01,1.619034069531284104e+01,5.741811031900883933e+00
2.240000000000999947e+01,1.679334626737090019e+01,1.624547825932543432e+01,5.755638071426877111e+00
2.250000000001000089e+01,1.685079427818319431e+01,1.630025122514330604e+01,5.848070932354771045e+00
2.260000000001000231e+01,1.690913947253543625e+01,1.635602191641459413e+01,5.575364322745008927e+00
2.270000000001000018e+01,1.697517558840547025e+01,1.642001007709570715e+01,5.660948395025560131e+00
2.280000000001000160e+01,1.703644967534549792e+01,1.647962049017160524e+01,5.407129815484334578e+00
2.290000000000999947e+01,1.710233869146111729e+01,1.654347034407267714e+01,5.232614289057729628e+00
2.300000000001000089e+01,1.716551333902735266e+01,1.660551298405556153e+01,5.226732818510718914e+00
2.310000000002000320e+01,1.723289002316055729e+01,1.667114004918629888e+01,5.914845520221094333e+00
2.320000000002000107e+01,1.729859345142635974e+01,1.673513807779111673e+01,6.322371739782408184e+00
2.330000000002000249e+01,1.735626905718260460e+01,1.679117250111640658e+01,5.966295497189812558e+00
2.340000000002000036e+01,1.741909585040744446e+01,1.685219514113062189e+01,5.634777128581298200e+00
2.350000000002000178e+01,1.748241986400560677e+01,1.691382328184418071e+01,6.322310577310208402e+00
2.360000000002000320e+01,1.754438804933412044e+01,1.697403632165374532e+01,6.772266245405747398e+00
2.370000000002000107e+01,1.760660964654570293e+01,1.703414630656355300e+01,7.509237097755226742e+00
2.380000000002000249e+01,1.766821524500108609e+01,1.709348850812927623e+01,7.779682312831210922e+00
2.390000000002000036e+01,1.773082311640576592e+01,1.715488506212134112e+01,8.608453984585457519e+00
2.400000000002000178e+01,1.779331703069306059e+01,1.721512599016385536e+01,7.487661258565030842e+00
2.410000000002000320e+01,1.785291776813156517e+01,1.727269891828305504e+01,7.862825938968564188e+00
2.420000000002000107e+01,1.791088020610876441e+01,1.732917800162328348e+01,7.825277139560057549e+00
2.430000000002000249e+01,1.796828307733185071e+01,1.738452385453932436e+01,7.618949175549539987e+00
2.440000000002000036e+01,1.802674433597138304e+01,1.744098164913889093e+01,7.924791393410878015e+00
2.450000000002000178e+01,1.808791588137859918e+01,1.749988217666749790e+01,8.237996777516153557e+00
2.460000000002000320e+01,1.814953652262359540e+01,1.755975831052914771e+01,8.383799258866687865e+00
2.470000000002000107e+01,1.821062025698304865e+01,1.761856315538701878e+01,9.037663452873943015e+00
2.480000000002000249e+01,1.826853268054525969e+01,1.767412613879159622e+01,7.884269343094967297e+00
