time_ps,T_K,PE_eV_atom,P_GPa
4.850000000000000533e+00,3.215738020499999834e+02,-5.474592301838235642e+00,4.591258039533333002e-01
4.900000000000000355e+00,3.016543871200000240e+02,-5.470224657720588191e+00,3.005810694633333502e-01
4.950000000000000178e+00,3.116468720699999722e+02,-5.470034948161764277e+00,4.486037633466666286e-01
5.000000000000000000e+00,3.240539533599999800e+02,-5.470739184926470600e+00,1.334533382853333172e-01
5.050000000000000711e+00,3.137663048699999990e+02,-5.469505067647058461e+00,3.910441251300000309e-01
5.100000000000000533e+00,3.011080432300000211e+02,-5.468684766544117615e+00,5.881327148000001226e-02
5.150000000000000355e+00,3.097599324400000000e+02,-5.470732438970588696e+00,-4.425406102466666880e-02
5.200000000000000178e+00,3.039542803100000015e+02,-5.473101894117647248e+00,4.723300845999998249e-02
5.250000000000000000e+00,2.892664487100000201e+02,-5.474380921323529492e+00,-2.539383215250000103e-01
5.300000000000000711e+00,2.679782165799999802e+02,-5.472134256617646741e+00,5.203810866999999396e-01
5.350000000000000533e+00,2.983217260499999952e+02,-5.474511919852941055e+00,-6.304512510899999700e-02
5.400000000000000355e+00,2.879066999500000179e+02,-5.471230447794117602e+00,3.483969525033333015e-01
5.450000000000000178e+00,3.078575767099999894e+02,-5.471895799264705929e+00,1.175503470566666570e-01
5.500000000000000000e+00,3.080803774199999907e+02,-5.470764417279411873e+00,2.978684507900000167e-01
5.550000000000000711e+00,3.178831478899999752e+02,-5.471506800000000226e+00,-7.742874926466666863e-02
5.600000000000000533e+00,3.151802628199999958e+02,-5.470907925367647806e+00,5.551041847466666596e-02
5.650000000000000355e+00,2.950895979699999998e+02,-5.467942451470587883e+00,-5.436975286926667289e-02
5.700000000000000178e+00,3.158892748700000084e+02,-5.469621638235294014e+00,-6.860568541189999980e-02
5.750000000000000000e+00,3.271858128700000066e+02,-5.470276288970588041e+00,-7.988380711666664968e-02
5.800000000000000711e+00,3.033796662299999980e+02,-5.467074419852941958e+00,1.422673029433333403e-01
5.850000000000000533e+00,3.180355719099999874e+02,-5.468681068382353239e+00,-3.287322505480000379e-02
5.900000000000000355e+00,2.973600385500000129e+02,-5.466575936764705546e+00,3.504578867333332792e-01
5.950000000000000178e+00,2.939833858800000144e+02,-5.466929499632352751e+00,1.863317082200000030e-01
6.000000000000000000e+00,3.043071064900000238e+02,-5.468725972794117318e+00,3.006547859176667004e-01
6.050000000000000711e+00,3.057335791799999924e+02,-5.469587167647058656e+00,8.381887010366667612e-02
6.100000000000000533e+00,2.959019814100000190e+02,-5.469562093382353218e+00,2.619044624899999896e-01
6.150000000000000355e+00,2.940311872199999925e+02,-5.470907305514706387e+00,1.283079239799999882e-01
6.200000000000000178e+00,2.980874647900000127e+02,-5.473441738235294451e+00,1.690097180863333326e-01
6.250000000000000000e+00,2.624340672600000062e+02,-5.470112677573530036e+00,3.961778502666667146e-02
6.300000000000000711e+00,2.787409476099999779e+02,-5.471186918014705469e+00,-2.325200077666666754e-01
6.350000000000000533e+00,3.029079709299999763e+02,-5.471478645955881959e+00,-1.583310109009999911e-01
6.400000000000000355e+00,3.014758572700000059e+02,-5.469756747058823088e+00,2.430892141233333137e-01
6.450000000000000178e+00,2.963109362000000147e+02,-5.468324675367647103e+00,-5.873770687359999854e-02
6.500000000000000000e+00,3.202506709300000125e+02,-5.470806499264705636e+00,2.440177809933333497e-01
6.550000000000000711e+00,3.167454275900000198e+02,-5.470390352941175927e+00,2.626070090966666215e-01
6.600000000000000533e+00,3.242379070100000149e+02,-5.471438064705882454e+00,-1.883902862130000244e-01
6.650000000000000355e+00,3.118405496999999968e+02,-5.470321994485294326e+00,2.039116717979999882e-01
6.700000000000000178e+00,2.990953307500000165e+02,-5.469618773897058972e+00,-2.181288994700000816e-02
6.750000000000000000e+00,2.877107806899999787e+02,-5.468821268749999298e+00,2.196561380900000360e-01
6.800000000000000711e+00,3.058246695799999770e+02,-5.471123546323529929e+00,-9.715578969766665296e-02
6.850000000000000533e+00,2.927709843000000092e+02,-5.469214695220588673e+00,-4.981896957666672072e-03
6.900000000000000355e+00,3.074732459499999777e+02,-5.469698851102941184e+00,-1.858620875696666841e-01
6.950000000000000178e+00,2.975184868800000118e+02,-5.466376250000000603e+00,2.332267140100000302e-01
7.000000000000000000e+00,3.003564113799999973e+02,-5.465111237132353139e+00,1.081518102143333299e-01
7.050000000000000711e+00,3.292533299199999988e+02,-5.468044232352941236e+00,1.348061280633333359e-01
7.100000000000000533e+00,3.256629652500000134e+02,-5.468101309558823786e+00,4.753323734966666270e-01
7.150000000000000355e+00,2.905393871599999898e+02,-5.465537575735293530e+00,-1.636906232543333325e-02
7.200000000000000178e+00,2.851410737900000072e+02,-5.466543606617647377e+00,5.173166866333334113e-02
7.250000000000000000e+00,3.054065642200000070e+02,-5.470180145588235732e+00,1.181824894823333416e-01
7.300000000000000711e+00,3.049166865400000006e+02,-5.471092499632352890e+00,-1.291302305733333378e-01
7.350000000000000533e+00,3.075640107199999989e+02,-5.472896908088235257e+00,1.388649999283333158e-01
7.400000000000000355e+00,2.947465328000000113e+02,-5.473159672794118080e+00,-3.335452163399999503e-01
7.450000000000000178e+00,2.802049003899999775e+02,-5.472732282720587982e+00,1.283465057206666649e-01
7.500000000000000000e+00,2.694296240900000043e+02,-5.471732224264705735e+00,-1.091858859896666645e-01
7.550000000000000711e+00,2.821871786400000133e+02,-5.471289423529412055e+00,7.758170493266665357e-02
7.600000000000000533e+00,3.127221722400000203e+02,-5.471710533455882874e+00,1.419442318816666881e-01
7.650000000000000355e+00,3.116935736300000030e+02,-5.470239820588234991e+00,-2.181751688176666593e-01
7.700000000000000178e+00,2.995616640200000234e+02,-5.468109306249999690e+00,1.963456832996667012e-01
7.750000000000000000e+00,3.333214141700000255e+02,-5.472471909926470701e+00,-7.351993577333333640e-02
7.800000000000000711e+00,2.922771956000000273e+02,-5.468188127941176369e+00,-8.411077990333333532e-02
7.850000000000000533e+00,2.911611300899999719e+02,-5.468209469852941318e+00,1.998388601762000061e-01
7.900000000000000355e+00,3.012204924100000198e+02,-5.468606051102941734e+00,-7.464439003066666856e-02
7.950000000000000178e+00,3.205401490899999999e+02,-5.469117242647058674e+00,5.890173759799999242e-02
8.000000000000000000e+00,3.195175852099999929e+02,-5.466828206249999766e+00,4.136243454333333180e-01
8.050000000000000711e+00,3.295436021400000186e+02,-5.466779442279411150e+00,1.969675050293333562e-01
8.099999999999999645e+00,3.202320288199999823e+02,-5.466307727941177141e+00,2.172220818800000008e-01
8.150000000000000355e+00,3.260101704300000165e+02,-5.469758438235294840e+00,2.981395053533332853e-02
8.200000000000001066e+00,3.124561972999999853e+02,-5.471056086764705562e+00,-2.925750455866666377e-01
8.250000000000000000e+00,3.055505628600000136e+02,-5.470815069485293947e+00,-9.635253363066665147e-03
8.300000000000000711e+00,2.901894622099999879e+02,-5.468668758823529430e+00,2.182528202240000270e-01
8.349999999999999645e+00,2.944711963899999887e+02,-5.468022106617646649e+00,2.420815426300000073e-01
8.400000000000000355e+00,3.110075462600000265e+02,-5.468737927941176302e+00,1.165423132566666825e-01
8.450000000000001066e+00,3.261456991599999924e+02,-5.469897331617647573e+00,6.983970282966667220e-02
8.500000000000000000e+00,3.165285837399999878e+02,-5.468919425735293771e+00,-1.628446541263333380e-01
8.550000000000000711e+00,3.045288210300000173e+02,-5.468184248897058453e+00,-6.095676231666666972e-02
8.599999999999999645e+00,2.977245908300000110e+02,-5.468845593749999345e+00,1.018861145683333386e-01
8.650000000000000355e+00,2.885547125900000083e+02,-5.469999461764706083e+00,-9.857831010333337543e-03
8.700000000000001066e+00,2.940712215099999867e+02,-5.472703429044117662e+00,4.930645301600000696e-02
8.750000000000000000e+00,3.025323465700000156e+02,-5.474200624264705439e+00,5.716882175199999860e-02
8.800000000000000711e+00,2.789566585399999781e+02,-5.469793018749999902e+00,1.858822454333330931e-03
8.849999999999999645e+00,3.216948072600000046e+02,-5.472154759926470824e+00,2.651611283486666748e-01
8.900000000000000355e+00,3.276086880299999962e+02,-5.471417734926470544e+00,1.149758426859999877e-01
8.950000000000001066e+00,3.185441524799999797e+02,-5.469946697426470550e+00,2.484429544333333351e-01
9.000000000000000000e+00,3.199581586200000061e+02,-5.470603941544117887e+00,5.313660111833332783e-02
9.050000000000000711e+00,2.874085102600000141e+02,-5.467066713970588410e+00,2.106196720266666489e-01
9.099999999999999645e+00,2.968719169199999897e+02,-5.468374664338234936e+00,7.477669289999999691e-02
9.150000000000000355e+00,2.957301822399999764e+02,-5.467631784926470395e+00,3.621161372633333042e-01
9.200000000000001066e+00,3.108910177199999794e+02,-5.467392701470588534e+00,-6.598675887700000686e-02
9.250000000000000000e+00,3.346821572299999730e+02,-5.467378514705882431e+00,1.027399520496666691e-01
9.300000000000000711e+00,3.612181492199999866e+02,-5.469588893382352879e+00,-1.403820982766666725e-01
9.349999999999999645e+00,3.290405700200000183e+02,-5.466641036764706030e+00,6.514969425833333494e-02
9.400000000000000355e+00,3.144838181999999733e+02,-5.465900850735294192e+00,-1.065473841633331718e-02
9.450000000000001066e+00,3.395357540100000051e+02,-5.469772838235293477e+00,1.663052884046666569e-01
9.500000000000000000e+00,3.339555840900000021e+02,-5.470245631250000073e+00,-6.478520669999998823e-03
9.550000000000000711e+00,3.161333574899999803e+02,-5.469820368749999773e+00,1.077705209299999883e-01
9.600000000000001421e+00,3.081687806499999738e+02,-5.470241925367647084e+00,1.238108336320000030e-01
9.650000000000000355e+00,2.944531218600000102e+02,-5.469096102573529627e+00,-6.782660607899999861e-02
9.700000000000001066e+00,3.105191356299999939e+02,-5.470553517647058328e+00,-2.869238653000000250e-02
9.750000000000000000e+00,3.192854579599999738e+02,-5.470482727573529935e+00,-1.510341762689999812e-01
9.800000000000000711e+00,3.103155105299999832e+02,-5.467838443014706229e+00,1.453914207433333328e-01
9.850000000000001421e+00,3.211982500299999970e+02,-5.467214725367647077e+00,3.825914635666668312e-02
9.900000000000000355e+00,3.429306515000000104e+02,-5.467985633088235708e+00,2.974377230766666602e-01
9.950000000000001066e+00,3.610128393699999947e+02,-5.469686532352941555e+00,1.929217680056666551e-01
1.000000000000000000e+01,3.223070969999999988e+02,-5.466853601838234766e+00,2.372228948800000070e-01
1.005000000000000071e+01,3.230899291200000221e+02,-5.469153072794117776e+00,-3.978167087566666232e-02
1.010000000000000142e+01,3.083131698000000256e+02,-5.468657416544117744e+00,-1.055146548923333455e-01
1.015000000000000036e+01,2.982024012300000209e+02,-5.467805394485293569e+00,3.930367013166666257e-02
1.020000000000000107e+01,3.156245585199999937e+02,-5.470328495588235640e+00,-1.276079662169999906e-01
1.025000000000000000e+01,3.171798765500000172e+02,-5.471023136764705974e+00,1.074541674070666614e-01
1.030000000000000071e+01,2.973263406899999950e+02,-5.468943047794118328e+00,4.228067422666671911e-03
1.035000000000000142e+01,3.083953884000000016e+02,-5.470030462499999580e+00,-2.534682407136666649e-02
1.040000000000000036e+01,3.167890370200000234e+02,-5.469314830514705683e+00,-4.213031824199999636e-02
1.045000000000000107e+01,3.089252001099999916e+02,-5.465265437132352133e+00,3.955701200633333081e-01
1.050000000000000000e+01,3.315757805700000063e+02,-5.466031934191176056e+00,2.610012950133333010e-01
1.055000000000000071e+01,3.468969844299999750e+02,-5.468037146323529996e+00,1.841541751266666527e-01
1.060000000000000142e+01,3.212098182500000121e+02,-5.466601752573529538e+00,2.043869792903333094e-01
1.065000000000000036e+01,3.222829956799999991e+02,-5.468648647794117856e+00,4.265355769566666483e-02
1.070000000000000107e+01,3.024324129999999968e+02,-5.467199523161764496e+00,3.465014926273999873e-01
1.075000000000000000e+01,3.153715120900000102e+02,-5.469428755882352888e+00,4.918505897733332910e-02
1.080000000000000071e+01,2.912027729499999964e+02,-5.466526551102941056e+00,3.650378606199999876e-01
1.085000000000000142e+01,3.158040724599999862e+02,-5.469214127573529538e+00,5.350065199466666477e-02
1.090000000000000036e+01,3.217859896400000252e+02,-5.469669153308823084e+00,8.904989004823332666e-02
1.095000000000000107e+01,3.296041564999999878e+02,-5.470452023529411179e+00,-4.475314654000000364e-02
1.100000000000000000e+01,3.191305108000000246e+02,-5.469143415808822795e+00,-3.061808745166667012e-01
1.105000000000000071e+01,3.070390420499999777e+02,-5.467676530147058678e+00,-7.174504984000000356e-03
1.110000000000000142e+01,3.196103273800000011e+02,-5.468872505514705828e+00,2.488141289133333559e-02
1.115000000000000036e+01,3.277421405000000050e+02,-5.468971559558823081e+00,4.454212918766666807e-01
1.120000000000000107e+01,3.253679528499999947e+02,-5.468355256617646987e+00,3.104393069666666616e-01
1.125000000000000000e+01,3.097935061499999847e+02,-5.467539928676470318e+00,1.808256063666666691e-01
1.130000000000000071e+01,3.084622748900000033e+02,-5.469470131985294081e+00,-3.727059332266666886e-02
1.135000000000000142e+01,2.832271995199999992e+02,-5.468676920588235291e+00,1.221759201470000028e-01
1.140000000000000036e+01,2.731639549999999872e+02,-5.468236783455882488e+00,1.800327756566666715e-01
1.145000000000000107e+01,3.129645656100000224e+02,-5.473023433823529516e+00,1.225214445000000069e-01
1.150000000000000000e+01,2.978572446700000000e+02,-5.471208834558823675e+00,1.278701500030000361e-02
1.155000000000000071e+01,2.925440784400000211e+02,-5.469997565808823126e+00,1.953280170703333152e-01
1.160000000000000142e+01,3.171778193200000260e+02,-5.471858219852940408e+00,1.183030892329999945e-01
1.165000000000000036e+01,3.162079708599999890e+02,-5.471014061764705616e+00,2.072510208979999879e-01
1.170000000000000107e+01,2.949256899299999759e+02,-5.467650258455882373e+00,2.484587512546666543e-01
1.175000000000000000e+01,3.175899982999999906e+02,-5.469432185661765367e+00,1.633813966133333129e-01
1.180000000000000071e+01,3.164499425700000188e+02,-5.468304372426470827e+00,6.312492608533333549e-02
1.185000000000000142e+01,3.054648613400000272e+02,-5.466692666544117785e+00,7.390668975333333779e-02
1.190000000000000036e+01,3.187802224000000137e+02,-5.468299972794118169e+00,1.127924069966666776e-02
1.195000000000000107e+01,3.486537781100000188e+02,-5.472215778308823886e+00,-3.674540168000001161e-02
1.200000000000000000e+01,2.999492469099999994e+02,-5.467612730882352778e+00,3.084706774466666190e-01
1.205000000000000071e+01,2.948193775400000050e+02,-5.469370451838235780e+00,5.406658684659999131e-02
1.210000000000000142e+01,2.869397402199999760e+02,-5.470187804779411245e+00,3.440614815299999907e-01
1.215000000000000036e+01,2.816717320199999790e+02,-5.470059676102941637e+00,1.164344846756666524e-01
1.220000000000000107e+01,2.814278915200000029e+02,-5.469444753308823515e+00,1.809594593959999997e-01
1.225000000000000000e+01,3.159510164700000132e+02,-5.470867685661764845e+00,-2.294127676966667417e-02
1.230000000000000071e+01,3.119832765900000027e+02,-5.467794338602940840e+00,2.183734124166666624e-01
1.235000000000000142e+01,3.055966273799999726e+02,-5.466349417647059283e+00,-9.373923253186666749e-02
1.240000000000000036e+01,3.234159983299999794e+02,-5.468549301470588375e+00,2.654208732989999930e-01
1.245000000000000107e+01,3.057349617699999840e+02,-5.466568568382352389e+00,-6.954805612733333531e-02
1.250000000000000000e+01,3.148403030100000137e+02,-5.467838338602940773e+00,2.410267195856666822e-01
1.255000000000000071e+01,3.092955247599999780e+02,-5.466670269485294220e+00,-1.015890605929999913e-01
1.260000000000000142e+01,3.349571134899999834e+02,-5.469074259926470560e+00,2.380265577616666184e-01
1.265000000000000036e+01,3.330349108500000170e+02,-5.468313640808823095e+00,2.713833284966666801e-02
1.270000000000000107e+01,3.264104830800000059e+02,-5.468186763602941092e+00,8.413326681966666609e-02
1.275000000000000000e+01,3.280759236000000101e+02,-5.470198666544117572e+00,1.960660160999999901e-01
1.280000000000000071e+01,3.067910663399999862e+02,-5.469922435294117591e+00,4.997913789766667003e-02
1.285000000000000142e+01,3.156384462500000154e+02,-5.472439047426470360e+00,-3.983667580633332844e-02
1.290000000000000036e+01,2.993630599400000278e+02,-5.471038527573529819e+00,9.146315870366665546e-02
1.295000000000000107e+01,3.067988868900000057e+02,-5.471540208455882848e+00,-5.496095702433334562e-02
1.300000000000000000e+01,3.009717910300000199e+02,-5.469650367279411896e+00,1.465011586413333122e-01
1.305000000000000071e+01,3.059298564700000043e+02,-5.468674641544118309e+00,-1.083986873309999988e-01
1.310000000000000142e+01,3.334655278500000009e+02,-5.470470348897059409e+00,1.283242370896666706e-01
1.315000000000000036e+01,3.130827181000000223e+02,-5.466884468382353646e+00,-2.391943257266666567e-01
1.320000000000000107e+01,3.306035513499999752e+02,-5.468980701102941211e+00,1.783798370600000183e-01
1.325000000000000000e+01,3.218844312499999774e+02,-5.468657280882353255e+00,-1.537260373530000002e-01
1.330000000000000071e+01,3.183587835100000234e+02,-5.469943165073529734e+00,3.263476673066666445e-01
1.335000000000000142e+01,2.871816511999999761e+02,-5.467913787500000566e+00,5.061397806666663619e-03
1.340000000000000036e+01,3.042838629600000218e+02,-5.470885292279412226e+00,8.634982472033332634e-02
1.345000000000000107e+01,3.045486709400000223e+02,-5.471241946323528893e+00,-6.481732199000000971e-03
1.350000000000000000e+01,3.051775240900000199e+02,-5.471063004044117939e+00,7.264262107333332996e-02
1.355000000000000071e+01,2.857950000999999816e+02,-5.467906355514706718e+00,-4.664784372300001536e-02
1.360000000000000142e+01,3.148015154999999936e+02,-5.470147315441176161e+00,3.968540473166666527e-02
1.365000000000000036e+01,3.161837107399999809e+02,-5.469132841544117163e+00,2.469710062920000004e-01
1.370000000000000107e+01,3.015891589299999964e+02,-5.466752699632353441e+00,1.642809102466666685e-02
1.375000000000000000e+01,3.244037526899999762e+02,-5.469017900735294369e+00,1.005818974373333258e-01
1.380000000000000071e+01,3.143011262699999975e+02,-5.467428910294117372e+00,2.070494727766666598e-01
1.385000000000000142e+01,3.201800615299999890e+02,-5.468702413235294379e+00,-1.030743897058000041e-01
1.390000000000000036e+01,3.111282544599999937e+02,-5.468940376838235196e+00,1.541128042185666569e-01
1.395000000000000107e+01,2.919298602900000219e+02,-5.468982317279412086e+00,-9.081290138166665804e-02
1.400000000000000000e+01,2.899068778800000246e+02,-5.470769816544117425e+00,1.827422890486666562e-01
1.405000000000000071e+01,3.012216562500000236e+02,-5.472989117647058421e+00,-8.653884500333332286e-02
1.410000000000000142e+01,3.071917726099999868e+02,-5.473689014338235737e+00,1.171457917003333321e-01
1.415000000000000036e+01,3.013942674099999977e+02,-5.472070314705882232e+00,-1.054845395666666602e-01
