lag_ps,MSD_A2
5.080000000000000426e+01,1.642190841919483280e+00
5.090000000000000568e+01,1.641062261384115040e+00
5.100000000000000000e+01,1.640431742058745757e+00
5.110000000000000142e+01,1.640180383787358753e+00
5.120000000000000284e+01,1.642200662835756830e+00
5.130000000000000426e+01,1.642092691885683964e+00
5.140000000000000568e+01,1.642242192478619467e+00
5.150000000000000000e+01,1.643716890484798077e+00
5.160000000000000142e+01,1.646169911763224469e+00
5.170000000000000284e+01,1.644804291698516829e+00
5.180000000000000426e+01,1.646107854794035541e+00
5.190000000000000568e+01,1.647736391850745497e+00
5.200000000000000000e+01,1.648543017791713750e+00
5.210000000000000142e+01,1.648845742432073269e+00
5.220000000000000284e+01,1.647541386455250834e+00
5.230000000000000426e+01,1.647591524429968590e+00
5.240000000000000568e+01,1.648280841884098402e+00
5.250000000000000000e+01,1.645430516681054112e+00
5.260000000000000142e+01,1.643654987982830828e+00
5.270000000000000284e+01,1.644165201383951613e+00
5.280000000000000426e+01,1.647927623516482809e+00
5.290000000000000568e+01,1.650409796653205641e+00
5.300000000000000000e+01,1.652200487942449891e+00
5.310000000000000142e+01,1.652834530789414114e+00
5.320000000000000284e+01,1.655984062729582984e+00
5.330000000000000426e+01,1.657346091073576444e+00
5.340000000000000568e+01,1.656611279959328442e+00
5.350000000000000000e+01,1.656942959773885171e+00
5.360000000000000142e+01,1.657032308997868464e+00
5.370000000000000284e+01,1.657455800382756417e+00
5.380000000000000426e+01,1.658856649782638470e+00
5.390000000000000568e+01,1.658459185215197307e+00
5.400000000000000000e+01,1.657556843677983505e+00
5.410000000000000142e+01,1.659628413028148675e+00
5.420000000000000284e+01,1.660483124656301213e+00
5.430000000000000426e+01,1.662224719517078952e+00
5.440000000000000568e+01,1.663051460621264743e+00
5.450000000000000000e+01,1.663961742997026594e+00
5.460000000000000142e+01,1.667650200408648642e+00
5.470000000000000284e+01,1.670466912471715970e+00
5.480000000000000426e+01,1.673202562707167829e+00
5.490000000000000568e+01,1.674844331201977843e+00
5.500000000000000000e+01,1.676870994789528169e+00
5.510000000000000142e+01,1.676495987804579313e+00
5.520000000000000284e+01,1.678037419108936001e+00
5.530000000000000426e+01,1.678981881591614211e+00
5.540000000000000568e+01,1.681820889234824312e+00
5.550000000000000000e+01,1.681756291551046889e+00
5.560000000000000142e+01,1.684228131948186435e+00
5.570000000000000284e+01,1.688157049272295263e+00
5.580000000000000426e+01,1.693083593168037915e+00
5.590000000000000568e+01,1.693593065693641098e+00
5.600000000000000000e+01,1.694855303109674471e+00
5.610000000000000142e+01,1.695289014572905151e+00
5.620000000000000284e+01,1.695266153811654020e+00
5.630000000000000426e+01,1.696297555804140433e+00
5.640000000000000568e+01,1.697522621856687008e+00
5.650000000000000000e+01,1.696903167916173016e+00
5.660000000000000142e+01,1.697811376420943041e+00
5.670000000000000284e+01,1.700371583169017375e+00
5.680000000000000426e+01,1.702197148594154053e+00
5.690000000000000568e+01,1.703744042146676074e+00
5.700000000000000000e+01,1.705825870788771459e+00
5.710000000000000142e+01,1.705756578233147192e+00
5.720000000000000284e+01,1.709966608017202461e+00
5.730000000000000426e+01,1.712672645270983951e+00
5.740000000000000568e+01,1.713078839089945848e+00
5.750000000000000000e+01,1.713739528959092207e+00
5.760000000000000142e+01,1.712552779151489846e+00
5.770000000000000284e+01,1.712368522486512168e+00
5.780000000000000426e+01,1.711114676269901214e+00
