lag_ps,MSD_A2
1.360000000000000142e+01,1.152079751461155821e+00
1.370000000000000107e+01,1.154944518914111873e+00
1.380000000000000071e+01,1.157311630793887325e+00
1.390000000000000036e+01,1.161595681927673374e+00
1.400000000000000000e+01,1.163601944147667266e+00
1.410000000000000142e+01,1.167528102072487473e+00
1.420000000000000107e+01,1.169727531637158258e+00
1.430000000000000071e+01,1.173099375284393453e+00
1.440000000000000036e+01,1.175842587850322918e+00
1.450000000000000000e+01,1.178622210393942549e+00
1.460000000000000142e+01,1.178753424796258109e+00
1.470000000000000107e+01,1.180667824460834403e+00
1.480000000000000071e+01,1.179136255901492847e+00
1.490000000000000036e+01,1.178827417859127147e+00
1.500000000000000000e+01,1.181758037151847907e+00
1.510000000000000142e+01,1.184766536337920506e+00
1.520000000000000107e+01,1.189398618348568970e+00
1.530000000000000071e+01,1.193027745517112992e+00
1.540000000000000036e+01,1.195506869134047800e+00
1.550000000000000000e+01,1.199187917249779023e+00
1.560000000000000142e+01,1.202205822365842725e+00
1.570000000000000107e+01,1.206588571027890744e+00
1.580000000000000071e+01,1.207458741194464613e+00
1.590000000000000036e+01,1.209143138364181747e+00
1.600000000000000000e+01,1.213018868404533102e+00
1.610000000000000142e+01,1.215271207342105031e+00
1.619999999999999929e+01,1.215243198638924271e+00
1.630000000000000071e+01,1.217417829189840317e+00
1.640000000000000213e+01,1.216891485604034040e+00
1.650000000000000000e+01,1.219016768276075746e+00
1.660000000000000142e+01,1.221796019094034902e+00
1.669999999999999929e+01,1.223283576099542858e+00
1.680000000000000071e+01,1.228294169729686303e+00
1.690000000000000213e+01,1.232968530104269211e+00
1.700000000000000000e+01,1.234616764883105455e+00
1.710000000000000142e+01,1.236909063285025256e+00
1.719999999999999929e+01,1.239306617361351837e+00
1.730000000000000071e+01,1.241202048912025679e+00
1.740000000000000213e+01,1.246475891290933502e+00
1.750000000000000000e+01,1.250343186963889464e+00
1.760000000000000142e+01,1.255020770073838055e+00
1.769999999999999929e+01,1.258571055441046971e+00
1.780000000000000071e+01,1.262018929965335712e+00
1.790000000000000213e+01,1.263109857711094852e+00
1.800000000000000000e+01,1.264654041262442297e+00
1.810000000000000142e+01,1.266158178617450725e+00
1.819999999999999929e+01,1.267745174752817228e+00
1.830000000000000071e+01,1.271113406443300287e+00
1.840000000000000213e+01,1.275255592818743677e+00
1.850000000000000000e+01,1.277754035885344752e+00
1.860000000000000142e+01,1.280396461308161760e+00
1.869999999999999929e+01,1.283206436011857354e+00
1.880000000000000071e+01,1.286036222279069996e+00
1.890000000000000213e+01,1.292039708061387682e+00
1.900000000000000000e+01,1.295874935886894397e+00
1.910000000000000142e+01,1.297692830941757469e+00
1.920000000000000284e+01,1.299277242560108014e+00
1.930000000000000071e+01,1.300213845695498360e+00
1.940000000000000213e+01,1.302616564734931703e+00
1.950000000000000000e+01,1.304711163498851967e+00
1.960000000000000142e+01,1.304926627013621943e+00
1.970000000000000284e+01,1.304921881387051119e+00
1.980000000000000071e+01,1.304757825737165700e+00
1.990000000000000213e+01,1.306966135904679804e+00
2.000000000000000000e+01,1.306960736269605405e+00
2.010000000000000142e+01,1.309683589771562406e+00
2.020000000000000284e+01,1.311928359759191087e+00
2.030000000000000071e+01,1.315687514403750313e+00
2.040000000000000213e+01,1.317317793503231194e+00
2.050000000000000000e+01,1.321876705525877549e+00
2.060000000000000142e+01,1.324185329832234803e+00
2.070000000000000284e+01,1.326522543980084290e+00
2.080000000000000071e+01,1.327392500299633404e+00
2.090000000000000213e+01,1.328790626167736466e+00
2.100000000000000000e+01,1.327663786708674021e+00
2.110000000000000142e+01,1.329461373507704991e+00
2.120000000000000284e+01,1.328690189747550709e+00
2.130000000000000071e+01,1.328295654608025345e+00
2.140000000000000213e+01,1.329006807460997974e+00
2.150000000000000000e+01,1.327704650431395850e+00
