# Time-averaged data for fix msd_out
# TimeStep c_msd_li[1] c_msd_li[2] c_msd_li[3] c_msd_li[4]
488000 321.565 401.472 579.386 1302.42
489000 326.01 404.404 577.686 1308.1
490000 329.73 402.272 583.932 1315.93
491000 329.86 406.137 595.264 1331.26
492000 324.01 406.044 600.447 1330.5
493000 324.123 405.28 596.705 1326.11
494000 326.668 408.79 596.132 1331.59
495000 329.555 419.253 607.411 1356.22
496000 331.903 418.277 596.043 1346.22
497000 333.1 414.298 601.378 1348.78
498000 334.404 416.21 597.697 1348.31
499000 341.715 419.327 598.156 1359.2
500000 340.632 422.816 594.517 1357.97
