r_A,N_N,P_O,P_N
3.625000000000000000e+00,0.000000000000000000e+00,1.524007202517853488e+00,1.020568235177779393e+00
3.675000000000000266e+00,1.396271635994028870e-01,1.575782112805800272e+00,9.598097217459141683e-01
3.725000000000000089e+00,1.357198251473004935e-01,1.691137957580377993e+00,9.489342318087907735e-01
3.775000000000000355e+00,1.330150113296068304e-01,1.751260349619369272e+00,8.915750928154045907e-01
3.825000000000000178e+00,1.278766153558629215e-01,1.785963666211601186e+00,1.060527508158536580e+00
3.875000000000000000e+00,0.000000000000000000e+00,1.853182707533414408e+00,1.064152604097100330e+00
3.925000000000000266e+00,0.000000000000000000e+00,1.879726218155098216e+00,1.694505191984815085e+00
3.975000000000000089e+00,2.390701232483743999e-01,1.887780126830795879e+00,1.400216109471140058e+00
4.025000000000000355e+00,6.956683769065545864e-01,1.891520384969669344e+00,1.323450262534531907e+00
4.075000000000000178e+00,1.248352010697390657e+00,1.719362748304904098e+00,1.373036755060275116e+00
4.125000000000000000e+00,1.772513217807995645e+00,1.707462300245763398e+00,9.541098736648990775e-01
4.175000000000000711e+00,1.836099066450338491e+00,1.572618393845504947e+00,1.039954710515338610e+00
4.224999999999999645e+00,1.373846812882816293e+00,1.482887910033885870e+00,9.743628157529948819e-01
4.275000000000000355e+00,1.131341557018051169e+00,1.426145380264165929e+00,9.652389227406960037e-01
4.325000000000000178e+00,9.039256561027548820e-01,1.388109896036774371e+00,1.018272046471470738e+00
4.375000000000000000e+00,5.878174501791858519e-01,1.190449821864997260e+00,9.222919808871481440e-01
4.425000000000000711e+00,3.829027259777766368e-01,1.140616594099201464e+00,1.115600843091888894e+00
4.474999999999999645e+00,9.519541478134171952e-02,1.090253218535454316e+00,1.538369744459488375e+00
4.525000000000000355e+00,0.000000000000000000e+00,1.003011110595395605e+00,1.389542351534517106e+00
4.575000000000000178e+00,2.697831743574516938e-01,8.950865858000548458e-01,1.429207446860296438e+00
4.625000000000000000e+00,1.748191530170908614e-01,8.799711956357669784e-01,1.242880307539943052e+00
4.675000000000000711e+00,6.923193963325114941e-01,8.536777260708646731e-01,1.034005744164657070e+00
