r_A,S_O,Zr_Cl
2.675000000000000266e+00,0.000000000000000000e+00,2.004954505345982518e+00
2.725000000000000089e+00,0.000000000000000000e+00,1.309147855756609191e+00
2.775000000000000355e+00,0.000000000000000000e+00,9.974981068937401885e-01
2.825000000000000178e+00,0.000000000000000000e+00,7.209239422460389513e-01
2.875000000000000000e+00,0.000000000000000000e+00,4.912476292600843064e-01
2.925000000000000266e+00,0.000000000000000000e+00,4.378941661354509574e-01
2.975000000000000089e+00,0.000000000000000000e+00,3.899188227504818416e-01
3.025000000000000355e+00,0.000000000000000000e+00,2.818721950444499358e-01
3.075000000000000178e+00,0.000000000000000000e+00,2.642969844660655321e-01
3.125000000000000000e+00,0.000000000000000000e+00,2.040093066274387412e-01
3.175000000000000266e+00,0.000000000000000000e+00,1.477519500022213272e-01
3.225000000000000089e+00,1.016127358620910054e-02,1.103544925610587951e-01
3.275000000000000355e+00,3.937317091598143554e-02,1.336180181419276136e-01
3.325000000000000178e+00,4.808555286751548669e-02,1.779320588062025255e-01
3.375000000000000000e+00,7.524819376011296357e-02,1.848216035379761646e-01
3.425000000000000266e+00,1.366409043345981345e-01,1.407283002318403531e-01
3.475000000000000089e+00,2.025362185252823077e-01,1.432995328802269264e-01
3.525000000000000355e+00,3.083162032147785947e-01,1.493391226446608711e-01
3.575000000000000178e+00,3.834014246069610832e-01,1.164800534088014788e-01
3.625000000000000000e+00,4.538342692894677399e-01,1.233205975112030700e-01
3.675000000000000266e+00,5.262898486561324862e-01,1.397255955851592069e-01
3.725000000000000089e+00,5.072938952243390975e-01,1.322834487895689637e-01
3.775000000000000355e+00,4.914501311657710203e-01,1.639732150689873491e-01
3.825000000000000178e+00,5.021925975093253225e-01,1.779877273173152696e-01
3.875000000000000000e+00,5.726705018454562035e-01,2.000232925606507672e-01
3.925000000000000266e+00,4.898290806146446963e-01,2.483296259360341096e-01
3.975000000000000089e+00,5.109592662596722512e-01,2.655580606987394399e-01
4.025000000000000355e+00,6.045719459473302138e-01,3.365851318967565398e-01
4.075000000000000178e+00,5.564573117109516964e-01,3.130877039932080108e-01
4.125000000000000000e+00,5.371300057293348917e-01,3.794862342014412859e-01
4.175000000000000711e+00,6.035667668157023158e-01,4.062856598747703885e-01
4.224999999999999645e+00,6.919610769611576062e-01,5.169490502060888337e-01
4.275000000000000355e+00,7.378577343629609819e-01,5.186572860971142562e-01
4.325000000000000178e+00,6.598377442685464667e-01,5.714204910229667700e-01
4.375000000000000000e+00,7.847644711888035474e-01,7.072896876277404710e-01
4.425000000000000711e+00,8.093711484350198937e-01,6.762628979364002646e-01
4.474999999999999645e+00,7.586457844889870072e-01,7.310636846801199518e-01
4.525000000000000355e+00,6.286119903266007558e-01,8.006407504641430695e-01
4.575000000000000178e+00,5.436085509536034976e-01,8.660379547425581803e-01
4.625000000000000000e+00,4.716681623126022238e-01,9.368243006018041052e-01
4.675000000000000711e+00,5.504193766021504564e-01,1.020116609269774877e+00
4.724999999999999645e+00,5.009078025117159605e-01,1.063929301604022104e+00
4.775000000000000355e+00,4.331353814589224971e-01,1.066783947183009174e+00
4.825000000000001066e+00,4.697281290392940623e-01,1.052791166997692152e+00
4.875000000000000000e+00,5.730389586676767344e-01,1.084232443429541837e+00
4.925000000000000711e+00,5.567575788573874140e-01,1.115577401817609449e+00
